Chương 610: Cấm kỵ thân thể bể tan tành! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Tiểu Phong thế nào?"

	Hậu Thanh Lâm các người đứng ở Lâm Phong bên ngoài phòng mặt, gặp Jessin đi ra, vội vàng cuống cuồng tiến lên hỏi.

	Jessin sắc mặt có chút nặng nề, bao gồm Lâm Phong ở bên trong tất cả mọi người đều không có gặp qua Jessin có như vậy nặng nề sắc mặt, hắn liếc nhìn Hậu Thanh Lâm, sau đó liếc mắt bên trong phòng, trầm giọng quát lên: "Lâm Phong trước sau đôi chiến Tông Thống cùng Thiên Đế, thể lực đã sớm chống đỡ hết nổi, nếu không có trong tuyết tinh linh, Lăng Tuyết khí lực giúp đỡ, sợ rằng Thiên Quỳ cuối cùng một chưởng, thì có thể để cho hắn bỏ mạng" .

	"Nhưng mà đã qua 2 tháng, vì sao vẫn chưa tỉnh lại?" Hình Chiến từ phía sau chui vào, một mặt lo lắng hỏi.

	Jessin nhìn Lâm Phong những thứ này các sư huynh còn có Thiên Thai một tất cả trưởng lão, duy chỉ có thiếu thiếu Huyết Nhiễm, hơn nữa Huyết Nhiễm từ hôm đó Long Vân núi cuộc chiến, liền lại cũng chưa thấy qua, hắn trong lòng nghi ngờ, nhưng giờ phút này không phải quấn quít cái này thời điểm.

	"Không phải hắn vẫn chưa tỉnh lại, là ta không để cho hắn tỉnh lại" . Jessin trầm tư hồi lâu, cuối cùng mới bất đắc dĩ thán ra một tiếng, để cho tất cả mọi người đều ngây ngẩn, không hiểu Jessin đây là ý gì.

	"Ngươi có ý gì? Vì sao không để cho ta sư tôn tỉnh lại?" Diệp Thần nóng nảy rất lớn, nghe Jessin mà nói, nhất thời giận từ trong lòng tới, tựa như cũng quên mất là ai gián tiếp trợ giúp hắn đột phá.

	Jessin biết Diệp Thần tâm tình, cũng không có cùng hắn so đo những chuyện này tâm tư, mà là cau mày quát lên: "Ta sợ hắn tỉnh lại, sẽ mất hết ý chí" .

	"Có lời gì, ngươi cứ việc nói thẳng đi!" .

	Jessin lời còn chưa dứt, từ bên ngoài đi tới một cái hơi có vẻ thân ảnh cô độc, Nhược Tà.

	Nhược Tà 2 tháng bên trong, chưa bao giờ cách mở cửa phòng, chẳng qua là Lâm Phong bị người mang sau khi trở về gặp một lần, hắn thừa nhận mất Tôn Tà lão giả thống khổ, hiện đang đi ra.

	Nhược Tà rõ ràng, Thiên Thai không thể không có hắn, càng không thể không có Lâm Phong, cho nên hắn chịu đựng đau tim cũng chạy tới.

	Nhược Tà tới, Hậu Thanh Lâm nhường ra nửa bước, để cho Nhược Tà đứng ở phía trước, bây giờ trên Thiên thai, Nhược Tà chính là lớn quản gia, toàn quyền phụ trách Thiên Thai công việc.

	Nhược Tà nhìn Jessin, ánh mắt ngưng trọng.

