Chương 1126: Thiên Kim Thải Nguyệt thực lực? 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Không, không, không! !

	Ta không cam lòng, ta không cam lòng, Lâm Phong, bố ngày hôm nay không tin không thắng được ngươi, à à! !

	Chiến Thiên Ngang lòng tin đang một chút xíu bị đánh đè, nhưng mà hắn không thể chịu đựng như vậy sự thật, không cách nào tiếp nhận Lâm Phong lấy phật đạo 2 loại năng lượng nghiền ép hắn sự thật, hắn còn muốn chứng minh mình, hắn như cũ phải hướng Thiên Kim Thải Nguyệt chứng minh, hắn mới là mạnh nhất thiên kiêu, mà không phải là Lâm Phong cái phế vật này.

	Phế vật, phế vật!

	Lâm Phong, hôm nay cho dù ngươi thắng ta, ở bố trong mắt, ngươi mẹ hắn vẫn là cái phế vật, phế vật, ha ha ha! !

	Chiến Thiên Ngang không chút kiêng kỵ bắt đầu giễu cợt cười, giống như là một người điên như nhau, càng giống như một đầu chó điên như nhau bắt đầu cắn bậy người, hắn một bước bước ra, thân thể lao xuống, giống như một con rồng đằng xông lên chạy Lâm Phong tới.

	Mà Lâm Phong như cũ đưa ra một chưởng, một chưởng lực, đánh bay Chiến Thiên Ngang, trực tiếp đem người sau đánh bay ra ngoài lôi đài, nhưng ngoan cường Chiến Thiên Ngang vẫn ở chỗ cũ đổ xuống lôi đài lúc này nhảy lên, bắt lôi đài đá xanh bên, bay lên.

	Lâm Phong, là ngươi ép bố, vậy cũng đừng trách bố!

	Bỗng nhiên lúc này, Chiến Thiên Ngang vắng lặng xuống, vốn là giận dữ biểu hiện đều biến mất hết, thay đổi có chút để cho người giác đến đáng sợ, Chiến Thiên Ngang ánh mắt dần dần máu đỏ cuối cùng tím bầm, trên người vậy nhảy một cái chui vào một cổ màu tím ma ý.

	Nắm chặt quả đấm, thọt lét thanh âm dưới là ẩn núp hai cái ma trảo, giờ khắc này vậy hiện ra.

	Màu tím ma khí, người cũng thay đổi thành màu tím, thần đế tầng 7 đỉnh cấp Chiến Thiên Ngang, giờ phút này càng đáng sợ. ,

	Lâm Phong thần sắc cũng không khỏi ngưng trọng rất nhiều, ma khí đáng sợ, vượt qua xa Lâm Phong mình tưởng tượng, càng vượt qua người bất kỳ tưởng tượng, bao gồm Chiến Linh thần tổ cũng chưa từng nghĩ tới, có một ngày đồ đệ của mình lại dùng ma khí, mà hắn lại không có phát hiện.

	Ma tộc nhất mạch, thậm chí còn Thần tộc nhất mạch tuyệt đối cừu nhân, càng là tộc người nhất mạch kẻ địch, bỏ mặc hôm nay Chiến Thiên Ngang chiến thắng vẫn là thất bại, kết thúc sau khi chiến đấu, Chiến Linh thần tổ cũng sẽ không tha hắn.

	Học trộm Ma tộc công pháp, cho học viện Chiến Linh bôi đen, cho chiến tộc bôi đen, mặt mũi này hắn không ném nổi, chớ nói chi là nhiều như vậy thần tổ ở làm chứng.

	Lâm Phong ở lôi đài một bên đứng sừng sững, giờ khắc này hắn đã muốn không được nhiều như vậy, nếu như nói thần đế tầng 7 đỉnh cấp Chiến Thiên Ngang quá thức ăn mà nói, như vậy giờ khắc này Chiến Thiên Ngang mới tính là thật đang trên ý nghĩa thần đế tầng 7 đỉnh cấp, không thể không để cho mình dùng toàn bộ thực lực đi đối phó hắn thần đế tầng 7 đỉnh cấp.

	Lâm Phong thở một hơi thật dài, giờ khắc này Lâm Phong nghĩ tới ở hội đấu giá trong bán đấu giá Phật tổ khí, phật châu, giờ khắc này dùng hẳn là bất quá thích hợp nhất.

	Phật khắc ma, từ xưa tới nay đều là như vậy, phật châu chính là Phật tổ khí, khắc chế ma khí tự có một bộ.

	Lâm Phong không suy nghĩ nhiều, đem phật châu lấy ra, đặt ở ngón tay cái cùng ngón trỏ ở giữa, chắp hai tay, giờ khắc này toàn bộ lôi đài liền an tĩnh, khiếp sợ nhìn Lâm Phong.

	Lâm Phong đỉnh đầu xuất hiện bảo vệ phật kim quang, làm người ta rung động nói không ra lời phật lực xuyên qua toàn bộ lôi đài, Chiến Thiên Ngang trên mình mây tía ma lực rất là cường thế bá đạo, nhưng mà làm bảo vệ phật kim quang xuất hiện sau đó, mạnh đi nữa ma khí cũng đều bị hoàn toàn áp chế.

	Phật tổ khí, uy lực có thể tưởng tượng được, Lâm Phong còn không có ra tay, đã đem Chiến Thiên Ngang khí thế ép xuống.

	Chiến Thiên Ngang rất rõ ràng không thể chờ đợi, nếu không ma khí sẽ bị áp chế càng thêm lợi hại, chỉ có buông tay đánh cuộc một lần, hắn tu ma đã bị sư tôn thấy được, bỏ mặc lần này thất bại hay là thành công, hắn cũng không sống được, đã như vậy, lại có cái gì sợ?

	Lấy mạng đổi mạng ý niệm ở Chiến Thiên Ngang trong lòng cắm rễ, cắn hàm răng, dần dần dữ tợn vặn vẹo ý tưởng tạo thành, để cho Chiến Thiên Ngang hưng phấn rất nhiều, ở mây tía ma lực thúc đẩy xuống, Chiến Thiên Ngang một bước bước ra, chớp mắt lúc liền đi tới Lâm Phong trước người, một chưởng vỗ ra.

	Yên tĩnh, trên lôi đài yên tĩnh như chết, cũng chỉ có thể nhìn phật cùng ma giữa chiến đấu, rất sợ thiếu nhìn một tia một chút nào, ảnh hưởng tương lai giác ngộ.

	Lâm Phong chắp hai tay, kim quang Phù Đồ một mảnh, phật châu mười hai đạo kim quang lóe lên ra, tượng trưng cho Lâm Phong bị truyền thừa vạn phật phương pháp, mười hai Phật tổ năng lượng, giờ phút này tất cả đều hội tụ đến cùng nhau, không cần Lâm Phong cố ý điều động phật lực.

	Ma khí bao phủ ở Lâm Phong trên mình, tựa hồ phải đem Lâm Phong hoàn toàn ép vỡ, thời khắc mấu chốt Chiến Thiên Ngang lại là nhảy lên đến Lâm Phong đỉnh đầu, chân đạp trời cao ma khí, dùng sức hướng xuống đè, hàng tỷ cân lực xuyên qua không khí, chạy thẳng tới Lâm Phong đỉnh đầu đạp đi.

	Lâm Phong ánh mắt âm trầm, phật lực bỗng nhiên thâm trầm, ánh sáng màu vàng biến thành màu lam nhạt sáng thế lực cùng phật quang kết hợp, phật đạo kết hợp, đánh đâu thắng đó.

	Oanh!

	Phốc!

	Đinh tai nhức óc tiếng nổ đạt tới hộc máu thanh âm cơ hồ đồng thời truyền vào lôi đài, truyền vào tất cả mọi người trong tai tới.

