Chương 342: Nửa tháng sát phạt đường! 
 Converter Dzung Kiều cầu khen thưởng 

	"Lâm Phong, ngươi ngày giỗ liền sắp tới" .

	Ngay tại Lâm Phong trầm tư lúc đó, bên tai truyền đến Đế Thư hơi có vẻ khiêu khích tiếng nói, để cho Lâm Phong ánh mắt nhất thời lăng lệ, quay đầu, nhìn Đế Thư toét miệng Sừng không chút kiêng kỵ cười, rất là chán ghét khuôn mặt lại nữa giống như ngày xưa như vậy tao nhã lịch sự.

	"Ngươi có thể thử một lần, ta có thể đánh bại ngươi một lần, là có thể có lần thứ hai" . Lâm Phong giống vậy lạnh lùng bật cười, lạnh lùng nhìn Đế Thư.

	Đế Thư nghe vậy, sắc mặt nhất thời biến đổi, hắn trong lòng vẫy không ra chính là ngày xưa Lâm Phong đánh bại, thậm chí suýt nữa đánh chết hắn một màn, đó là hắn đời này sỉ nhục lớn nhất, vĩnh viễn rửa sạch không đi, trừ phi Lâm Phong có thể chết ở trên thế giới này, hắn mới có thể an tâm.

	Cho nên hắn hơn nửa năm này tới nay, chính là mai phục ở âm thầm, hơn nữa bái một cái tà ác đến không thể lại tà ác sư phụ, mục đích chỉ có một, giết chết Lâm Phong.

	Cái mục đích này không biết tại sao, lại thu được hắn cái đó sư tôn giúp đỡ, hơn nữa sư tôn của hắn đem tất cả có thể đánh chết Lâm Phong người thủ đoạn tất cả đều truyền thụ cho hắn, cái này làm cho Đế Thư rất là kích động, có những thủ đoạn này, chỉ sợ Lâm Phong không chết.

	"Lâm Phong, lần đầu tiên ngươi không giết được ta, lần này liền đổi ta giết ngươi đi" . Đế Thư giễu cợt nhìn Lâm Phong, rồi sau đó lạnh lùng quát lên.

	Lâm Phong dửng dưng một tiếng, không có lại để ý tới Đế Thư, hiện đang nói gì đều là phí công, hết thảy chỉ có ở trên chiến trường gặp, nhưng là Lâm Phong đối với Đế Thư cẩn thận chưa bao giờ tiêu giảm qua, ngược lại càng ngày càng sâu.

	Đế Thư lần này trở về, rõ ràng cùng trước kia bất đồng, trở nên hơn nữa ác độc lạnh lùng, hơn nữa hắn mục đích chỉ có một, đó chính là đánh chết mình.

	"Lâm Phong, ngươi cho ta cẩn thận một chút, vạn nhất trận chung kết trong lỡ tay đem ngươi giết, vậy cũng không tốt" .

	Lâm Phong còn chưa từ Đế Thư trong trầm tư tỉnh ngộ lại, lại là một tiếng uy hiếp truyền lọt vào trong tai, Lâm Phong khẽ cau mày, ngay sau đó đưa mắt đặt ở Tô Tử trên mình, nhất thời ngẩn ra.

	"Ngươi đây là ý gì?" Lâm Phong lạnh lùng nhìn Tô Tử, trầm giọng hỏi.

	Tô Tử bỉu môi cười một tiếng, tựa hồ dửng dưng vậy, hướng về phía Lâm Phong cười lạnh nói: "Ngươi có cái gì tư cách đạt được Sát thần cái đó lão già kia coi trọng, ta ở nơi này thần bảng giải thi đấu lên, để cho hắn xem 1 chút, hắn xem trọng người, bị ta giết, sẽ là cái gì cảm giác? Ha ha" .

	Tô Tử vừa nói, trên mặt lộ ra một tia ác độc cùng vẻ dữ tợn, cắn chặt ố vàng răng, dáng vẻ dữ tợn hết sức, càng lộ vẻ đáng sợ.

	Lâm Phong trong nháy mắt liền biết rõ, nguyên lai cái này Tô Tử muốn bái nhập Sát thần môn hạ, không có thành công, thấy mình bị Sát thần coi trọng muốn thu làm môn hạ, trong lòng sinh ra ghen tị cùng hận ý.

	Lâm Phong nghĩ tới đây, sắc mặt lạnh xuống, cũng có ý giận ngút trời tấn công tới, ngươi đạt được không được Sát thần coi trọng, tìm hắn đi à? Tìm mình làm mà?

	"Ngươi thật đem ta làm trái hồng mềm?" Lâm Phong lạnh lùng trừng mắt nhìn Tô Tử, trầm giọng quát lên.

	Nghe vậy, Tô Tử chân mày nhỏ chọn, rồi sau đó châm chọc gật đầu một cái, ánh mắt tự nhiên hỏi ngược lại: "Chẳng lẽ không phải là sao?"

