Chương 733: Thiên Phàm nếu! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Lâm Phong, có thể cùng ta nói một chút ngươi cùng Tán quốc giữa mâu thuẫn sao?"

	Tịnh Vô Ngân cùng Lâm Phong đã sớm nhảy vào trời cao, toàn lực phi hành chạy thẳng tới Tán quốc quốc đô lớn trại đi, dọc đường Tịnh Vô Ngân không nhịn được tò mò trong lòng, chính là hỏi lên tiếng, hy vọng Lâm Phong có thể cho hắn một cái câu trả lời hài lòng.

	Lâm Phong gặp Tịnh Vô Ngân rất có hứng thú nghe, Lâm Phong mình chính là chậm rãi đem mình cùng Tán quốc ân oán giữa toàn bộ nói ra, đầu tiên hay là từ Tiểu Thanh nói tới, một mực nói đến hỗn độn thú bị đoạt đi, những chuyện này nói ra ước chừng dùng mấy phút đồng hồ.

	Tịnh Vô Ngân rất nghiêm túc nghe Lâm Phong gặp gỡ cùng trải qua, cuối cùng không nhịn được hướng về phía Lâm Phong đưa ra ngón tay cái, nhiều như vậy nước dạy ông già nói giết liền giết, tự hào không có một chút lưu tình, hắn bội phục.

	"Nguyên lai ngươi thú cưỡi là hỗn độn thú" . Tịnh Vô Ngân trên mặt có chút phức tạp, trong mắt càng mang rất nhiều hâm mộ, hỗn độn thú có thể nói là vua vạn thú, hắn địa vị so với long tộc cao hơn không thiếu, duy nhất có thể cùng hỗn độn thú coi như nhau có lẽ thật chỉ có viễn cổ thần thú có thể sánh bằng, liền bốn đại thần thú đều phải trong tương lai dựa vào.

	Lâm Phong có thể cùng hỗn độn thú kết giao thâm hậu như vậy tình nghĩa, chuyện này chính là một lớn may mắn, Lâm Phong rất may mắn đó là có thể biết hỗn độn thú, cái này thật ra thì còn muốn gián tiếp cảm ơn Ngôn Chấn, nếu như không phải là Ngôn Chấn để cho mình tìm Tán Tôn Cổ mộ, có lẽ đời này cũng sẽ không gặp phải hỗn độn thú cùng kiếm tổ địch, hết thảy các thứ này đều là Ngôn Chấn công lao.

	Nhưng Lâm Phong sẽ không có nửa điểm vẻ cảm kích, dẫu sao để cho mình tìm Tán Tôn Cổ mộ nhưng mà có điều kiện, lẫn nhau đều là thuộc về lợi dụng tâm tư, hơn nữa Ngôn Chấn một tâm tư nghĩ muốn giết mình, cho nên nói Lâm Phong không thể nào cảm kích hắn.

	"Thành Lang Tà phía tây chính là Tán quốc, phỏng đoán sáng sớm ngày mai liền có thể tới" . Tịnh Vô Ngân nhìn phía trước rậm rạp chằng chịt dãy nhà, hai người còn đều ở đây thành Lang Tà bầu trời phi hành, còn không có rời đi thành Lang Tà, chỉ bất quá bây giờ thuộc về tây thành, hai người tiếp tục toàn lực phi hành.

	Trời dần dần sáng, ngôi sao biến mất ở trên đỉnh trời, ánh sáng mặt trời bay lên ra, vốn là có chút lạnh lẻo trời cao ngay tức thì trở nên ấm áp dung dung.

