Chương 857: Túng Ma cốc! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Ngươi không biết?"

	Pháp Đoạt trưởng lão có chút kinh ngạc, là Lâm Phong không biết Túng Ma cốc sự việc mà kinh ngạc, Lâm Phong như vậy thiên kiêu cũng không đến nổi liền Túng Ma cốc cũng không biết đi, chí ít đế quốc Pháp Lam trên nổi danh nhất di tích thượng cổ một trong chính là Túng Ma cốc.

	Lâm Phong vẫn mờ mịt nghi ngờ lắc đầu, cười khổ một tiếng, hắn mình đích xác không biết đế quốc Pháp Lam còn có cái gì Túng Ma cốc địa phương.

	Pháp Đoạt trưởng lão lắc đầu cười một tiếng, cũng không có có quá mức giật mình diễn cảm, rất kiên nhẫn cùng Lâm Phong giảng giải Túng Ma cốc từ đâu tới.

	"Trong truyền thuyết Túng Ma cốc, ở thời đại thượng cổ cũng là một cái Cổ Tông, bọn chúng tông môn tên chữ chính là Túng Ma cốc, nhưng mà ngay tại hai trăm ngàn năm một lần nguy cơ trong, Túng Ma cốc cũng không có chạy khỏi nguy cơ, bị toàn tông tiêu diệt, từ đây trở thành lịch sử" .

	"Túng Ma cốc năm đó cường thịnh lúc này có bốn vị thần đế cấp cường giả khác, hơn ba trăm thần tôn cấp cường giả khác, thần hoàng cấp cường giả khác lại là đếm lấy vạn kế, nhưng là như vậy cường thịnh tông môn, vẫn bị bị diệt" .

	"Từ đây hai trăm ngàn năm trước, Vĩnh Hằng quốc độ vậy lâm vào thấp trào lưu thời kỳ, Túng Ma cốc vậy không lại có bao nhiêu người đi xem, gần đây có người từ Túng Ma cốc trong đào được một tôn thần tôn khí, hơn nữa còn là thượng đẳng thần tôn khí, cái này ở rung động toàn bộ đại lục" .

	"Cho nên bắt đầu từ bây giờ, Túng Ma cốc cơ hồ mỗi ngày đều có người đi đào bảo, bất quá vận khí không tốt cũng biết đào được khô lâu, dẫu sao tiêu diệt toàn bộ tông môn, dù sao cũng đệ tử hài cốt cũng chôn chôn ở Túng Ma cốc" .

	Pháp Đoạt trưởng lão rất kiên nhẫn nói Túng Ma cốc lai lịch, Lâm Phong nghe được những thứ này, trong lòng quả nhiên nhiều một tia hướng tới, như vậy cơ hội đã rất lâu cũng chưa bao giờ gặp, nếu như dựa theo mình suy đoán, Túng Ma cốc hẳn còn có rất nhiều đồ tốt không có bị phát hiện.

	Chẳng qua là chuyến đi này Túng Ma cốc, chí ít sẽ trễ nãi mấy ngày thời gian, tự mình tới đến đế quốc Pháp Lam là lấy cứu Yên Nhiên Tuyết làm chủ, nhưng là bây giờ vừa không có bất kỳ suy nghĩ, cũng không biết lúc nào có thể lẫn vào lãnh cung, cứu ra Yên Nhiên Tuyết.

	"Mộc Phong, ngươi nói thật với ta, ngươi tới đế quốc Pháp Lam, có phải hay không liền vì lãnh cung đi?"

	Pháp Đoạt trưởng lão quan sát Lâm Phong hơi biến hóa diễn cảm, cộng thêm lên lão quốc chủ suy đoán những lời đó, hắn vẫn cảm thấy là thời điểm nhắc nhở Lâm Phong một chút, để tránh đến lúc đó Lâm Phong lộ tẩy, vậy thì phiền toái, cho nên hắn dứt khoát hỏi lên.

	Lâm Phong vốn là đang đứng ở trong trầm tư, đột nhiên nghe Pháp Đoạt trưởng lão vấn đề, nhất thời mặt liền biến sắc, nhưng rất nhanh liền khôi phục bình thường, gạt bỏ vẻ tươi cười nhàn nhạt nói: "Cũng không có, ngài suy đoán không chính xác" .

	"Chớ giả bộ, Lâm Phong, ngươi tới đế quốc Pháp Lam hẳn mang một tia tính mục đích?" Pháp Đoạt trưởng lão sang sãng cười, nhìn Lâm Phong.

	Lâm Phong trong lòng lộp bộp một tiếng, kinh hãi nhìn về phía Pháp Đoạt trưởng lão, Lâm Phong có chút không thể tin, người sau rốt cuộc là làm sao phát hiện mình, lại như vậy chính xác hô lên mình tên thật, Lâm Phong.

	Lâm Phong sau lưng phát rét, nhưng hắn cũng không phải là sợ, mà là khẩn trương bị phơi bày sau đó cứu Yên Nhiên Tuyết sự việc cơ hồ không có cơ hội.

	Nhưng Pháp Đoạt trưởng lão vạch trần Lâm Phong thân phận thật sự, cũng không có ý khác, một cái đã trở lại Thiên đạo uyển hộ pháp một trong, còn phải thế nào cùng chủ nhân đối nghịch?

	"Lâm Phong, bây giờ thời cơ không đúng, không thích hợp ra tay, bỏ mặc ngươi có mục đích gì, tạm thời dừng lại, ngày hôm nay lão quốc chủ đã hoài nghi ngươi, là ta giúp ngươi tiêu trừ nghi ngờ" .

	"Nhưng mà nếu như ngươi tiếp tục hành động, lão quốc chủ không phải ngu dốt người, tất nhiên sẽ phát hiện ngươi, cuối cùng điều tra ngươi chính là Lâm Phong, khi đó ngươi liền nguy rồi, biết không?"

	Pháp Đoạt trưởng lão một mặt trịnh trọng nhìn Lâm Phong, trầm giọng quát lên.

	Nghe vậy, Lâm Phong có chút lăng như vậy, trong lòng càng có rất nhiều nghi ngờ, Pháp Đoạt trưởng lão thân là lão quốc chủ cánh tay phải cánh tay trái, rõ ràng vạch trần mình, tại sao không cùng lão quốc chủ nói? Ngược lại ở chỗ này nhắc nhở mình?

	"Ngài đây là ý gì?" Lâm Phong ánh mắt phức tạp nhìn Pháp Đoạt trưởng lão, dứt khoát hỏi, Lâm Phong không muốn hồ đồ, hắn phải mau sớm đem những chuyện này làm rất rõ ràng, Pháp Đoạt rốt cuộc là ý gì? Chẳng lẽ là mượn chuyện này uy hiếp mình, vẫn là có những thứ khác mục đích?

	"Ta không có quá nhiều ý, chính là cảnh kỳ ngươi một chút, ngươi vậy không cần lo lắng, ngươi làm nơi là, ta sẽ không nói cho lão quốc chủ" .

	"Tại sao?"

	"Ngươi sau này sẽ rõ, ngươi trừ tin tưởng ta, không có lựa chọn nào khác, hơn nữa ta sẽ không hại ngươi, cuối cùng ngươi sẽ rõ" . Pháp Đoạt vừa nói, chính là đứng dậy, cuối cùng liếc nhìn Lâm Phong, đem một phần ố vàng da bò giấy để lên bàn.

	"Đây chính là Túng Ma cốc bản đồ, Già Lâu La, Cổ Hồn tộc Ngũ Kiệt đã đuổi đến nơi đó, ngươi nếu như không muốn để cho bọn họ tìm được thứ tốt, tốt nhất bây giờ sẽ lên đường" .

	"Ngươi nếu lo lắng lãnh cung, hẳn là lãnh cung bên trong có ngươi muốn thấy người chứ ? Nếu ngươi không thể đi vào, tại sao không ngược đường mà đi? Để cho ngươi muốn thấy người từ lãnh cung đi ra?"

	Pháp Đoạt trưởng lão vừa nói, chính là xoay người thẳng đến biến mất ở bên trong đại điện, vậy biến mất ở bên ngoài trong màn đêm mịt mờ.

	Lâm Phong nhìn trên bàn hiện lên màu vàng da bò giấy bản đồ, lại nghe Pháp Đoạt trưởng lão cái này rất kỳ quái nếu tiếng nói cùng biểu hiện, Lâm Phong hoàn toàn mê hoặc, không biết cái này Pháp Đoạt trưởng lão rốt cuộc muốn làm gì, rõ ràng thân là lão quốc chủ cánh tay phải cánh tay trái, nhưng lại trợ giúp mình?

	"Trong này rốt cuộc cất giấu cái gì vậy?" Lâm Phong có chút nghi ngờ, không biết trong này nhiều chút gì, là hắn chuyện mình không biết tình.

	"Không thể vào, tại sao không để cho nàng đi ra?" Lâm Phong suy nghĩ Pháp Đoạt trưởng lão trước khi đi mưu kế, sắc mặt chậm rãi nổi lên một tia vẻ buông lỏng.

	Không sai, nếu không thể tiến vào lãnh cung, như vậy thì muốn cho Yên Nhiên Tuyết chủ động đi ra, mà để cho Yên Nhiên Tuyết đi ra người rất đơn giản, chính là lão quốc chủ một câu nói.

	Hơn nữa Lâm Phong nghe nói lão quốc chủ đối với Yên Nhiên Tuyết mưu đồ gây rối, nếu như vậy lợi dụng như vậy cơ hội, rất dễ dàng để cho Yên Nhiên Tuyết đi ra, chỉ bất quá hết thảy các thứ này mình không thể ra mặt, như vậy ai ra mặt tốt nhất vậy?

	Tam hoàng tử, Pháp Tuyên.

	Lâm Phong rất nhanh liền nghĩ đến một người, cái này tương đối mạng cõng Tam hoàng tử, gần đây tương đối còn trót lọt, chỉ cần qua một đoạn thời gian, Pháp Tuyên bằng nhau biên cương mối họa sau đó, Pháp Tuyên vậy càng ngày sẽ càng sâu lão quốc chủ coi trọng, khi đó do Pháp Tuyên nói ra, phóng thích tất cả khí phi.

	Lão quốc chủ có thể không suy nghĩ những thứ khác khí phi, nhưng là Yên Nhiên Tuyết hắn sẽ không bỏ mặc, Pháp Tuyên thỉnh cầu vừa vặn cùng lão quốc chủ tâm nguyện không hẹn mà hợp, đến lúc đó, Pháp Tuyên vừa có thể đạt được hảo cảm, Yên Nhiên Tuyết cũng có thể đi ra.

	Đến lúc đó, Lâm Phong có một ngàn loại biện pháp cứu đi Yên Nhiên Tuyết, cho dù là dùng quả đấm, cũng có thể mang Yên Nhiên Tuyết bình yên rời đi đế quốc Pháp Lam.

	Nghĩ tới đây, Lâm Phong liền lại nữa gấp gáp, lãnh cung phòng bị sâm nghiêm, Yên Nhiên Tuyết nguy hiểm cơ hồ là số không.

	"Túng Ma cốc, Túng Ma cốc" . Lâm Phong nhìn trong tay da bò giấy bản đồ, trong lòng có chút mong đợi, rất lâu không có mạo hiểm một cái, lần này có lẽ có thể đạt được một ít mới cơ hội vậy nói không chừng.

	"Tổ Địch tiền bối, ngài biết Túng Ma cốc sao?" Lâm Phong kêu Tổ Địch lão giả một tiếng, ông già cũng là mấy chục ngàn tuổi, hẳn biết Túng Ma cốc.

	"Lâm Phong, Túng Ma cốc quá nguy hiểm, ta không đề nghị ngươi đi" . Tổ Địch lão giả lên tiếng, nhưng câu nói đầu tiên sẽ để cho Lâm Phong nhiệt tình tăng cao lòng nhiều một tia nghi ngờ.

	"Vì sao?" Lâm Phong khó hiểu, nhìn từ trong nhẫn không gian đi ra Tổ Địch lão giả.

	"Túng Ma cốc đúng là ở hai trăm ngàn năm trước bị tiêu diệt, nhưng mà bọn họ vong linh còn không có tiêu tán, Túng Ma cốc linh oán đạt tới trình độ kinh khủng, có thể ngay tức thì xâm lược người óc, bị những thứ này linh oán thao túng" .

	"Mặc dù Túng Ma cốc trong có thể mai táng rất nhiều bảo bối, thậm chí là cái thời đại này cũng không gặp được trân bảo, nhưng mà bên trong còn có rất là thi hài, có tàn hồn cũng không có biến mất, cho nên ta không ngại ngươi đi" .

	Tổ Địch lão giả rất trịnh trọng khuyên, hy vọng Lâm Phong cách xa Túng Ma cốc.

	Nhưng mà hắn mà nói, nhưng là để cho Lâm Phong càng ngày càng kiên định trong lòng sở tư suy nghĩ, nếu như thế có tính khiêu chiến, không đi tại sao có thể?

	"Tiền bối, đi rồi, cùng ta mạo hiểm đi" .

	Lâm Phong cười lớn một tiếng, sau đó mặt tươi cười đẩy cửa đi ra ngoài, liếc nhìn trên bản đồ phương hướng, là ở hoàng thành chính nam phương, ước chừng 3 triệu dặm Túng Ma cốc.

	Tổ Địch lão giả gặp Lâm Phong là quyết tâm phải đi Túng Ma cốc, chỉ có thể là thở dài, sau đó cả người hóa thành một đoàn quang biến mất ở trong đại điện, rơi vào Lâm Phong nhẫn không gian bên trong.

	Lâm Phong đi bộ đi tới hoàng cung cửa cung, thủ vệ các trưởng lão đều đã biết Lâm Phong, lão quốc chủ có mệnh lệnh, Lâm Phong có thể tùy ý ra vào, lão tổ tông thủ hạ không nghe theo như vậy ra lệnh, nhưng là bọn họ là đế quốc trưởng lão, tự nhiên phải tuân thủ, lập tức cho đi.

	Ra cửa cung, Lâm Phong ngã nhào một cái trực tiếp nhảy vào trời cao, lấy gấp ba tốc độ ánh sáng chạy thẳng tới hướng chánh nam Túng Ma cốc.

	"Xem hắn phi hành phương hướng, hẳn đi Túng Ma cốc" . Một người thủ vệ trưởng lão xem đến đây, không nhịn được lên tiếng nghị luận.

	"Già Lâu La còn có Cổ Hồn tộc Ngũ Kiệt tựa hồ đã đi, Mộc Phong làm sao có thể không đi?"

	"Lúc này náo nhiệt, nghe nói Túng Ma cốc bởi vì là trước đoạn thời gian đào ra thần tôn khí chuyện kiện, đưa đến rất nhiều Cổ Tông cùng cổ tộc trưởng lão và đệ tử đều đi."

	" Chờ đi, không tới nửa tháng, thì sẽ từ Túng Ma cốc trong truyền tới, mỗ mỗ thiên kiêu bị giết, hy vọng không phải Mộc Phong. . ." .

	"Có lẽ đi" .

	. . .Chương 857: Túng Ma cốc! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Ngươi không biết?"

	Pháp Đoạt trưởng lão có chút kinh ngạc, là Lâm Phong không biết Túng Ma cốc sự việc mà kinh ngạc, Lâm Phong như vậy thiên kiêu cũng không đến nổi liền Túng Ma cốc cũng không biết đi, chí ít đế quốc Pháp Lam trên nổi danh nhất di tích thượng cổ một trong chính là Túng Ma cốc.

	Lâm Phong vẫn mờ mịt nghi ngờ lắc đầu, cười khổ một tiếng, hắn mình đích xác không biết đế quốc Pháp Lam còn có cái gì Túng Ma cốc địa phương.

	Pháp Đoạt trưởng lão lắc đầu cười một tiếng, cũng không có có quá mức giật mình diễn cảm, rất kiên nhẫn cùng Lâm Phong giảng giải Túng Ma cốc từ đâu tới.

	"Trong truyền thuyết Túng Ma cốc, ở thời đại thượng cổ cũng là một cái Cổ Tông, bọn chúng tông môn tên chữ chính là Túng Ma cốc, nhưng mà ngay tại hai trăm ngàn năm một lần nguy cơ trong, Túng Ma cốc cũng không có chạy khỏi nguy cơ, bị toàn tông tiêu diệt, từ đây trở thành lịch sử" .

	"Túng Ma cốc năm đó cường thịnh lúc này có bốn vị thần đế cấp cường giả khác, hơn ba trăm thần tôn cấp cường giả khác, thần hoàng cấp cường giả khác lại là đếm lấy vạn kế, nhưng là như vậy cường thịnh tông môn, vẫn bị bị diệt" .

	"Từ đây hai trăm ngàn năm trước, Vĩnh Hằng quốc độ vậy lâm vào thấp trào lưu thời kỳ, Túng Ma cốc vậy không lại có bao nhiêu người đi xem, gần đây có người từ Túng Ma cốc trong đào được một tôn thần tôn khí, hơn nữa còn là thượng đẳng thần tôn khí, cái này ở rung động toàn bộ đại lục" .

	"Cho nên bắt đầu từ bây giờ, Túng Ma cốc cơ hồ mỗi ngày đều có người đi đào bảo, bất quá vận khí không tốt cũng biết đào được khô lâu, dẫu sao tiêu diệt toàn bộ tông môn, dù sao cũng đệ tử hài cốt cũng chôn chôn ở Túng Ma cốc" .

	Pháp Đoạt trưởng lão rất kiên nhẫn nói Túng Ma cốc lai lịch, Lâm Phong nghe được những thứ này, trong lòng quả nhiên nhiều một tia hướng tới, như vậy cơ hội đã rất lâu cũng chưa bao giờ gặp, nếu như dựa theo mình suy đoán, Túng Ma cốc hẳn còn có rất nhiều đồ tốt không có bị phát hiện.

	Chẳng qua là chuyến đi này Túng Ma cốc, chí ít sẽ trễ nãi mấy ngày thời gian, tự mình tới đến đế quốc Pháp Lam là lấy cứu Yên Nhiên Tuyết làm chủ, nhưng là bây giờ vừa không có bất kỳ suy nghĩ, cũng không biết lúc nào có thể lẫn vào lãnh cung, cứu ra Yên Nhiên Tuyết.

	"Mộc Phong, ngươi nói thật với ta, ngươi tới đế quốc Pháp Lam, có phải hay không liền vì lãnh cung đi?"

	Pháp Đoạt trưởng lão quan sát Lâm Phong hơi biến hóa diễn cảm, cộng thêm lên lão quốc chủ suy đoán những lời đó, hắn vẫn cảm thấy là thời điểm nhắc nhở Lâm Phong một chút, để tránh đến lúc đó Lâm Phong lộ tẩy, vậy thì phiền toái, cho nên hắn dứt khoát hỏi lên.

	Lâm Phong vốn là đang đứng ở trong trầm tư, đột nhiên nghe Pháp Đoạt trưởng lão vấn đề, nhất thời mặt liền biến sắc, nhưng rất nhanh liền khôi phục bình thường, gạt bỏ vẻ tươi cười nhàn nhạt nói: "Cũng không có, ngài suy đoán không chính xác" .

	"Chớ giả bộ, Lâm Phong, ngươi tới đế quốc Pháp Lam hẳn mang một tia tính mục đích?" Pháp Đoạt trưởng lão sang sãng cười, nhìn Lâm Phong.

	Lâm Phong trong lòng lộp bộp một tiếng, kinh hãi nhìn về phía Pháp Đoạt trưởng lão, Lâm Phong có chút không thể tin, người sau rốt cuộc là làm sao phát hiện mình, lại như vậy chính xác hô lên mình tên thật, Lâm Phong.

	Lâm Phong sau lưng phát rét, nhưng hắn cũng không phải là sợ, mà là khẩn trương bị phơi bày sau đó cứu Yên Nhiên Tuyết sự việc cơ hồ không có cơ hội.

	Nhưng Pháp Đoạt trưởng lão vạch trần Lâm Phong thân phận thật sự, cũng không có ý khác, một cái đã trở lại Thiên đạo uyển hộ pháp một trong, còn phải thế nào cùng chủ nhân đối nghịch?

	"Lâm Phong, bây giờ thời cơ không đúng, không thích hợp ra tay, bỏ mặc ngươi có mục đích gì, tạm thời dừng lại, ngày hôm nay lão quốc chủ đã hoài nghi ngươi, là ta giúp ngươi tiêu trừ nghi ngờ" .

	"Nhưng mà nếu như ngươi tiếp tục hành động, lão quốc chủ không phải ngu dốt người, tất nhiên sẽ phát hiện ngươi, cuối cùng điều tra ngươi chính là Lâm Phong, khi đó ngươi liền nguy rồi, biết không?"

	Pháp Đoạt trưởng lão một mặt trịnh trọng nhìn Lâm Phong, trầm giọng quát lên.

	Nghe vậy, Lâm Phong có chút lăng như vậy, trong lòng càng có rất nhiều nghi ngờ, Pháp Đoạt trưởng lão thân là lão quốc chủ cánh tay phải cánh tay trái, rõ ràng vạch trần mình, tại sao không cùng lão quốc chủ nói? Ngược lại ở chỗ này nhắc nhở mình?

	"Ngài đây là ý gì?" Lâm Phong ánh mắt phức tạp nhìn Pháp Đoạt trưởng lão, dứt khoát hỏi, Lâm Phong không muốn hồ đồ, hắn phải mau sớm đem những chuyện này làm rất rõ ràng, Pháp Đoạt rốt cuộc là ý gì? Chẳng lẽ là mượn chuyện này uy hiếp mình, vẫn là có những thứ khác mục đích?

	"Ta không có quá nhiều ý, chính là cảnh kỳ ngươi một chút, ngươi vậy không cần lo lắng, ngươi làm nơi là, ta sẽ không nói cho lão quốc chủ" .

	"Tại sao?"

	"Ngươi sau này sẽ rõ, ngươi trừ tin tưởng ta, không có lựa chọn nào khác, hơn nữa ta sẽ không hại ngươi, cuối cùng ngươi sẽ rõ" . Pháp Đoạt vừa nói, chính là đứng dậy, cuối cùng liếc nhìn Lâm Phong, đem một phần ố vàng da bò giấy để lên bàn.

	"Đây chính là Túng Ma cốc bản đồ, Già Lâu La, Cổ Hồn tộc Ngũ Kiệt đã đuổi đến nơi đó, ngươi nếu như không muốn để cho bọn họ tìm được thứ tốt, tốt nhất bây giờ sẽ lên đường" .

	"Ngươi nếu lo lắng lãnh cung, hẳn là lãnh cung bên trong có ngươi muốn thấy người chứ ? Nếu ngươi không thể đi vào, tại sao không ngược đường mà đi? Để cho ngươi muốn thấy người từ lãnh cung đi ra?"

	Pháp Đoạt trưởng lão vừa nói, chính là xoay người thẳng đến biến mất ở bên trong đại điện, vậy biến mất ở bên ngoài trong màn đêm mịt mờ.

	Lâm Phong nhìn trên bàn hiện lên màu vàng da bò giấy bản đồ, lại nghe Pháp Đoạt trưởng lão cái này rất kỳ quái nếu tiếng nói cùng biểu hiện, Lâm Phong hoàn toàn mê hoặc, không biết cái này Pháp Đoạt trưởng lão rốt cuộc muốn làm gì, rõ ràng thân là lão quốc chủ cánh tay phải cánh tay trái, nhưng lại trợ giúp mình?

	"Trong này rốt cuộc cất giấu cái gì vậy?" Lâm Phong có chút nghi ngờ, không biết trong này nhiều chút gì, là hắn chuyện mình không biết tình.

	"Không thể vào, tại sao không để cho nàng đi ra?" Lâm Phong suy nghĩ Pháp Đoạt trưởng lão trước khi đi mưu kế, sắc mặt chậm rãi nổi lên một tia vẻ buông lỏng.

	Không sai, nếu không thể tiến vào lãnh cung, như vậy thì muốn cho Yên Nhiên Tuyết chủ động đi ra, mà để cho Yên Nhiên Tuyết đi ra người rất đơn giản, chính là lão quốc chủ một câu nói.

	Hơn nữa Lâm Phong nghe nói lão quốc chủ đối với Yên Nhiên Tuyết mưu đồ gây rối, nếu như vậy lợi dụng như vậy cơ hội, rất dễ dàng để cho Yên Nhiên Tuyết đi ra, chỉ bất quá hết thảy các thứ này mình không thể ra mặt, như vậy ai ra mặt tốt nhất vậy?

	Tam hoàng tử, Pháp Tuyên.

	Lâm Phong rất nhanh liền nghĩ đến một người, cái này tương đối mạng cõng Tam hoàng tử, gần đây tương đối còn trót lọt, chỉ cần qua một đoạn thời gian, Pháp Tuyên bằng nhau biên cương mối họa sau đó, Pháp Tuyên vậy càng ngày sẽ càng sâu lão quốc chủ coi trọng, khi đó do Pháp Tuyên nói ra, phóng thích tất cả khí phi.

	Lão quốc chủ có thể không suy nghĩ những thứ khác khí phi, nhưng là Yên Nhiên Tuyết hắn sẽ không bỏ mặc, Pháp Tuyên thỉnh cầu vừa vặn cùng lão quốc chủ tâm nguyện không hẹn mà hợp, đến lúc đó, Pháp Tuyên vừa có thể đạt được hảo cảm, Yên Nhiên Tuyết cũng có thể đi ra.

	Đến lúc đó, Lâm Phong có một ngàn loại biện pháp cứu đi Yên Nhiên Tuyết, cho dù là dùng quả đấm, cũng có thể mang Yên Nhiên Tuyết bình yên rời đi đế quốc Pháp Lam.

	Nghĩ tới đây, Lâm Phong liền lại nữa gấp gáp, lãnh cung phòng bị sâm nghiêm, Yên Nhiên Tuyết nguy hiểm cơ hồ là số không.

	"Túng Ma cốc, Túng Ma cốc" . Lâm Phong nhìn trong tay da bò giấy bản đồ, trong lòng có chút mong đợi, rất lâu không có mạo hiểm một cái, lần này có lẽ có thể đạt được một ít mới cơ hội vậy nói không chừng.

	"Tổ Địch tiền bối, ngài biết Túng Ma cốc sao?" Lâm Phong kêu Tổ Địch lão giả một tiếng, ông già cũng là mấy chục ngàn tuổi, hẳn biết Túng Ma cốc.

	"Lâm Phong, Túng Ma cốc quá nguy hiểm, ta không đề nghị ngươi đi" . Tổ Địch lão giả lên tiếng, nhưng câu nói đầu tiên sẽ để cho Lâm Phong nhiệt tình tăng cao lòng nhiều một tia nghi ngờ.

	"Vì sao?" Lâm Phong khó hiểu, nhìn từ trong nhẫn không gian đi ra Tổ Địch lão giả.

	"Túng Ma cốc đúng là ở hai trăm ngàn năm trước bị tiêu diệt, nhưng mà bọn họ vong linh còn không có tiêu tán, Túng Ma cốc linh oán đạt tới trình độ kinh khủng, có thể ngay tức thì xâm lược người óc, bị những thứ này linh oán thao túng" .

	"Mặc dù Túng Ma cốc trong có thể mai táng rất nhiều bảo bối, thậm chí là cái thời đại này cũng không gặp được trân bảo, nhưng mà bên trong còn có rất là thi hài, có tàn hồn cũng không có biến mất, cho nên ta không ngại ngươi đi" .

	Tổ Địch lão giả rất trịnh trọng khuyên, hy vọng Lâm Phong cách xa Túng Ma cốc.

	Nhưng mà hắn mà nói, nhưng là để cho Lâm Phong càng ngày càng kiên định trong lòng sở tư suy nghĩ, nếu như thế có tính khiêu chiến, không đi tại sao có thể?

	"Tiền bối, đi rồi, cùng ta mạo hiểm đi" .

	Lâm Phong cười lớn một tiếng, sau đó mặt tươi cười đẩy cửa đi ra ngoài, liếc nhìn trên bản đồ phương hướng, là ở hoàng thành chính nam phương, ước chừng 3 triệu dặm Túng Ma cốc.

