Chương 195: Yêu vương trở về vị trí cũ 
 Converter Dzung Kiều cầu phiếu 

	"Tất cả mọi người nghe mệnh lệnh ta, toàn lực đánh chết người này" .

	Bạo Long tộc trưởng thấy Lâm Phong đột phá đến thánh linh hoàng cấp đừng, nhất thời sắc mặt đại biến, rồi sau đó cầm chặt quả đấm, mặt đầy dữ tợn gầm thét lên tiếng, thanh âm the thé làm người ta chán ghét.

	Mà Bạo Long tộc trưởng mình cũng là thời gian đầu tiên đánh ra, dù là Lâm Phong đột phá thánh linh hoàng tầng 1, nhưng mà đối với hắn mà nói, hắn đã đột phá thời gian rất dài, chẳng lẽ còn đánh bại không được một cái mới lên thánh linh hoàng sao?

	Ngang ngược một quyền đánh ra, đáng sợ lực lượng chạy thẳng tới Lâm Phong ngực đi, nhưng là lúc này Lâm Phong nhưng là lạnh nhạt cười một tiếng, hỗn hợp mấy loại lực lượng sau đó, Lâm Phong mình có một không hai chiếu lực tựa như có thể xuyên thấu hết thảy lực lượng cường hãn, phảng phất là năng lượng ở giữa vương giả.

	"Bá đạo vương quyền" . Lâm Phong hét lớn một tiếng, hai quả đấm đánh vào đi ra ngoài, kinh khủng tốc độ cộng thêm chiếu lực đáng sợ, Bạo Long tộc trưởng chỉ cảm thấy huyết dịch một hồi sôi trào, thật giống như bị thứ gì khuấy loạn kinh mạch vậy.

	Oanh oanh. . .

	Lâm Phong kinh khủng lực lượng đánh vào Bạo Long tộc trưởng trong quả đấm, người sau nổi giận gầm lên một tiếng, chỉ cảm thấy toàn bộ cánh tay kinh mạch đều phải vỡ ra, hơn nữa khó tin chính là, Bạo Long tộc trưởng trên tay màu xanh vảy rồng đang tại bắt đầu rụng, máu hỗn hợp một mảnh, để cho người nôn mửa.

	"Bảy đại yêu thánh, theo ta tru diệt Bạo Long tộc trưởng, những thứ khác Yêu vực yêu thú nếu dám ngăn trở, kết quả tựa như cùng hắn" .

	Lâm Phong nổi giận gầm lên một tiếng, bước ra một bước, kinh khủng thánh linh hoàng khí tức lan tràn toàn bộ trong khe núi, đồng thời sau lưng bảy đại yêu thánh cũng nhảy ra ngoài, bọn họ vẫn là chút thành tựu thánh hoàng, trợ giúp Lâm Phong chặn đánh một ít Bạo Long nhất tộc trung thành thủ hạ.

	"Đều là tay của ba ba hạ sao, lại là chúng ta yêu tộc yêu thú, vậy thì cho các người điểm yêu lực đi" .

	Hồ trông mong Thanh Ngưu yêu thánh làm đại biểu bảy đại yêu thánh, chính là đáng yêu bỉu môi cười một tiếng, rồi sau đó tay non nớt quơ múa, một cổ trong sáng tinh linh yêu lực tràn vào bảy đại yêu thánh bên trong thân thể, bảy đại yêu thánh chỉ cảm thấy kinh mạch trở nên kiên cố hơn cứng rắn, trong cơ thể yêu khí hơn nữa ngưng tụ, thậm chí có một loại bành trướng cảm.

	"Hống hống!" .

	Rồng tiếng ngâm truyền khắp thung lũng, tất cả Bạo Long nhất tộc thậm chí là Thương Long nhất tộc đều là bị rồng tiếng ngâm cho chấn động kinh ngạc một chút, ngẩng đầu lên, chính là thấy Thương Long yêu thánh dài thanh Long Khiếu, cả người hóa thành mấy trăm mét lớn nhỏ màu xám tro rồng khổng lồ, đôi mắt lấp lánh có thần, mang một cổ không giận tự uy oai rồng.

	"Cái này. . . Đây là?"

	Tất cả Thương Long nhất tộc thành viên thấy Thương Long yêu thánh như vậy, đều là bị rung động đến, rồi sau đó chính là mặt đầy kích động cùng hưng phấn.

	"Ha ha, ta Thương Long nhất tộc phục hưng trong tầm mắt, ha ha" .

	Một cái Thương Long nhất tộc ông già thấy trên bầu trời bay lượn Thương Long yêu thánh, mặt đầy kích động, lão lệ tung hoành.

	"Mau, bái kiến mới tộc trưởng" . Thương Long ông già hét lớn một tiếng, chính là hướng Thương Long yêu thánh quỳ xuống, tất cả mọi người thấy đại trưởng lão cũng quỳ xuống, tất cả đều là từng cái

	Quỳ xuống.

