Chương 212: Mời lệnh bài 
 Converter Dzung Kiều cầu khen thưởng 

	"Cái. . . Cái gì, ngươi là Lâm Phong?"

	Nghe được Huyền điện trưởng lão câu hỏi, Cao Địch sắc mặt nhất thời đại biến, vẻ kiêu ngạo không thể tin nhìn Lâm Phong hỏi.

	Lâm Phong cũng có chút ngạc nhiên, bất quá mơ hồ cảm thấy Thì lão có thể đã biết mình ở Ma vực, chính là phái người đi tới Ma vực, nhìn Huyền điện những người này ý, rõ ràng cho thấy đến tìm mình.

	"Ta là Lâm Phong" . Lâm Phong không có giấu giếm mình thân phận, nhàn nhạt gật đầu đáp, Phong Ma có chút khẩn trương nhìn Lâm Phong, Lâm Phong cứ như vậy nói cho Huyền điện, chính hắn thân phận.

	"Hề hề, thật sự là Lâm Phong anh bạn trẻ, vậy chúng ta sẽ tới đúng rồi" .

	Lâm Phong trả lời vừa dứt, sang sãng tiếng cười chính là truyền khắp mở, Huyền điện cầm đầu trưởng lão, cũng chính là thánh linh hoàng tầng 4 ông già vẻ kiêu ngạo rực rỡ nụ cười nhìn Lâm Phong.

	Quả nhiên, thật sự là đến tìm mình, Lâm Phong trong lòng yên lặng suy nghĩ, trên mặt nhưng là một như thường lệ dửng dưng.

	"À? Tìm ta có việc gì thế?" Lâm Phong nhỏ nhíu mày đầu nhìn cụ già, trầm giọng hỏi.

	Cụ già cười nhạt, sau đó từ trong trường bào mặt lấy ra 1 bản lệnh bài, có khắc lớn như vậy huyền chữ, trong đó huyền chữ trên hiện đầy thời không lực, rất mãnh liệt hơi thở, Lâm Phong cũng không nhịn được kinh ngạc, dựa vào một cái trên lệnh bài mặt thời không đạo nghĩa, đủ để để cho một chút thành tựu thánh hoàng đột phá đến đại thành thánh hoàng.

	"Lâm Phong anh bạn trẻ, đây là ta Huyền điện mời lệnh bài, mời Lâm Phong anh bạn trẻ đi Huyền điện tham gia trăm năm một lần giải thi đấu" .

	Ông già vừa nói, mặt đầy rực rỡ nụ cười, mà những thứ khác Ma vực trưởng lão nghe đến chỗ này, từng cái không nhịn được tràn đầy vẻ kinh ngạc, đưa mắt nhìn về phía liền Lâm Phong, trong lòng rất là kinh ngạc.

	Lâm Phong thấy tất cả Ma vực trưởng lão mặt đầy kinh ngạc, mình cũng không nhịn được nổi lên nghi ngờ, không biết cái này giải thi đấu rốt cuộc là cái gì tính chất thi đấu.

	Tựa hồ nhìn thấu Lâm Phong nghi ngờ trên mặt, Huyền điện trưởng lão không nhịn được cởi mở cười một tiếng nói: "Lâm Phong anh bạn trẻ thiết mạc nghi ngờ, lão phu vậy thì hướng ngươi giới thiệu một chút cái này cuộc tranh tài tình huống" .

	"Được, đa tạ tiền bối, tiểu tử rửa tai lắng nghe" . Lâm Phong tạm thời bỏ mặc mình cùng Thì lão bây giờ đến tột cùng là kẻ địch vẫn là bằng hữu, cái này cụ già cho mình giảng giải, mình vẫn là phải lễ độ đếm đối đãi.

	"Nói tới cái này giải thi đấu, thật ra thì cũng rất đơn giản, chính là thần lục đông phương tất cả cường hãn thần linh tiến hành thi đấu" .

