Chương 357: Ngươi không được, ngươi cũng không được! 
 Converter Dzung Kiều cầu phiếu 

	"Vẫn là các người tự mình tới đi" .

	Lâm Phong hai tay bao bọc, mắt lạnh nhìn kỳ lân Bằng cùng thiết huyền nói.

	Hai hơn nửa thần hoàng sắc mặt dữ tợn tới cực điểm, Lâm Phong quá kiêu ngạo, nếu như không tiêu diệt hắn oai phong, trừ năm đại thần hoàng trở ra, ai còn có thể thu thập Lâm Phong?

	"Nếu ngươi chủ động muốn chết, ta thành toàn cho ngươi" . Thiết huyền sắc mặt dữ tợn, cắn nát răng gầm thét lên tiếng, chính là chuẩn bị ra tay, giết Lâm Phong, được lợi hồi một ít mặt mũi.

	"Chậm, hay là để ta đi" . Kỳ lân Bằng cũng căm ghét Lâm Phong, cho nên hắn ngăn cản thiết huyền, hắn muốn xuất thủ.

	"Kỳ lân, ta phái Tru Tiên cùng Lâm Phong có thù không đợi trời chung, cho nên ta không thể để cho" . Thiết huyền sắc mặt âm trầm nhìn kỳ lân Bằng nói.

	Kỳ lân Bằng tự nhiên biết, nhưng vẫn là gật đầu cười nói: "Ta cũng cùng hắn có chút cừu hận, vẫn là do ta làm dùm đi" .

	"Để ta đi, hắn không đáng giá ngươi ra tay" .

	"Hay là để ta đi, ngươi nhìn liền tốt" .

	Hai người cũng muốn ra tay, trong chốc lát lại thảo luận không ra cái kết quả, rốt cuộc do ai ra tay, cái này cũng có thể nhìn ra làm là cường giả cao ngạo, bọn họ căn bản không muốn Lâm Phong thực lực như thế nào, bọn họ chỉ muốn do ai ra tay giết một con kiến mà thôi, cái này chính là cường giả tâm tính.

	Lâm Phong có chút không nhịn được liếc mắt hai người, rồi sau đó khóe miệng dâng lên một tia lạnh lùng nụ cười nói: "Không cần tranh luận, các người cùng lên đi! !" .

