Chương 937: Đã sớm bị an bài tốt đối thủ. . . 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Ba vị, chúng ta trò chuyện một chút" .

	Lâm Phong ngồi ở trước bệ cửa sổ mặt trên ghế, trong tay bưng ly trà, nhưng là không uống, mà là mắt không chớp nhìn chằm chằm trước mắt ba cái thái thượng trưởng lão, Đạo Thành Tử, Đạo Huyền Tử cùng với Đạo Phu Tử.

	Ba cái ông già đứng ở một xếp, tỏ ra hơi có chút khẩn trương, suy nghĩ một chút đường đường thần đế tầng 4 ba cái siêu cấp cường giả, đứng ở Lâm Phong trước người nhưng là cùng đứa bé như nhau, sẽ có bao nhiêu buồn cười, nhưng là đây chính là Lâm Phong mang cho áp lực của bọn họ.

	Nhất là nghe Lâm Phong câu hỏi sau đó, ba cái thái thượng trưởng lão tim đập nhất thời tăng tốc độ, bọn họ rất rõ ràng, Lâm Phong nhất định là ở lão nô nơi đó nghe nói cái gì bí mật, nếu không không thể nào kêu gọi bọn họ ba người hiểu tình huống một chút, mặc dù Lâm Phong để cho bọn họ tùy tiện trò chuyện một chút, nhưng là ba người mỗi người đều biết, lời ngầm ý chính là, thành thật khai báo một chút.

	Cầm đầu Đạo Thành Tử sắc mặt nhất là ngưng trọng, hắn nhìn Lâm Phong, mấy lần há miệng muốn nói xảy ra cái gì, nhưng cuối cùng cũng ngậm miệng lại, bởi vì là hắn không biết nói gì.

	"Mời chủ thượng chỉ giáo" . Đạo Thành Tử sâu hô giọng, sau đó ngẩng đầu nhìn Lâm Phong, cứ việc Lâm Phong nếu rất ý tứ rõ ràng, nhưng là Đạo Thành Tử không dám nói bậy, rất sợ có chuyện gì Lâm Phong không biết cũng cho nói ra ngoài.

	"Ta không việc gì chỉ giáo, ở lão nô nơi đó nghe một ít có liên quan Thiên Đạo Uyển nội dung, không biết là thật còn chưa là thật, cho nên tìm các người hiểu một chút" . Lâm Phong không sẽ bị lừa, mặc dù ba cái lão gia sống triệu năm, nhưng mà Lâm Phong nhưng cũng không sợ.

