Chương 149: Hướng thần tử nói xin lỗi? 
 Converter Dzung Kiều cầu phiếu 

	"Nơi này không có bất kỳ một người nào?"

	Lâm Phong đi tới trong thánh điện mặt, sầm uất chỗ Lâm Phong không có chút nào để ý, chẳng qua là nơi này không có một bóng người, căn bản không có Hạo thần tử miệng lý thuyết thần chủ đang đợi đã lâu, bầu không khí rất là vắng vẻ.

	Hạo thần tử đứng ở thánh điện cửa, nhắc nhở mấy người an tâm một chút chớ nóng, sau đó chính là biến mất ở bên trong thánh điện bên ngoài, thật giống như cho tới bây giờ không có xuất hiện qua vậy, chỉ còn lại có Lâm Phong mấy người mắt lớn trừng mắt nhỏ nhìn chung quanh.

	"Cái này Ngân vực thánh điện kết quả là ý gì? Đem chúng ta lượng ở chỗ này?" Tống Trang nhìn trong này không có một bóng người, hiển nhiên là cố ý như vậy, chính là nổi giận đứng lên, bỏ mặc nói thế nào hắn đều là Thần vực thánh điện bốn đại thánh quân một trong, lúc này thành tựu thần chủ đặc sứ, Ngân vực thánh điện lại đối đãi như vậy, coi như là Bồ tát cũng biết tức giận.

	Ngân vực thánh điện cùng Thần vực thánh điện cũng không phải là bởi vì liên minh quan hệ, mới có thể để cho cái trước như vậy làm mưa làm gió, nếu quả thật là như vậy, Thần vực thánh điện thà không muốn người minh hữu này.

	"Ta đây không đợi, ta đây phải đi về, Lâm Phong, đi thôi" . Viên Phi nổi giận gầm lên một tiếng, hắn bạo nóng nảy lại nổi lên, hắn không kiên nhẫn tiếp tục chờ tiếp, Ngân vực thánh điện nhất định chính là làm khó Lâm Phong, Lâm Phong không thấy được thần chủ, tự nhiên không cách nào trở về hướng Thần vực thánh điện người giao phó.

	"Sư tôn, Ngân vực người muốn làm nhục ngài" . Một mực nhắm mắt không nói chìm nổi lần này cũng rất khó giữ bình tĩnh, sư tôn bị người như vậy đùa bỡn làm nhục, đánh là sư phó hắn mặt, cũng chính là mặt hắn.

	Lâm Phong nhìn nhất bình tĩnh chìm nổi lần này đều không lại yên lặng, có thể gặp Ngân vực thánh điện chuyện này làm rất không phúc hậu, nhưng mà vậy thì có thể làm gì? Vừa đi liễu chi? Cái này biết càng còn trúng những người này mưu kế, đem tất cả xử phạt đẩy tới trên người mình, nói là mình vô tình nói xin lỗi, không biết hối cải, phá xấu xa hai nhà hữu nghị.

	Đến lúc đó, bỏ mặc chân tướng sự tình là như thế nào, chí ít Thần vực thánh điện người là sẽ không ở tin, cho nên Lâm Phong rất rõ ràng, ngày hôm nay không thể tùy tiện rời đi, nếu không công dã tràng.

	"Lâm Phong, cái này cổ khí chúng ta không cần nhịn, chẳng qua cái này liên minh không cần chính là" . Tống Trang cũng rốt cuộc không nhịn được, trong lòng tức giận bộc phát ra, hắn muốn làm tốt một cái thánh quân, mà bây giờ phát hiện đối phương chân thực thật là quá đáng, thật là không cầm Thần vực thánh điện người xem chuyện.

	Vốn là một mực cho rằng Ngân vực thánh điện là rất dễ nói chuyện, nhưng là từ xảy ra Lâm Phong cùng Hạo thần tử sự việc sau đó, Ngân vực thánh điện thái độ rất kém cỏi, không phải vậy

	 kém, bây giờ kể cả thần chủ ở bên trong, cũng đem Thần vực thánh điện đại biểu lượng ở nơi này .

	"Đúng vậy, Lâm Phong, không có gì ghê gớm, bọn ta đi thôi" . Viên Phi phụ họa nói, hắn cho tới bây giờ không bị như vậy làm nhục.

	"Sư tôn, vừa đi liễu chi chưa chắc sẽ không bảo vệ tôn nghiêm phương pháp" . Chìm nổi cũng ở một bên ôm quả đấm vừa nói, hy vọng Lâm Phong không phải ở lại chỗ này tiếp tục bị người làm nhục.

	Như vậy mà nơi này vốn nên là Lâm Phong tức giận nhất, nhưng mà lúc này Lâm Phong nhưng là vẻ kiêu ngạo rực rỡ nụ cười, không chút nào bộ dáng phẫn nộ, không khỏi làm người nghi ngờ.

	"Chúng ta không đi, tại sao phải đi, không chỉ có chúng ta không đi, chúng ta còn phải làm tốt cái này quý khách" . Lâm Phong sang sãng cười một tiếng, sau đó ánh mắt nhìn về phía đại điện ngay chính giữa thần chủ vị.

	"Lâm Phong, ngươi đây là. . . ?"

	Tống Trang nhìn Lâm Phong, hỏi ra trong lòng kinh ngạc, chẳng qua là lời còn chưa dứt chính là bị Lâm Phong ngăn lại, Lâm Phong cười nhạt, bước chân nhẹ đạp, đi tới Ngân vực thánh điện thần chủ chỗ ngồi bên cạnh, sờ một cái con rồng này ghế.

	"Ngân mới vừa thạch chế tạo ngai vàng, ngồi lên khẳng định rất oai phong, các người nói vậy? Học trò? Viên Phi?"

	Lâm Phong mặt tươi cười nhìn trong tay vuốt ve ngai vàng, sau đó ngẩng đầu lên hỏi hai người.

	Chìm nổi cùng Viên Phi mặt đầy kinh ngạc, không biết Lâm Phong muốn làm gì, mà Tống Trang lúc này đã sớm sắc mặt tái nhợt, thần chủ người lớn vị trí không cho phép bất kỳ vọng động, dù là thần tử cũng không có thể, Lâm Phong bây giờ lại vuốt ve ngai vàng, Tống Trang trong lòng tim đập đột nhiên tăng nhanh, tựa như tùy thời cũng có thể nhảy lên đi ra.

	"Hôm nay thấy được ngai vàng, không ngồi lên, thì sẽ là cuộc sống một lớn chuyện ăn năn, cho nên. . ." .

	"Ngươi hôm nay nếu là ngồi ngai vàng, sẽ gặp là trong cuộc đời nhất chuyện hối hận tình" .

	Ngay tại lúc này, Lâm Phong lời còn chưa dứt, trong sân chính là đột nhiên xuất hiện một bóng người, sắc mặt âm trầm, mặt mũi quanh co uy vũ, trên người màu trắng xanh lơ tụ trường bào càng làm cho chàng trai cực kỳ giống một người thư sinh.

	Chàng trai rơi trên mặt đất, sắc mặt âm trầm nhìn về phía Lâm Phong, không nhịn được cười lạnh nói: "Ta vẫn là lần đầu thấy như vậy cả gan làm loạn người?"

	"A, ta Lâm Phong một không làm chuyện hối hận tình, hai không làm to gan sự việc, bởi vì ta muốn làm chuyện, liền nhất định sẽ làm, ngươi nói thế nào? Ngân vực thánh điện thần chủ đại nhân?"

	Lâm Phong nhàn nhạt cười lạnh, sau đó chính là mặt tươi cười nhìn trường bào chàng trai, hỏi.

	Nhất thời, tất cả mọi người sắc mặt cũng là lớn đổi, bao gồm chìm nổi đều là ở bên trong, bởi vì nam tử trước mắt chính là trong truyền thuyết Ngân vực thánh điện thần chủ, nhưng là bây giờ bị Lâm Phong lên tiếng châm chọc, Tống Trang trong lòng bàn tay đều là mồ hôi, hắn chỉ hy vọng Lâm Phong có thể bớt tranh cãi một tí, nếu không thật chọc giận thần chủ, liền nguy hiểm.

	"Ha ha, giỏi một cái một không hối hận, hai không lui về phía sau, chẳng qua là ngươi sẽ không sợ ta giết ngươi?" Ngân vực thánh điện thần chủ cười lạnh một tiếng, sau đó sắc mặt đột nhiên biến sắc, trở nên vô cùng vì tức giận cùng âm trầm, chỉ Lâm Phong hét.

	"Thần chủ muốn giết tiểu tử, giống như nghiền chết một con kiến như thế đơn giản, cho nên thần chủ cũng hẳn rõ ràng, ta lời muốn nói, là không sẽ để ý sinh tử" .

	Lâm Phong trầm giọng hướng về phía thần chủ vừa nói, mặt đầy vẻ kiên định.

	Nghe vậy, thần chủ mặt mũi không khỏi ngẩn ra, rồi sau đó chính là không nhịn được ngửa mặt lên trời cười lớn, không nhìn ra hắn là tức giận vẫn là tức giận.

	"Giỏi một cái không thèm để ý sống chết, bằng một điểm này, ngươi cũng xứng với các người thần chủ đối với kỳ vọng của ngươi" . Thần chủ sang sãng cười, thân thể nhẹ nhàng một bên, ngay tức thì đi tới Lâm Phong bên người, ở Lâm Phong nhìn soi mói, chậm rãi ngồi xuống ghế.

	"Mấy ngày nay sự việc, ta đã nắm giữ rõ ràng, nếu không phải như thế rõ ràng, ngươi cho rằng các người còn có thể sống sờ sờ đứng ở chỗ này?"

	Thần chủ nói lời này, sắc mặt một chút xíu ngưng trọng âm trầm, ánh mắt cũng lộ ra vài tia tức giận, dĩ nhiên là Hạo thần tử sự việc, để cho thần chủ rất tức giận.

	Mà hắn nói để cho Lâm Phong bừng tỉnh hiểu ra, không sai, nếu như không phải là thần chủ đã giải trừ sự thật tình huống, dựa vào mình ngày đó làm nhục Hạo thần tử, loại này đánh mặt sự việc, hắn tự nhiên không thể tha, Ngân vực thánh điện cũng không thể tha thứ.

	"Ngươi kết quả muốn thế nào?" Lâm Phong cau mày nhìn thần chủ ngồi ở trên ghế, không nhịn được trầm giọng hỏi.

	"Ta? Ta muốn ngươi hướng Hạo thần tử nói xin lỗi, cái này có thể sao?" Thần tử vẻ kiêu ngạo nghiền ngẫm nụ cười nhìn Lâm Phong hỏi.

	"Hướng thần tử nói xin lỗi?" Lâm Phong chau mày, rồi sau đó không nhịn được châm chọc cười lên.

	"Ngươi cảm thấy vậy?" Lâm Phong mặt lạnh sắc hỏi ngược lại, ánh mắt âm đẹp trai.

	Xem tới nơi này, thần tử nụ cười trên mặt hơn nữa nồng dầy, không nhịn được lắc đầu nói: "Dĩ nhiên là không thể, ngươi nóng nảy, sợ là ngươi thật phạm sự, cũng sẽ không nói xin lỗi" .

	"Ngươi nếu biết, vì sao để cho ta hướng Hạo thần tử nói xin lỗi?"Chương 149: Hướng thần tử nói xin lỗi? 
 Converter Dzung Kiều cầu phiếu 

	"Nơi này không có bất kỳ một người nào?"

	Lâm Phong đi tới trong thánh điện mặt, sầm uất chỗ Lâm Phong không có chút nào để ý, chẳng qua là nơi này không có một bóng người, căn bản không có Hạo thần tử miệng lý thuyết thần chủ đang đợi đã lâu, bầu không khí rất là vắng vẻ.

	Hạo thần tử đứng ở thánh điện cửa, nhắc nhở mấy người an tâm một chút chớ nóng, sau đó chính là biến mất ở bên trong thánh điện bên ngoài, thật giống như cho tới bây giờ không có xuất hiện qua vậy, chỉ còn lại có Lâm Phong mấy người mắt lớn trừng mắt nhỏ nhìn chung quanh.

	"Cái này Ngân vực thánh điện kết quả là ý gì? Đem chúng ta lượng ở chỗ này?" Tống Trang nhìn trong này không có một bóng người, hiển nhiên là cố ý như vậy, chính là nổi giận đứng lên, bỏ mặc nói thế nào hắn đều là Thần vực thánh điện bốn đại thánh quân một trong, lúc này thành tựu thần chủ đặc sứ, Ngân vực thánh điện lại đối đãi như vậy, coi như là Bồ tát cũng biết tức giận.

	Ngân vực thánh điện cùng Thần vực thánh điện cũng không phải là bởi vì liên minh quan hệ, mới có thể để cho cái trước như vậy làm mưa làm gió, nếu quả thật là như vậy, Thần vực thánh điện thà không muốn người minh hữu này.

	"Ta đây không đợi, ta đây phải đi về, Lâm Phong, đi thôi" . Viên Phi nổi giận gầm lên một tiếng, hắn bạo nóng nảy lại nổi lên, hắn không kiên nhẫn tiếp tục chờ tiếp, Ngân vực thánh điện nhất định chính là làm khó Lâm Phong, Lâm Phong không thấy được thần chủ, tự nhiên không cách nào trở về hướng Thần vực thánh điện người giao phó.

	"Sư tôn, Ngân vực người muốn làm nhục ngài" . Một mực nhắm mắt không nói chìm nổi lần này cũng rất khó giữ bình tĩnh, sư tôn bị người như vậy đùa bỡn làm nhục, đánh là sư phó hắn mặt, cũng chính là mặt hắn.

	Lâm Phong nhìn nhất bình tĩnh chìm nổi lần này đều không lại yên lặng, có thể gặp Ngân vực thánh điện chuyện này làm rất không phúc hậu, nhưng mà vậy thì có thể làm gì? Vừa đi liễu chi? Cái này biết càng còn trúng những người này mưu kế, đem tất cả xử phạt đẩy tới trên người mình, nói là mình vô tình nói xin lỗi, không biết hối cải, phá xấu xa hai nhà hữu nghị.

	Đến lúc đó, bỏ mặc chân tướng sự tình là như thế nào, chí ít Thần vực thánh điện người là sẽ không ở tin, cho nên Lâm Phong rất rõ ràng, ngày hôm nay không thể tùy tiện rời đi, nếu không công dã tràng.

	"Lâm Phong, cái này cổ khí chúng ta không cần nhịn, chẳng qua cái này liên minh không cần chính là" . Tống Trang cũng rốt cuộc không nhịn được, trong lòng tức giận bộc phát ra, hắn muốn làm tốt một cái thánh quân, mà bây giờ phát hiện đối phương chân thực thật là quá đáng, thật là không cầm Thần vực thánh điện người xem chuyện.

	Vốn là một mực cho rằng Ngân vực thánh điện là rất dễ nói chuyện, nhưng là từ xảy ra Lâm Phong cùng Hạo thần tử sự việc sau đó, Ngân vực thánh điện thái độ rất kém cỏi, không phải vậy

	 kém, bây giờ kể cả thần chủ ở bên trong, cũng đem Thần vực thánh điện đại biểu lượng ở nơi này .

	"Đúng vậy, Lâm Phong, không có gì ghê gớm, bọn ta đi thôi" . Viên Phi phụ họa nói, hắn cho tới bây giờ không bị như vậy làm nhục.

	"Sư tôn, vừa đi liễu chi chưa chắc sẽ không bảo vệ tôn nghiêm phương pháp" . Chìm nổi cũng ở một bên ôm quả đấm vừa nói, hy vọng Lâm Phong không phải ở lại chỗ này tiếp tục bị người làm nhục.

	Như vậy mà nơi này vốn nên là Lâm Phong tức giận nhất, nhưng mà lúc này Lâm Phong nhưng là vẻ kiêu ngạo rực rỡ nụ cười, không chút nào bộ dáng phẫn nộ, không khỏi làm người nghi ngờ.

	"Chúng ta không đi, tại sao phải đi, không chỉ có chúng ta không đi, chúng ta còn phải làm tốt cái này quý khách" . Lâm Phong sang sãng cười một tiếng, sau đó ánh mắt nhìn về phía đại điện ngay chính giữa thần chủ vị.

	"Lâm Phong, ngươi đây là. . . ?"

	Tống Trang nhìn Lâm Phong, hỏi ra trong lòng kinh ngạc, chẳng qua là lời còn chưa dứt chính là bị Lâm Phong ngăn lại, Lâm Phong cười nhạt, bước chân nhẹ đạp, đi tới Ngân vực thánh điện thần chủ chỗ ngồi bên cạnh, sờ một cái con rồng này ghế.

	"Ngân mới vừa thạch chế tạo ngai vàng, ngồi lên khẳng định rất oai phong, các người nói vậy? Học trò? Viên Phi?"

	Lâm Phong mặt tươi cười nhìn trong tay vuốt ve ngai vàng, sau đó ngẩng đầu lên hỏi hai người.

	Chìm nổi cùng Viên Phi mặt đầy kinh ngạc, không biết Lâm Phong muốn làm gì, mà Tống Trang lúc này đã sớm sắc mặt tái nhợt, thần chủ người lớn vị trí không cho phép bất kỳ vọng động, dù là thần tử cũng không có thể, Lâm Phong bây giờ lại vuốt ve ngai vàng, Tống Trang trong lòng tim đập đột nhiên tăng nhanh, tựa như tùy thời cũng có thể nhảy lên đi ra.

	"Hôm nay thấy được ngai vàng, không ngồi lên, thì sẽ là cuộc sống một lớn chuyện ăn năn, cho nên. . ." .

	"Ngươi hôm nay nếu là ngồi ngai vàng, sẽ gặp là trong cuộc đời nhất chuyện hối hận tình" .

	Ngay tại lúc này, Lâm Phong lời còn chưa dứt, trong sân chính là đột nhiên xuất hiện một bóng người, sắc mặt âm trầm, mặt mũi quanh co uy vũ, trên người màu trắng xanh lơ tụ trường bào càng làm cho chàng trai cực kỳ giống một người thư sinh.

	Chàng trai rơi trên mặt đất, sắc mặt âm trầm nhìn về phía Lâm Phong, không nhịn được cười lạnh nói: "Ta vẫn là lần đầu thấy như vậy cả gan làm loạn người?"

	"A, ta Lâm Phong một không làm chuyện hối hận tình, hai không làm to gan sự việc, bởi vì ta muốn làm chuyện, liền nhất định sẽ làm, ngươi nói thế nào? Ngân vực thánh điện thần chủ đại nhân?"

	Lâm Phong nhàn nhạt cười lạnh, sau đó chính là mặt tươi cười nhìn trường bào chàng trai, hỏi.

	Nhất thời, tất cả mọi người sắc mặt cũng là lớn đổi, bao gồm chìm nổi đều là ở bên trong, bởi vì nam tử trước mắt chính là trong truyền thuyết Ngân vực thánh điện thần chủ, nhưng là bây giờ bị Lâm Phong lên tiếng châm chọc, Tống Trang trong lòng bàn tay đều là mồ hôi, hắn chỉ hy vọng Lâm Phong có thể bớt tranh cãi một tí, nếu không thật chọc giận thần chủ, liền nguy hiểm.

	"Ha ha, giỏi một cái một không hối hận, hai không lui về phía sau, chẳng qua là ngươi sẽ không sợ ta giết ngươi?" Ngân vực thánh điện thần chủ cười lạnh một tiếng, sau đó sắc mặt đột nhiên biến sắc, trở nên vô cùng vì tức giận cùng âm trầm, chỉ Lâm Phong hét.

	"Thần chủ muốn giết tiểu tử, giống như nghiền chết một con kiến như thế đơn giản, cho nên thần chủ cũng hẳn rõ ràng, ta lời muốn nói, là không sẽ để ý sinh tử" .

	Lâm Phong trầm giọng hướng về phía thần chủ vừa nói, mặt đầy vẻ kiên định.

	Nghe vậy, thần chủ mặt mũi không khỏi ngẩn ra, rồi sau đó chính là không nhịn được ngửa mặt lên trời cười lớn, không nhìn ra hắn là tức giận vẫn là tức giận.

	"Giỏi một cái không thèm để ý sống chết, bằng một điểm này, ngươi cũng xứng với các người thần chủ đối với kỳ vọng của ngươi" . Thần chủ sang sãng cười, thân thể nhẹ nhàng một bên, ngay tức thì đi tới Lâm Phong bên người, ở Lâm Phong nhìn soi mói, chậm rãi ngồi xuống ghế.

	"Mấy ngày nay sự việc, ta đã nắm giữ rõ ràng, nếu không phải như thế rõ ràng, ngươi cho rằng các người còn có thể sống sờ sờ đứng ở chỗ này?"

	Thần chủ nói lời này, sắc mặt một chút xíu ngưng trọng âm trầm, ánh mắt cũng lộ ra vài tia tức giận, dĩ nhiên là Hạo thần tử sự việc, để cho thần chủ rất tức giận.

	Mà hắn nói để cho Lâm Phong bừng tỉnh hiểu ra, không sai, nếu như không phải là thần chủ đã giải trừ sự thật tình huống, dựa vào mình ngày đó làm nhục Hạo thần tử, loại này đánh mặt sự việc, hắn tự nhiên không thể tha, Ngân vực thánh điện cũng không thể tha thứ.

	"Ngươi kết quả muốn thế nào?" Lâm Phong cau mày nhìn thần chủ ngồi ở trên ghế, không nhịn được trầm giọng hỏi.

	"Ta? Ta muốn ngươi hướng Hạo thần tử nói xin lỗi, cái này có thể sao?" Thần tử vẻ kiêu ngạo nghiền ngẫm nụ cười nhìn Lâm Phong hỏi.

	"Hướng thần tử nói xin lỗi?" Lâm Phong chau mày, rồi sau đó không nhịn được châm chọc cười lên.

	"Ngươi cảm thấy vậy?" Lâm Phong mặt lạnh sắc hỏi ngược lại, ánh mắt âm đẹp trai.

	Xem tới nơi này, thần tử nụ cười trên mặt hơn nữa nồng dầy, không nhịn được lắc đầu nói: "Dĩ nhiên là không thể, ngươi nóng nảy, sợ là ngươi thật phạm sự, cũng sẽ không nói xin lỗi" .

	"Ngươi nếu biết, vì sao để cho ta hướng Hạo thần tử nói xin lỗi?"
