Chương 765: Bắt đầu trả thù! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Lâm Phong, cùng chúng ta đi" .

	Lâm Phong từ Trần Quang Vũ nơi đó rời đi không bao lâu, còn chưa cùng trở lại Tuyệt Vọng cốc, từ ngoài cốc lại xuất hiện hai cái người đàn ông áo đen, cản lại Lâm Phong đi về phía trước đường.

	"Các người là người nào?" Phụ trách hộ tống Lâm Phong trở về mấy người đệ tử sắc mặt có chút không tốt, bọn họ bị Trần Quang Vũ phân phó, nhất định phải không sanh sự bưng đem Lâm Phong đưa vào Tuyệt Vọng cốc, nếu không thì là bọn họ không làm tròn bổn phận.

	"À, chúng ta là thành Kim Luân đệ tử, đem Lâm Phong giao cho chúng ta là được" . Hai người đàn ông hai mắt nhìn nhau một cái, trong lòng bắt đầu cẩn thận, đối phương cũng không phải là thành Kim Luân đệ tử, mà là tùy thân đi theo Trần Quang Vũ thủ hạ, đối với Trần Quang Vũ, bọn họ không dám có bất kỳ không tôn kính.

	Hơn nữa trước khi tới, bọn họ nhận được đặc biệt ra lệnh, phàm là gặp phải Trần Quang Vũ thủ hạ, nhất định không thể dùng thủ đoạn cứng rắn, phải dùng mưu trí đem bọn họ lừa gạt đi, nếu như không làm như vậy, cưỡng ép mang đi Lâm Phong, như vậy mấy cái này Trần Quang Vũ thủ hạ trở về sau đó nhất định sẽ hướng Trần Quang Vũ báo cáo, như vậy Kim Luân thần tôn động tác nhỏ liền làm sao.

	Cho nên hai người đàn ông đối với những thủ hạ này trong thái độ hết sức tôn kính, hơn nữa giọng vô cùng nhu hòa, sợ bị nhìn ra một chút không đúng đầu mối.

	Phụ trách hộ tống Lâm Phong mấy tên thủ hạ trố mắt nhìn nhau, rồi sau đó kinh ngạc lên tiếng hỏi: "Thành Kim Luân đệ tử? Có chuyện?"

	"À, là như vầy, bởi vì là Lâm Phong đã vượt qua Tuyệt Vọng cốc đóng một cái, cho nên chúng ta sẽ gặp đem hắn mang tới Tuyệt Thủy cốc, đợi ba ngày sau, chúng ta tự nhiên sẽ thả người" . Hai người đệ tử là trả lời như vậy, mấy tên thủ hạ nghe như vậy trả lời, đầu tiên là do dự chốc lát.

	"Các người trở về đi thôi, không cần phải để ý đến ta" . Lâm Phong liếc nhìn sau lưng mấy cái Trần Quang Vũ thủ hạ, trầm giọng quát lên, mấy người trầm tư chốc lát lúc này mới gật đầu một cái, yên lòng đem Lâm Phong giao cho cái này hai người đệ tử.

	"Đi thôi" . Hai cái thành Kim Luân đệ tử nhận lấy Lâm Phong, nhìn mấy tên thủ hạ dần dần cách xa cốc khẩu, lúc này mới yên lòng, xoay đầu lại, hai người đệ tử sắc mặt nhất thời trở nên lạnh lùng hết sức.

	"Đi thôi, Lâm Phong, cùng chúng ta đi Tuyệt Quang cốc" . Chàng trai cầm đầu cười lạnh một tiếng, đẩy Lâm Phong một chút, Lâm Phong đi ở phía trước, nghe được chàng trai tiếng quát, trong lòng nhất thời căng thẳng, cùng lúc đó Lâm Phong cũng nghĩ đến cái này mờ ám trong đó, không nhịn được cười lạnh.

	Lâm Phong cũng không có lên tiếng, mà là rất bình tĩnh theo con đường núi này đi về phía trước, hai người đệ tử liền ở sau lưng phụ trách đặt giải trừ, đại khái 10 phút sau này, Lâm Phong đi tới một cái so sánh xa lạ thung lũng, thung lũng này một mảnh đen nhánh, đưa tay không thấy được năm ngón đen nhánh.

	"Vào đi thôi" . Sau lưng hai người đàn ông trầm hát lên tiếng, ánh mắt lạnh lùng nhìn Lâm Phong.

	Lâm Phong liếc mắt dưới chân vạn trượng thung lũng không gặp đáy cốc, lại là trước đó chưa từng có đen nhánh một mảnh, Lâm Phong chân mày nhỏ chọn, cười hỏi: "Đây chính là Tuyệt Quang cốc?"

	"Không sai, chính là Tuyệt Quang cốc" . Hai người không nhịn được gật đầu một cái, hướng về phía Lâm Phong quát ra thanh.

	"Các người mới vừa cùng bọn họ nói, phải đem ta mang tới Tuyệt Thủy cốc, bây giờ vì sao là Tuyệt Quang cốc? Trong này rốt cuộc có âm mưu gì?" Lâm Phong toét miệng cười một tiếng, trên mặt nhiều hơn rất nhiều nụ cười sáng lạng, nhưng ánh mắt chỗ sâu đã càng ngày càng âm trầm.

	Đến lúc này kẻ ngu cũng có thể phát hiện cái này thành Kim Luân rất có thể sẽ đối mình chân chính ra tay, muốn ở bên trong ba ngày giết mình, diệt trừ mối họa, chỉ có như vậy mới có thể giữ được thành Kim Luân mặt mũi cùng tôn nghiêm, cái này cũng phải là Kim Luân thần tôn chủ ý.

