Chương 1024: Đính hôn nghi thức bắt đầu! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Lâm công tử, ngươi tới thật là tấu xảo" .

	Lúng túng không khí từ đầu đến cuối không có tản đi, nhưng Thanh Tâm Nguyệt vẫn là không nhịn được loại này nói không ra lời mùi vị, liền dẫn đầu phá vỡ cái này nặng nề không khí, không mặn không lạt cười một tiếng, trong giọng nói có chút u oán, cũng có chút thất lạc.

	Sở Xuân Thu nhìn hai người, hắn càng ngày càng cảm thấy Lâm Phong và Thanh Tâm Nguyệt quan hệ có chút không đơn giản, nhất là Thanh Tâm Nguyệt đối với Lâm Phong nhất định là có nơi hảo cảm, nếu không không gặp được Lâm Phong sau đó như vậy, u oán đồng thời cũng có chút đùa bỡn công chúa nóng nảy.

	Sở Xuân Thu không có giải thích, bởi vì là Lâm Phong không nói gì, hắn liền không muốn nói chuyện nhiều, dù sao sự thật nhất định sẽ bị vạch trần, liền xem Lâm Phong như thế nào lựa chọn.

	"Ta chỉ muốn hỏi một cái vấn đề, có thể không?" Lâm Phong hé miệng cười một tiếng, nụ cười trong hơi hơi mang theo vẻ khổ sở, đồng thời còn có cố chấp, nhìn chằm chằm Thanh Tâm Nguyệt.

	Thanh Tâm Nguyệt hơi dời đi ánh mắt, không dám nhìn chằm chằm Lâm Phong ánh mắt, nhưng nàng gật đầu yên lặng nói: "Ngươi hỏi" .

	"Anh ngươi ở đâu?" Lâm Phong nhìn chằm chằm Thanh Tâm Nguyệt ánh mắt từ đầu đến cuối không có dời ra chỗ khác, cao giọng hỏi.

	Đột ngột vấn đề để cho Thanh Tâm Nguyệt có chút ứng phó không kịp, mặt nàng sắc hơi có chút biến hóa, ánh mắt càng có chút run động, nhưng rất nhanh nàng liền bình tĩnh lại, sau đó lãnh đạm nói: "Lâm công tử, ta không có anh, ta chỉ có một người" .

	"Ngươi có nổi khổ?" Lâm Phong không để ý đến Thanh Tâm Nguyệt trả lời, như cũ trầm giọng hỏi.

	Thanh Tâm Nguyệt lãnh đạm lắc đầu, sau đó trầm giọng nói: "Ta không biết ngươi đang nói gì, tốt lắm, ta còn có việc, đi trước" .

	"Ngoài ra Lâm công tử tùy tiện tới ta khuê phòng tựa hồ có chút không tốt, cho nên ngươi hay là đi bên ngoài điện đi, vừa vặn làm chứng ta cùng Thanh Lăng Hiên đính hôn nghi thức" . Thanh Tâm Nguyệt nhàn nhạt vừa nói, sau đó bắt đầu từ Lâm Phong bên người đi tới, hai người đụng một cái bả vai, nhưng không có thể ngăn cản Thanh Tâm Nguyệt rời đi quyết định.

	Thanh Tâm Nguyệt ăn mặc 3m có thừa quá vô cùng bào, màu đỏ thẫm hồng bào cùng với màu vàng kim mũ phượng, hết thảy cũng tỏ ra như vậy ung dung hoa quý, sau lưng càng là theo chân bốn cái trang phục lộng lẫy ăn mặc thị nữ còn có hai tên hộ vệ, đều là nửa bước thần đế cường giả.

	Thanh Tâm Nguyệt từ Lâm Phong bên người đi tới, thẳng đến biến mất ở hậu điện, từ đầu đến cuối Lâm Phong cũng không nói một câu, cũng không có hướng Thanh Tâm Nguyệt giải thích lần này cứu vấn đề.

	Chỉ chốc lát sau, Sở Xuân Thu đi tới Lâm Phong trước người, nhàn nhạt hỏi: "Ngươi vì sao không nói ra nguyên nhân?"

	"Ngươi cảm thấy ta nói ra, nàng sẽ tin sao?" Lâm Phong cười khổ lắc đầu một cái, sau đó nhìn Sở Xuân Thu hỏi.

