Chương 1043: Người tổ giáng thế? 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Tướng công, ngươi hù chết ta, đột nhiên biến mất, không có bất kỳ khí tức gì tồn lưu!"

	Thanh Phượng nhìn Lâm Phong, sắc mặt vẫn có một ít tái nhợt, bất mãn hướng về phía Lâm Phong khẽ kêu trước, Lâm Phong ôm Thanh Phượng, bình phục nàng tâm tình, Thanh Phượng đã động bào thai, không thể tiếp tục làm kịch liệt vận động, càng không thể tùy tiện tiêu hao nguyên khí, nếu không thai nhi không yên, dễ dàng trợt thai.

	Lâm Phong ôm lấy Thanh Phượng, sau đó tung người bay lên chạy thẳng tới nhà phương hướng bay đi, tốc độ không chút nào chậm lại, bởi vì là Liễu Phỉ và con mình sắp xuất thế, mình đáp ứng cha bảy ngày bên trong tất thuộc về, bây giờ đúng lúc là ngày thứ sáu, hoàn toàn có thể ở trước ngày mai về đến nhà.

	Thanh Phượng ở Lâm Phong trong ngực, chân chân thật thật cảm thấy người đàn ông thành thục hơi thở, đều đều hô hấp ra hơi nóng đánh vào mặt nàng lên, để cho khuôn mặt nhỏ nhắn của nàng có chút mắc cở đỏ bừng, làm là yêu tộc đại lão học trò, nàng chính là thật phượng thân, nhưng vẫn sa vào ở Lâm Phong trên mình, Lâm Phong mị lực, quá mạnh mẽ, không thể ngăn trở!

	Trải qua mấy giờ phi hành, Lâm Phong và Thanh Phượng rốt cuộc bay trở về nhà, vội vã hàng rơi xuống đất, sau đó buông xuống Thanh Phượng.

	Lâm Phong và Thanh Phượng đi sân trong đi, đột ngột biến đổi lớn liền phát sinh ở giờ phút này.

	Ùng ùng!

	Trời đất biến đổi lớn, kinh khủng năng lượng bỗng nhiên tràn đầy toàn bộ võ hồn thế giới, trên bầu trời mây đen dày đặt, màu vàng kim sấm sét giống như từng cái rồng sấm như nhau cực kỳ đáng sợ, không chỉ là màu vàng kim sấm sét, còn có màu tím trình độ cao nhất thiên lôi, quanh quẩn ở trên trời, cực kỳ dọa người.

	Kinh khủng hơi thở đột ngột biến hóa, để cho Lâm Phong vậy cảm giác khiếp sợ, đây rốt cuộc là nơi nào xuất hiện năng lượng? Mới vừa còn không có, mình hàng rơi xuống đất, liền xuất hiện kinh khủng năng lượng, huống chi đây là đang mình võ hồn thế giới, mình chính là chúa tể, lại không có dự liệu được như vậy năng lượng xuất hiện?

	Lâm Phong không cách nào hiểu, chân thực không cách nào hiểu, đồng thời vừa sợ ngạc và sợ hãi, đây rốt cuộc muốn phát sinh cái gì? Chẳng lẽ có cái gì tai nạn xuất hiện?

