Chương 858: Người không làm chết, cũng sẽ không chết! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Lấy ngươi tốc độ, ở rạng sáng thì có thể đến" .

	Lâm Phong ở trên không toàn lực phi hành, Tổ Địch lão giả ở bên trong chiếc nhẫn cùng Lâm Phong đối thoại, 2 người chỉ như vậy đang chat đi tới Túng Ma cốc.

	Rạng sáng, thời tiết có chút âm lãnh, chân trời chỉ cúp vài tia ánh nắng đỏ rực, mặt trời nóng rực còn không có dâng lên, không cảm giác được ánh mặt trời chiếu rọi vùng đất ấm áp, hơn nữa ở Túng Ma cốc chỉ có âm u kinh khủng, liền tính ra ánh mặt trời, cũng là như vậy.

	Lâm Phong rơi trên mặt đất, trước mắt vừa nhìn vô tận đều là lồi lõm dãy núi, có đỉnh núi đủ có mấy chục ngàn thước cao, mà có thung lũng nhưng thuộc về độ cao so với mặt biển trở xuống mấy ngàn gạo, hơn nữa thiên nhiên mây tía bình phong che chở, núi cao trên lại là sương mù bao phủ, trên dưới 2 loại màu sắc sương mù, để cho Lâm Phong cảm giác thán phục.

	Màu xanh chân trời, màu trắng mây mù cùng với màu tím cốc sương mù, 3 loại màu sắc xuống Túng Ma cốc tỏ ra có chút đáng sợ, bởi vì là Túng Ma cốc liền là có màu tím sương mù dưới.

	Túng Ma cốc ba cái cổ văn bị khắc chung một chỗ vượt qua trăm thước cao đá lớn trên, đá đã cũ kỹ rất, phía trên còn có bị binh khí chém xấu dấu vết, nhưng đá lại không có vỡ vụn, đủ thấy tảng đá này bản thân liền không giống tầm thường, chỉ là không có người cầm cái này một hòn đá.

	Đá dưới tất cả đều là đằng mạn, chợt vừa thấy cho là màu tím rắn độc đóng đầy đất đai, có chút dọa người.

	Đứng ở đá phía trước, nhìn trước mắt sương mù này dưới Túng Ma cốc, Lâm Phong trực quan liếc nhìn, có chừng mấy ngàn thước độ sâu, có lẽ sâu hơn, bởi vì là từ bên trong không ngừng đi lên mặt dâng lên một loạt buồn nôn khí cùng với hôi thúi hơi thở.

	Bên ngoài hội tụ Túng Ma cốc người vậy càng ngày càng nhiều, bất quá Lâm Phong tạm thời không thấy thượng vị thần tôn cấp bậc người, đều là một ít hạ vị thần tôn chiếm đa số, thậm chí còn có thần hoàng cấp bậc, bọn họ cũng chỉ là ở Túng Ma cốc bên bờ đào ba thước tìm bảo bối.

