Chương 327: Phải truyền thừa! 
 Converter Dzung Kiều cầu phiếu 

	"Làm sao? Thằng nhóc ngươi không muốn à?"

	Thấy Lâm Phong giật mình diễn cảm, ông già vóc dáng lùn sắc mặt đông lại một cái, rồi sau đó trầm giọng hỏi.

	"Không, không, làm sao lại thế" . Lâm Phong đắng chát cười một tiếng, chặt vội vàng lắc đầu, nhưng trong lòng hận không thể lập tức biến mất ở cụ già trước người, nhưng là lại không thể rời đi, để cho Lâm Phong rất là buồn rầu.

	Thấy Lâm Phong diễn cảm rõ ràng có chút không tình nguyện, cụ già lại làm sao sẽ không nhìn ra?

	"Hụ hụ hụ, như vậy đi, xem thằng nhóc ngươi cũng không tệ lắm, như vậy, lão hủ dẫn ngươi đi xem 1 chút Ma hoàng quan tài một trong, có thể hay không đạt được hắn truyền thừa, liền nhìn chính ngươi" .

	Vóc dáng lùn lão nhân nói, bên trái vung tay lên, ngay sau đó Lâm Phong con ngươi co rút nhanh, chung quanh cảnh tượng xảy ra biến đổi lớn, vốn là một cái màu máu con sông đều biến mất hết không gặp, to lớn tế đàn cũng biến mất không gặp, ngược lại chung quanh nhiều bỏ hoang ngói vụn cùng thần hoàng khí, nơi này đường ranh rất giống một tòa cung điện hình dáng.

	Lão đầu vóc dáng lùn đứng ở Lâm Phong trước người, chắp hai tay sau lưng, thời khắc này cụ già cặp mắt ngưng trọng, nhìn cái này bỏ hoang đại điện, trong ánh mắt mang một tia vẻ phức tạp, rồi sau đó lẩm bẩm nói: "Lão gia, không biết hôm nay ngươi truyền thừa còn ở đó hay không?"

	"Thằng nhóc , đi vào trong phế tích ương, sau đó lấy ra Ma hoàng máu tươi" . Vóc dáng lùn cụ già liếc mắt Lâm Phong, sau đó chỉ chỉ phế tích vị trí trung ương, đó là một cái rưỡi bỏ hoang đồ sộ đỉnh, màu máu đỏ đồ sộ đỉnh vẫn còn ở tản ra ma khí, nhưng rõ ràng không có ngày xưa oai.

	Lâm Phong một mặt giật mình nhìn cụ già, người sau tại sao biết hắn thân giấu Ma hoàng máu tươi? Nhưng là Lâm Phong đem nghi ngờ đặt ở trong lòng, Lâm Phong mặc dù đối với lão đầu rất là bất mãn, nhưng không thể chối, cái này cụ già chết trước là một vị thần hoàng cấp cường giả khác, cho dù là bây giờ, cũng là bán thần hoàng tàn hồn, rất đáng sợ.

	Cho nên có thủ đoạn gì có thể phát hiện mình có giấu Ma hoàng máu tươi, cũng là bình thường.

	Lâm Phong căn cứ lão đầu vóc dáng lùn nếu, chậm rãi đi tới cái này màu đỏ đồ sộ đỉnh chung quanh, rồi sau đó bên trái vung tay lên, sáu tích Ma hoàng máu tươi giống như sáu giọt nước vậy, lơ lửng ở giữa không trung.

	Ngay tức thì, Lâm Phong trong lòng cả kinh, chỉ cảm thấy máu tươi cùng huyết sắc này đồ sộ đỉnh bây giờ lại có từng tia liên hệ vi diệu sinh ra, cuối cùng càng ngày càng lớn, cho đến cuối cùng, cái này đồ sộ đỉnh lại bắt đầu lay động, màu máu đỏ đồ sộ đỉnh tản ra đáng sợ ma uy, đồ sộ trên đỉnh cổ văn tựa như sống đứng lên, phát ra ông ông tiếng vang.

	Đột nhiên, dị biến nổi lên, Lâm Phong xem đến đỉnh đầu sáu tích máu tươi tốc độ đột nhiên tăng nhanh, ngay tức thì liền bay đến đồ sộ đỉnh trên, đồ sộ đỉnh miệng to nổ bắn ra ra một đạo trăm mét huyết quang, kinh khủng à uy không thể không để cho Lâm Phong lui về phía sau mấy bước, mà sáu tích máu tươi nhưng giống như là bị ngọn lửa nướng vậy, phát ra thanh âm tê tê,

	Lại toát ra khói trắng.

	Cùng lúc đó, Ma hoàng máu tươi bắt đầu cùng màu máu đồ sộ đỉnh dung hợp với nhau, Lâm Phong rõ ràng nhìn thấu huyết sắc này đồ sộ đỉnh chung quanh cổ văn chậm rãi lưu động, theo sáu tích máu tươi dung hợp đi vào, cổ văn ánh sáng càng ngày càng sáng, cuối cùng hưu một tiếng vang thật lớn, màu máu đồ sộ đỉnh một tiếng nổ rủ xuống rơi trên mặt đất.

	Vô luận là Lâm Phong, vẫn là vóc dáng lùn cụ già, tất cả đều thân thể run lên, không thể không nắm giữ thăng bằng, để tránh bị run rẩy đất đai quấy nhiễu, hồi lâu sau, đồ sộ đỉnh khôi phục bình thường, mất đi kinh khủng à đạo lực áp bách, bất quá sáu tích Ma hoàng máu tươi cũng hoàn toàn biến mất, cùng đồ sộ đỉnh hòa tan với nhau.

	"Cái này. . ." . Lâm Phong một mặt kinh ngạc, không biết hết thảy phát sinh trước mắt đối với bản thân có vì sao chỗ tốt, ngược lại đem mình lấy được sáu tích máu tươi phụ vào, vốn là cái này sáu tích máu tươi đủ để cho mình đột phá tầng 1, đạt tới thánh linh hoàng tầng 7.

	"Ai, mù mắt" . Lâm Phong thở dài, có chút buồn bực, trừng mắt nhìn đồ sộ đỉnh, không biết cái này đồ sộ đỉnh rốt cuộc là thứ gì, liền máu tươi cũng cho cắn nuốt.

	"Hì hì , thằng nhóc , ngươi có thể đừng thân ở trong phúc không biết phúc à, cái này đồ sộ đỉnh lai lịch không đơn giản, nói ra, hù chết ngươi" .

	Ngay tại lúc này, lão đầu vóc dáng lùn bước nhịp bước, đi tới Lâm Phong trước người, híp mắt hướng về phía Lâm Phong cười nói.

	Nghe vậy, Lâm Phong một mặt kinh ngạc, còn có khó hiểu, Lâm Phong tự nhiên biết cái này đồ sộ đỉnh lai lịch không đơn giản, nhưng mà cái này đồ sộ đỉnh cấp bậc giống như là bị đậm đà che lại liền vậy, căn bản không thấy rõ cấp bậc.

	"Thằng nhóc , ngươi có thể biết năm đó Hiên Viên Ma hoàng có ba kiện bảo?" Lão đầu vóc dáng lùn ngưng mắt nhìn Lâm Phong, rồi sau đó ánh mắt lộ ra một tia mênh mông cùng hoài niệm.

	"Hiên Viên Ma hoàng năm trăm tuổi thành là thần hoàng, ở sau mấy chục ngàn năm bên trong, Hiên Viên Ma hoàng tổng cộng sử dụng qua ba kiện bảo vật, cái này ba kiện bảo vật tất cả đều là một phương chí tôn thần khí, trong đó một kiện, chính là cái này đồ sộ đỉnh" .

	Lão đầu vóc dáng lùn vừa nói, ánh mắt liếc về phía đồ sộ đỉnh trên, Lâm Phong trên mặt lộ ra một vẻ kinh ngạc, đây lại là Ma hoàng năm đó pháp bảo sử dụng?

	"Này đồ sộ đỉnh tên là huyết đỉnh, chính là chí tôn thần hoàng khí, ngày xưa Ma hoàng dùng nó luyện chế thân thể dùng, trừ cái này ra, đỉnh này còn có thể luyện hóa 4 phương bảo vật thành thuốc, để cho mình uống" .

	"Ma hoàng ngày xưa chính là bằng vào huyết đỉnh mới có thể thành là thần hoàng cường giả, sáng lập vô số thần thoại, 1 phần 3 công lao, đều phải quy về cái này đồ sộ đỉnh" .

	"Mới vừa trên mình ngươi Ma hoàng máu tươi cùng huyết đỉnh dung hợp, khiến cho huyết đỉnh khôi phục mấy phần tức giận, nhưng vẫn không gặp năm đó oai, cho nên ngươi muốn hoàn toàn để cho huyết đỉnh khôi phục, phải tìm trời đất chi bảo mới có thể" .

	Lão đầu vóc dáng lùn nếu, để cho Lâm Phong cảm thấy khiếp sợ, lần này lại xem huyết đỉnh, chính là đầy mặt hưng phấn, đây chính là cơ hội lớn à, đây mới thật sự là cơ hội à.

	Ma hoàng ba kiện pháp khí một trong, huyết đỉnh, bị mình lấy được?

	"Tiền bối, huyết đỉnh phẩm cấp?" Lâm Phong nhìn lão đầu, dò xét giống vậy hỏi.

	"Chí tôn thần hoàng khí" . Lão đầu liếc mắt Lâm Phong, nhàn nhạt quát lên.

	"Chí tôn thần hoàng khí? So sánh với phẩm thần hoàng khí còn lợi hại hơn sao?" Lâm Phong có chút kinh ngạc nhìn huyết đỉnh, trong miệng đích nói thầm một câu.

	Lão đầu vóc dáng lùn nghe Lâm Phong lẩm bẩm, rất muốn giết Lâm Phong, đây rốt cuộc là từ đâu tới tên nhà quê à, liền chí tôn thần hoàng khí cũng không biết?

	"Này , thằng nhóc , thượng phẩm thần hoàng khí có thể cùng huyết đỉnh so sánh? Cái này đồ sộ đỉnh là chân chánh chí tôn thần hoàng khí, hơn nữa còn là thượng phẩm, chỉ có thần hoàng cường giả mới có thể vận dụng, bán thần hoàng đô không thể vận dụng, biết chưa?"

	"Còn như ngươi nói cái gì chó má thượng phẩm thần hoàng khí cũng phối hợp kêu thần hoàng khí? Chân chính thần hoàng khí chỉ có chí tôn pháp khí mới xứng kêu thần hoàng khí, bởi vì là đây mới là thần hoàng sử dụng pháp khí" .

	"Như thế lợi hại?" Lâm Phong hoàn toàn bị ông già nói rung động, chí tôn thần hoàng khí, thật khủng bố à.

	"Vậy ta liền thu lại, ha ha" . Lâm Phong cởi mở cười lớn một tiếng, sau đó một bước bay đến huyết đỉnh trước mặt, cùng người sau so sánh, Lâm Phong tỏ ra có chút nhỏ bé, cái này đồ sộ đỉnh chí ít cũng có mười mấy mét cao độ, nhưng mà Lâm Phong nhưng trực tiếp một cước đem huyết đỉnh đá bay, rồi sau đó hai tay cầm chặt đồ sộ đỉnh phần đáy, đem đồ sộ đỉnh bắt.

