Chương 379: Kịch chiến Thiết Huyền thống lĩnh! 
 Converter Dzung Kiều cầu phiếu 

	"Muốn, nếu như Ma Phong có thể thắng liền ta, ta không nói có thể nói" .

	"Hơn nữa, nếu như có ai gan dám phản đối, ta cũng sẽ trợ giúp Ma Phong trấn áp bọn họ!" .

	Một tiếng thét điên cuồng thanh truyền tới, tên này người đàn ông vạm vỡ ăn mặc khôi giáp, khí thế nhưng vô cùng là bàng bạc, dáng dấp mặc dù không coi là anh tuấn, nhưng lại một loại hạo nhiên chính khí ở trong đó.

	Hoang thần hoàng trên mặt lộ ra vẻ yên tâm vui vẻ, rồi sau đó gật đầu một cái nói: "Được, Thiết Huyền nếu như có thể làm được cam kết, ta cũng không thể nói gì được, hơn nữa Thiết Huyền là trong các ngươi bảy nửa thần hoàng trong mạnh nhất, hắn nếu đánh bại, các người tự nhiên cũng không đánh lại Ma Phong" .

	"Thiết Huyền thống lĩnh không bị thua!" .

	"Thiết Huyền thống lĩnh, giương cao ta Hiên Viên thành trì oai!" .

	"Thiết Huyền thống lĩnh, đánh bại Ma Phong, hắn không phải ngươi đối thủ, mặc dù ta rất kính nể hắn" .

	Thành trì phía dưới truyền tới vô số tiếng rống giận, nhưng là không có một cái là đối với Lâm Phong thân phận nói lên chất vấn, nếu như lừa gạt điềm còn sống, tất nhiên sẽ nói, Lâm Phong chính là thôn Tội Đồ tội đồ, Ma hoàng nghiệt chủng đời sau, hủy xấu xa đạo chính thống truyền nhân, không xứng thành là thành chủ.

	Hiển nhiên thân ở Hiên Viên thành trì mỗi một cường giả, trong lòng vốn cũng không có đối với Ma hoàng địch ý, ngược lại có rất nhiều kính ý, nhất là vượt ở thành trì sinh hoạt thời gian càng lâu, đối với Ma hoàng kính nể tình vượt đủ.

	Thành trì phía dưới mấy trăm tên cường giả nhanh chóng tản ra, ước chừng làm thành một đạo đường kính ngàn thước không gian, đủ Thiết Huyền cùng Lâm Phong hai người đối chiến.

	Thiết Huyền thống lĩnh ôm hai quả đấm, đôi mắt cuồn cuộn truyền tới ngạo ý, nhìn về phía Lâm Phong hét: "Ma Phong, mời! !" .

	"Được !" . Lâm Phong thấy Thiết Huyền bất diệt chiến ý, mình chiến máu cũng bị hoàn toàn đốt đứng lên, một cổ ý chí chiến đấu bất khuất bị kích ra, Lâm Phong thân hình chớp mắt, biến mất ở thành trì đỉnh, đi tới Thiết Huyền đối diện, chưa đủ trăm mét.

	"Mời" . Lâm Phong sâu hô giọng, cả người trường bào Liệt động, mái tóc dài bay lượn, trán ở giữa lộ ra một cổ lãnh ngạo cùng tất thắng tín niệm.

	Đã từng, thánh linh hoàng ở trước mặt mình, chính là một tòa núi cao, nhưng mà mình phóng qua, hơn nữa mình chính là thánh linh hoàng trong cường đại nhất tồn tại, không người có thể địch.

	Bây giờ, bán thần hoàng ở trước mặt mình, lại cũng phi một tòa núi cao, chỉ có thể tính là là đá lớn, mình đá văng ra chính là, bán thần hoàng, mình không phải là không có đã đánh bại, cũng không phải là không có từng giết.

	Oanh. . .

	Một tiếng bạo liệt tiếng xé gió vang lên, đại chiến bắt đầu, Lâm Phong một bước bước ra, một quyền chạy Thiết Huyền ngực đánh tới, kinh khủng quyền lực đủ để đánh xuyên chừng mấy tòa Đại Sơn.

	Thiết Huyền khôi giáp trên chiến ý cuồn cuộn mà động, tựa như giáng thế Chiến thần, một quyền đánh ra, một tiếng cự thú gầm to truyền ra, chấn nhiếp chín phương thiên.

	Oanh oanh. . .

	2 món quyền ảnh oanh chung một chỗ, lượng cổ kinh khủng quyền lực lẫn nhau triệt tiêu, cuối cùng Lâm Phong bàn tay buông, hóa quyền thành chưởng, đế ấn quyết thi triển ra, màu trắng đại ấn ngay tức thì trở nên lớn, đánh vào Thiết Huyền trên mình.

	Thiết Huyền hừ lạnh một tiếng, cánh tay trái vừa đỡ, một đạo Huyền Vũ hình vẽ nổi lên, kinh khủng lực phòng ngự đem đế ấn quyết năng lực triệt tiêu.

	"Quả nhiên không đơn giản, có thể cùng ta đánh một trận" . Thiết Huyền sang sãng cười lớn một tiếng, rồi sau đó một bước bước ra, chui vào trời cao, hai cánh tay đánh ra, giống như 2 món rồng khổng lồ lăn lộn giáng thế, hủy thiên diệt địa năng lượng để cho mấy trăm cường giả đều là mặt lộ vẻ vẻ sợ hãi.

	Lâm Phong nheo mắt lại, trên tay nhưng tơ không chút do dự, Ma La phạm thiên quyết bị Lâm Phong thi triển ra, kinh khủng à khí xuyên qua toàn bộ trời đất, tất cả sinh vật tất cả là bụi bậm, một đôi ma đồng ngắm nhìn song long.

	Một tiếng nổ vang lớn, Thiết Huyền rên lên một tiếng, một đầu chạy sau lưng ngã xuống, Lâm Phong bước ra một bước, một quyền đánh ra, khí thế cuồn cuộn tới, Thiết Huyền cảnh ngộ nhưng có chút không ổn.

	Nhưng mà Thiết Huyền cũng không có gấp, hắn tự nhiên biết Ma Phong khó có thể đối phó, cái này lúc trước chém chết không rõ sinh vật là có thể nhìn ra, cho nên hắn không có nửa điểm khinh thị Ma Phong tâm tư.

