Chương 521: mở ra trả thù! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Lâm Phong nói chuyện Hơi có chút nghẹn ngào, lời nói ở giữa càng lộ ra vẻ hưng phấn cùng áy náy.

	Hưng phấn là mình lại thêm 2 đứa bé, ruột thịt xương thịt, áy náy là mình lại không có thể ở người phụ nữ cần nhất mình thời điểm bầu bạn các nàng, không có trợ giúp các nàng vượt qua thống khổ nhất lúc này Lâm Phong có thẹn với tướng công hai chữ.

	Thu Nguyệt Tâm ôm thật chặt con gái mình, trên mặt mang một tia yêu thương đẹp, đôi ánh mắt sáng hướng về phía Lâm Phong cười nói: "Kêu Niệm nhi, lâm Niệm nhi" .

	 "Lâm Niệm nhi?" Lâm Phong nỉ non một tiếng, từ Thu Nguyệt Tâm trong ngực từ từ đem con gái mình ôm vào trong ngực, Lâm Phong mặc dù có hai con trai, nhưng mà cái này hai con trai ra đời thậm chí trưởng thành mình đều không ở bên người, cho nên đối với hộ lý đứa trẻ, không có nửa điểm kinh nghiệm.

	Nhưng mà Lâm Phong bây giờ rất vui vẻ, lại là Kích động, bản thân có con gái, rốt cuộc có con gái, đây là Mình con gái lớn, lâm Niệm nhi!

	Mình trông đợi nhiều ít năm có thể có một đứa con gái, hôm nay thực hiện nguyện vọng này, ôm vào trong ngực bé gái mà tựa như cũng biết trước mắt là cha mình vậy, lại mềm Nộn khóe miệng dâng lên hơi nụ cười, y Nha lên tiếng.

	Lâm Phong kích động chảy xuống nước mắt, không ngừng gật đầu cười nói: "Được, được , Niệm nhi, Niệm nhi, ta con gái bảo bối" .

	Lâm Phong Chậm rãi đem lâm Niệm nhi đưa về Thu Nguyệt Tâm trong ngực, sau đó nhìn về Đoạn Hân Diệp trong ngực bé trai sơ sinh, ánh mắt Nhiều Một tia ánh sáng.

	Đoạn Hân Diệp Nhẹ nhàng nói chuyện, rất sợ đánh thức trong giấc mộng Lâm Hằng.

	"Mãi mãi Mà, Lâm Hằng" . Đoạn Hân Diệp cũng đem Đứa trẻ thận trọng đưa vào đại hán trước mắt này trong ngực, Lâm Phong cường tráng hai tay nhận lấy mình con trai thứ ba, Trong lòng Như cũ cao hứng không dứt.

	 "Lâm Hằng, Ta con trai bảo bối, ngươi kêu Lâm Hằng" . Lâm Phong rất sợ bị thương mình con trai nhỏ, chỉ là nhẹ nhàng lấy tay chỉ một cái cái này Nhu Thủy giống vậy trẻ sơ sinh da, Lâm Hằng như cũ ngủ tiếp, tựa như không có cảm giác được cha đang vuốt ve hắn.

	"Đứa nhỏ rất có thể ăn sao" . Đoạn Hân Diệp nhìn mình con trai, đầy mặt hạnh phúc.

	Lâm Phong nghe vậy, nhẹ nhàng gật đầu, yêu thương nhìn mình 2 đứa bé, mới ra đời đứa trẻ.

