Hình đường chủ sững sờ tại nguyên chỗ, có chút không nghe rõ.

	"Đánh cái gì?"

	"Công hội . . ." Cúi đầu nhìn thoáng qua, Liêu điện chủ một lần nữa xác nhận lòng bàn tay trên ngọc bài nội dung, mở miệng nói.

	"Công hội? Cái gì công hội?" Hình đường chủ trợn tròn con mắt: "Nguyễn hội trưởng đắc tội cái khác công hội?"

	"Không phải, là nhìn người khác ẩu đánh các nàng bản thân công hội . . . Hình như, hình như Khải Linh sư công hội, toàn bộ bị người khải linh thành công, sống lại!"

	Liêu điện chủ nói.

	"Bị người khải linh?"

	Hình đường chủ con mắt trợn tròn.

	Mặc dù không phải Khải Linh sư, nhưng cũng biết công hội là tử vật, hơn nữa thể tích như thế lớn, khải linh độ khó khăn, so vũ khí lớn hơn, cái đồ chơi này đều có thể khải linh thành công. . . Đến cùng là vị nào Khải Linh sư như thế nghịch thiên?

	"Nghe nói là một vị theo nơi khác tới Khải Linh sư, gọi Tôn Cường!" Liêu điện chủ nói tiếp.

	"Tôn Cường?" Hình đường chủ lắc đầu.

	Đối Khải Linh sư biết đến không nhiều, cái tên này, càng là chưa từng nghe thấy.

	"Đúng rồi, vị này Tôn Cường liền công hội loại này tử vật đều có thể khải linh thành công, nếu như giúp ta vững chắc nguyên thần, có thể hay không hiệu quả càng lớn?" Con mắt đột nhiên sáng lên, hình đường chủ nói.

	"Không sai!"

	Liêu điện chủ liền vội vàng gật đầu.

	Nguyễn hội trưởng đám người thực lực, hắn biết rõ, tuyệt đối làm không được khải linh như thế lớn công hội, vị này Tôn Cường đã có thể làm đến, nói rõ tại khải linh trên chức nghiệp, đã vượt qua các nàng.

	Nếu có thể mời hắn ra tay, đường chủ có lẽ thật có thể thông qua khảo hạch, nhận được truyền thừa, hóa giải lần này tình thế nguy hiểm.

	"Đi qua nhìn một chút!"

	Tràn đầy kích động, hai người không còn ngừng, tăng thêm tốc độ.

	Không lâu sau, quả nhiên thấy Khải Linh sư công hội cao lớn kiến trúc đứng sừng sững ở cách đó không xa, một thanh niên lơ lửng không trung, một mặt tức giận chỉ vào đối phương, lớn tiếng trách mắng.

	Trước người, thì tràn đầy ủy khuất thấp thon dài cổ, thỉnh thoảng dùng to lớn đầu lâu, nhờ một chút người sau góc áo.

	"Cái này. . ."

	Mặc dù nghe nói Khải Linh sư công hội bị người khải linh tin tức, tận mắt thấy, vẫn như cũ cảm thấy tràn đầy rung động.

