Chương 690: Bát Kỳ đại xà 
 Converter Dzung Kiều cầu khen thưởng 

	Hống. . .

	Sẽ ở đó mây đen cuồn cuộn đến kịch liệt nhất một khắc kia, từ trong mây đen truyền tới một tiếng điếc tai muốn tan rã gào thét.

	Vậy tiếng gào còn không có rơi xuống, một cái màu đỏ thắm đầu rắn liền từ trong mây đen chui ra.

	Rắn này đầu cũng không nhỏ, chừng chậu lớn lớn như vậy, con rắn kia trên đầu vậy 2 con tinh mắt đỏ cũng có chừng trứng gà lớn như vậy, không ngừng phụt ra phụt vô lưỡi rắn cũng có chừng lớn chừng bàn tay, lại phối hợp vậy cực kỳ xấu xí hình tam giác đầu lớn, toàn bộ nhìn như tỏ ra rất là dữ tợn.

	"Cmn, lớn như vậy cái đầu, con rắn kia thân nên bao lớn à? Bất quá chẳng qua là một con rắn mà nói, ta hẳn còn có thể miễn cưỡng đối phó đi!" Mưu Huy Dương có chút kinh hãi nhìn vậy cây dữ tợn rắn lớn cúi đầu đến.

	Bất quá còn không chờ hắn ý tưởng từ trong đầu biến mất, lại một viên màu xanh hình tam giác rắn lớn đầu từ trong mây đen chui ra. Ở đó viên màu xanh đầu rắn chui ra ngoài sau đó, ngay sau đó lại là một viên màu vàng đầu rắn theo ở phía sau chui ra, tiếp theo chính là màu trắng, màu tím. . .

	Tiếp con rắn kia đầu giống như là thương lượng xong tựa như, một viên tiếp một viên từ mây đen kia trong chui ra, Mưu Huy Dương nhìn vậy không đoạn chui ra ngoài đầu rắn, cả người đều bị chấn động bối rối, ngây ngẩn nhìn những cái kia chui ra ngoài đầu rắn, mới vừa rồi dâng lên về điểm kia ý tưởng ngay tức thì bị đánh nghiền.

	"Cmn, thật sự là vậy tám cái đầu rắn lớn, vật này không phải chẳng qua là truyền thuyết thần thoại trong tồn tại đồ sao, ngày hôm nay làm sao xuất hiện?" Mưu Huy Dương nhìn vậy chui ra ngoài tám cái màu sắc khác nhau rắn đầu, buồn bực có một loại muốn rơi lệ cảm giác.

	Bát Kỳ đại xà, trong truyền thuyết nước NB hộ quốc thần thú, không nghĩ tới thật tồn tại.

	Mưu Huy Dương đang thu thập tư liệu lúc này thấy qua thứ này giới thiệu, bất quá trên Net những cái kia giới thiệu đều nói là nước NB người bịa đặt đi ra ngoài, thậm chí còn có hết mấy bản bản.

	Mưu Huy Dương còn nhớ một cái trong đó bản bản nói: Bát Kỳ Đại Xà nguyên bản là Trung Quốc thượng cổ ma thú chín đầu rắn biển vương, bởi vì làm hại nhân gian mà bị lúc đó thần thú bích lăng, đày tới nước NB chỗ ở một tòa đảo nhỏ, là thời kỳ man hoang người NB khai thác lãnh thổ. Nhưng là chín đầu rắn biển vương đến nước NB sau đó, như cũ gieo họa nhân gian, bích lăng toại đi chém chết, không ngờ vậy chín đầu rắn biển vương đã bị địa phương cư dân thành tựu thủy thần sùng bái, bích lăng đi trước sau đó bị địa phương cư dân lừa dối, bị bọn họ dùng chín đầu rắn biển vương nọc độc gây thương tích. Bất quá bích lăng trước khi chết, vẫn là chỉ chém chín đầu rắn biển vương trung gian đầu, cho nên, chín đầu rắn biển vương hậu tới biến thành tám cái đầu Bát Kỳ Đại Xà.

	"Bát Kỳ đại thần!" Vốn là bị Mưu Huy Dương trọng thương sau đó, đã sinh ra hối hận Ichiro Otoko, khi nhìn đến vậy tám cái đầu rắn lớn sau đó, nhất thời giống như là uống hồi thuốc máu thuốc tựa như, cả người lập tức lại trở nên tinh thần, trong mắt lại toát ra lửa hy vọng, nhìn vậy Bát Kỳ đại xà, hưng phấn hô.

	Cùng Ichiro Otoko hưng phấn bất đồng, vậy Ichiro Hideki khi nhìn đến Bát Kỳ đại xà sau đó, bị sợ sắc mặt ảm đạm, thân thể mềm mại một hồi run lẩy bẩy sau đó, hoảng sợ hét lên một tiếng liền bị hù doạ hôn mê bất tỉnh.

	Mưu Huy Dương nhìn trong mây đen vậy tám cái đầu rắn lớn, phát hiện mình lại không nhìn ra nó sâu cạn tới, loại chuyện này nói rõ vậy Bát Kỳ đại xà tu vi nếu so với hắn cao rất nhiều, mình một cái tu chân tay mơ, tuyệt đối không phải cái này tám cái đầu rắn lớn đối thủ, lập tức cũng bị cái này Bát Kỳ đại xà dọa sợ.

	Mặc dù Mưu Huy Dương biết mình không phải là cái này Bát Kỳ đại xà đối thủ, nhưng nghe Ichiro Otoko lời nói sau đó, vẫn là nín biệt miệng khinh thường nói: "Chó má đại thần, bất quá chỉ là một cái rắn đầu dáng dấp hơi nhiều mà thôi. . ."

	Ichiro Otoko cũng không nghĩ tới, Hatoyama cuối cùng này tuyệt hát, lại triệu hoán ra Bát Kỳ đại thần tới, cái này Bát Kỳ đại thần nhưng mà bọn họ nước NB thần thú bảo vệ, đối mặt Bát Kỳ đại thần, vậy Mưu Huy Dương coi là cái gì, Bát Kỳ đại thần một cái nhảy mũi, là có thể đem Mưu Huy Dương cái cho diệt đống cặn bã đều không còn dư lại.

	Nghe được Mưu Huy Dương lại miệt thị hộ quốc đưa tay Bát Kỳ đại thần, Ichiro Otoko cảm thấy, cái này so với Mưu Huy Dương vũ nhục cả nhà hắn phái nữ còn muốn cảm thấy khó chịu, lúc này hướng về phía Mưu Huy Dương tức giận mắng: "Khốn khiếp! Ngươi là thứ gì, lại dám nói như vậy Bát Kỳ đại thần!"

	"Đây vốn chính là một cái yêu xà, ta bất quá liền nói một lần sự thật mà thôi, ngươi làm sao giống như là ta vũ nhục cả nhà ngươi phái nữ tựa như, nổ lên lông tới, nếu là ngươi ở dám đối với ta nổ đâm mà nói, ta không ngại bây giờ sẽ đưa ngươi đi gặp các ngươi táo ngọt đại thẩm. . ."

	Vậy Bát Kỳ đại xà từ trong mây đen đưa đầu ra tới sau đó, bởi vì là kêu gọi nó người đã chết, dĩ nhiên là mất đi khống chế, khi nó xem đến trên mặt đất Mưu Huy Dương các người lúc đó, giống như là thấy được món ăn ngon món ngon ăn mày vậy, Bát ca trong đầu cũng chảy ra rắn tiên, từng giọt nhỏ xuống ở trong mây đen, để cho vậy vốn là dữ tợn hình dáng, nhìn như tỏ ra càng kinh khủng hơn.

	"Hống. . ."

	Mất đi khống chế Bát Kỳ đại xà, hét lớn một tiếng sau đó, liền đánh mây đen hướng Mưu Huy Dương chỗ chỗ tới.

	Trên đất nhiều như vậy con mồi, tại sao vậy Bát Kỳ đại xà sẽ hướng Mưu Huy Dương đi đâu ? Cái này cũng chỉ có thể kỳ quái nơi này Mưu Huy Dương tu vi cao nhất, hắn ở Bát Kỳ đại xà trong mắt, chính là nhất thức ăn tươi ngon, Bát Kỳ đại xà dĩ nhiên sẽ không bỏ thứ tốt không ăn, đi ăn những cái kia rác rưới thức ăn.

