Chương 872: Chớ nói bậy bạ 
 Converter Dzung Kiều cầu khen thưởng 

	"Mẹ, mẹ tới." Lưu Hiểu Mai đi tới mẹ mình trước mặt, ngồi ở mẹ thân vừa nói.

	"Mẹ vốn là không muốn tới, nhưng mà bà thông gia cứng rắn muốn kéo ta tới, còn muốn ta cùng các người cùng nhau ăn tết." Trương Xuân Lan mang trên mặt nụ cười, đối với con gái mình nói.

	"Mẹ, chúng ta bây giờ đã là người một nhà, ngươi vốn là hẳn ở chỗ này ăn tết, mọi người như vậy chung một chỗ mới náo nhiệt." Mưu Huy Dương cười nói.

	Lưu Hiểu Mai cũng không muốn mẹ mình ở nhà một mình ăn tết, như vậy quá vắng vẻ. Bây giờ mẹ chồng để cho mẹ mình cùng các nàng cùng nhau ăn tết, Lưu Hiểu Mai trong lòng cũng cao hứng vô cùng, đi tới Trình Quế Quyên trước mặt, "Mẹ, cám ơn ngài!"

	"Con gái, cũng là người một nhà nói những thứ này lời khách khí làm gì, bất quá ngươi thật muốn cám ơn chúng ta nói, liền sớm đi cho chúng ta sinh cái thằng nhóc mập mạp, như vậy ta và mẹ của ngươi mỗi ngày thật vui vẻ chọc cười chọc cười cháu trai, đó mới là đối với chúng ta tốt nhất cảm ơn." Trình Quế Quyên cười ha hả nói.

	Một câu nói đem Lưu Hiểu Mai nói trên khuôn mặt nhỏ nhắn ánh nắng đỏ rực vùng vùng, không biết nên nói cái gì cho phải.

	Lúc này Mưu Huy Dương cười nói: "Hai bà mẹ, con cùng Hiểu Mai sẽ cố gắng, bảo đảm sẽ không để cho các người thất vọng, sang năm nhất định cho các người sinh một cái thằng nhóc mập mạp đi ra ngoài."

	"Y Y, đi chúng ta đi đem mua về lồng đèn lớn màu đỏ treo lên." Lưu Hiểu Mai mắc cở mặt đỏ bừng, kéo Mưu Y Y chạy ra ngoài.

	Mưu Huy Dương sau khi trở lại liền không thấy cha mình, hỏi: "Mẹ, ba con đâu?"

	"Hắn buổi sáng liền bị Lưu Trung Nghĩa kéo đi thôn ủy hội, cả ngày đều cùng thôn ủy người bận bịu bố trí khu biệt thự những cái kia ngọn đèn nhỏ ngâm, lão này không chỉ có bỏ mặc chuyện trong nhà, liền cơm trưa cũng chưa trở lại ăn đây, ta cùng Xuân Lan em gái bận rộn một ngày, mới đưa trong nhà thu thập thoả đáng." Mẹ có chút bất mãn nói.

	"Dù sao nhà cũng không có chuyện gì, cha thích làm gì sẽ để cho hắn đi đi, nếu không hắn cả ngày ở nhà không có chuyện làm, còn cảm thấy không thoải mái vậy."

	Bây giờ thôn ủy hội cũng dọn đến khu biệt thự khối này tới, là một tòa đặc biệt xây cất đi ra ngoài ba tầng phục cổ thức làm việc biệt thự.

	Cha ở thôn ủy hội Mưu Huy Dương cũng yên lòng, "Mẹ, các người trước trò chuyện, ta đi đem đồ dọn vào."

	Từ trong nhà đi tới cửa, Mưu Huy Dương thấy Lưu Hiểu Mai cùng Mưu Y Y hai người, đem mua về đèn lồng nhảy ra tới, đang thương lượng trước muốn thế nào mới có thể treo lên đây.

	"Giống như loại này có nhất định nguy hiểm tính công tác, làm sao có thể để cho 2 người nữ sĩ xinh đẹp tới làm đâu, vạn nhất đem các người vậy eo thon vọt đến, vậy ta còn không phải đau lòng chết à, vẫn là để cho ta đi." Mưu Huy Dương bần đạo.

	"Anh, anh tới những chuyện này dĩ nhiên ngươi nên làm, ngươi trước đem cái này hai cái lồng đèn lớn màu đỏ treo lên, ta đi đem những cái kia đèn nê ông lấy tới, một hồi ngươi thuận tiện cùng nhau đựng tốt." Mưu Y Y cầm trong tay đèn lồng cửa ải cho anh, lại chạy đến bên cạnh xe đem những cái kia đèn nê ông cầm tới.

