Chương 1068: Ngươi tên ác ma này 
 Converter Dzung Kiều cầu khen thưởng 

	Vậy màu xanh tơ nhỏ ở đánh trúng đầu gối, lại đột nhiên thay đổi có ngón út lớn như vậy.

	Những người hộ vệ kia xông lên nhanh hơn ngã xuống phải nhanh hơn, bị đan nguyên hóa thành màu xanh sợi tơ đánh trúng người, mỗi người đầu gối đều bị màu xanh sợi tơ đánh cái thông suốt, lưu lại một cái đầu ngón tay út to trống rỗng.

	"À. . . À. . . À. . ."

	Những người hộ vệ kia rối rít ôm mình đầu gối, trên đất lăn lộn, trong miệng còn phát ra từng tiếng thống khổ hét thảm.

	"Bắn súng, mau súng, cho ta đem hắn đánh cho thành tổ ong vò vẽ." Đỗ Tử Đằng bị trước mắt quái dị này một màn thiếu chút nữa hù doạ ngất đi, bất quá chết sợ hãi lấn át trong lòng sợ. Lúc này, hắn tạm thời quên mất sợ, cuồng loạn hướng về phía trước người vậy mười tay cầm cải trang sa mạc chi ưng người rống to.

	Đó là là tay súng cũng không có bị vậy đợt công kích, tố chất tâm lý của bọn họ cũng rất vững vàng, cũng không có bị Mưu Huy Dương một chiêu để cho hai ba chục mà mất đi sức tái chiến ảnh hưởng. Nghe được Đỗ Tử Đằng tiếng gào sau đó, cũng đem súng trong tay nhắm ngay Mưu Huy Dương trên mình chỗ yếu hại bóp cò.

	"Bành bành bành. . ."

	Cải trang sau sa mạc chi ưng uy lực tăng lên, có thể bắn lúc phát ra thanh âm nhưng cũng không phải rất lớn, cộng thêm cái này phòng tổng thống hiệu quả cách âm rất tốt, bên ngoài căn bản là không nghe được tiếng súng.

	"Vèo vèo vèo. . ."

	Từng hạt tròn viên đạn mang nhọn vèo vèo tiếng xé gió, hướng về phía Mưu Huy Dương trên người chỗ yếu hại bay bắn qua. Cái này sa mạc chi ưng bắn đi ra ngoài viên đạn, tốc độ kia cũng sắp đuổi kịp nhược điểm súng bắn tỉa bắn đạn.

	Mắt thấy những đạn kia thì phải bắn vào Mưu Huy Dương trong thân thể, Đỗ Tử Đằng các người trong đầu, đều đã bắt đầu ảo tưởng Mưu Huy Dương bị bắn thành cái rỗ lúc là hình dáng gì.

	"Lần này xem ngươi có chết hay không!" Đỗ Tử Đằng trong lòng nghĩ đến.

	Có thể hắn cái ý niệm này còn không có rơi xuống, những cái kia sắp bắn vào Mưu Huy Dương trong thân thể viên đạn, nhưng giống như là bị cái gì vật vô hình chặn lại tựa như, ở cách Mưu Huy Dương thân thể chưa đủ 5cm địa phương dừng lại.

	"À! Cái này. . . Vậy làm sao có thể. . . Có thể?"

	Một màn thần kỳ này không chỉ là Đỗ Tử Đằng chờ cậu ấm sợ ngây người, vậy mười tay súng thấy một màn này, trong lòng cũng là cả kinh, bọn họ rất rõ ràng cái này sau khi cải trang sa mạc chi ưng đạn bắn ra uy lực bao lớn. Loại chuyện này sợ rằng chỉ có đột phá tiên thiên võ giả mới có thể làm được, không, còn có một người này cũng có thể làm được, đó chính là người tu chân.

	"Đỗ Tử Đằng cái này chó ghẻ làm sao lại trêu chọc tới một cái như thế kinh khủng tồn tại à, xem ra lần này không chỉ có chúng ta phải chết ở chỗ này, Đỗ gia có lẽ cũng biết bởi vì là Đỗ Tử Đằng ngu xuẩn mà khó giữ được." Mười tay súng không hẹn mà cùng ở trong lòng nghĩ đến.

	Mười tay súng biết, hướng Mưu Huy Dương loại này kinh khủng tồn tại, bọn họ uy nghiêm là không cho mạo phạm. Mới vừa ở mình chờ người ra tay thời điểm cũng không có lưu nhiệm vì sao tình cảm, thương thương đều là hướng Mưu Huy Dương chỗ trí mạng bắn, ngày hôm nay mình các người lông sung sướng Mưu Huy Dương hổ uy, nhất định sẽ chết ở trong tay hắn.

	Mười tay súng đang vì mình sắp kết thúc sinh mạng cảm thấy bi ai đồng thời, càng là Đỗ gia có một cái như vậy không biết trời cao đất rộng ngốc nghếch con cháu cảm thấy bi ai.

	Mười tay súng biết rõ trong tay mình thương, đối với Mưu Huy Dương không tạo được bất kỳ uy hiếp, nhưng bọn họ hay là đem trong súng viên đạn một viên không dư thừa, toàn bộ hướng Mưu Huy Dương bắn tới.

	Vậy Đoạn Bằng Cử là đám người này trong lạnh nhất yên tĩnh người, biết tối hôm nay bọn họ hoàn toàn không có lật bàn có thể, chỉ có thể mượn bên ngoài lực lượng, vì vậy, mượn tiếng súng Đoạn Bằng Cử len lén đem điện thoại di động lấy ra, dự định gọi điện thoại báo cảnh sát.

	Mới vừa đưa điện thoại di động lấy ra còn chưa kịp bấm số, Đoạn Bằng Cử cũng cảm giác được tự cầm điện thoại di động cái tay kia chấn động một cái, điện thoại di động từ trong tay bay ra đập vào chính hắn trên ngực.

	"Ca. . ."

	Ngực truyền ra một tiếng thanh thúy tiếng vang, Đoạn Bằng Cử xương ngực bị điện thoại di động đập tét một cây, cái này còn là Mưu Huy Dương không muốn trước hết giết hắn, nếu không, thì không phải là một cây xương ngực bị đập rách như thế đơn giản.

	Một hồi đau đớn kịch liệt truyền vào trong đầu, bất quá ngực đau đớn không đạt tới trong lòng rung động, Đoạn Bằng Cử cố nén chỗ đau hướng Mưu Huy Dương hướng đã qua, nhưng phát hiện đầu đạn sau Mưu Huy Dương đang mặt đầy giễu cợt nhìn mình.

	"Hụ hụ hụ. . . Phốc. . ."

	Thấy một màn này, Đoạn Bằng Cử lòng hoàn toàn lạnh thấu, ho khan hai tiếng sau khạc ra một ngụm máu tươi, cả người giống như là bị tát tích tủy tựa như mềm nhũn đi xuống.

	Ken két ca. . .

	Một hồi không kích thanh âm truyền ra sau đó, mười người kia đưa tay ở trên người mình lau một cái, lại lấy ra một cái dự bị băng đạn tới, chuẩn bị thay nối tiếp tiếp theo hướng Mưu Huy Dương công kích.

	Mưu Huy Dương lần này tới vốn định chỉ trừ đầu sỏ không muốn quá nhiều giết hại, cho nên mới vừa rồi những người hộ vệ kia mặc dù cũng bị thương rất nặng, nhưng cũng không có mạng sống chỉ có. Cái này mười tay súng biết rõ mình mới vừa rồi nương tay, còn dự định tiếp tục hướng công kích mình, đối với một lòng muốn đưa mình vào tử địa người, Mưu Huy Dương tự nhiên sẽ không còn vậy cái lòng nhân từ của đàn bà.

	"Thật là ngu đần không rõ à! Nếu chính các ngươi tự tìm cái chết, vậy thì không trách ta."

	Mưu Huy Dương vừa nói đưa tay từ trước người lơ lững những cái kia trong đầu đạn gỡ xuống một viên, đưa ngón tay bắn ra, đầu đạn kia lấy so sa mạc chi ưng bắn ra đầu đạn mau gấp mấy lần tốc độ, hướng một cái tay súng trán bắn tới.

	Vậy đầu đạn nháy mắt phát cho đến, phốc một tiếng bắn vào vậy cướp tay trán trong, một cổ máu tươi mang đỏ trắng vật, từ tay súng trên trán vậy chừng đầu ngón tay trong động xì ra.

	"Cái thứ hai."

	Theo Mưu Huy Dương vậy lạnh như băng không có bất kỳ biểu tình gì thanh âm truyền ra sau đó, lại một viên đầu đạn đối với cái này cái thứ hai tay súng trán bắn tới.

	Mưu Huy Dương không đồng nhất dậy đem những cái kia tay súng bắn chết, cũng không phải là hắn không cái năng lực kia mà là cố ý làm, hắn muốn cho Đỗ Tử Đằng đám người ở trước khi chết chịu đựng lớn nhất sợ hãi.

