Chương 1505: Khương Liên độ kiếp (3) 
 Converter Dzung Kiều cầu phiếu 

	"Tí tách. . . Oanh. . ."

	Bất đồng người nọ kêu lên hoàn, tia chớp màu xanh cũng đã đập vào Khương Liên đỉnh đầu phòng ngự linh khí lên, vậy lạnh người điện giật thanh, cùng với đánh vào phòng ngự linh khí lên lúc phát ra ầm ầm tiếng vang lớn, trực tiếp đem phía sau người nọ nói cho che mất.

	Trước sáu lần thiên kiếp thành công vượt qua, để cho Khương Liên nhẹ đánh giá cái này thứ bảy cướp uy lực, lần này nàng vẫn dựa theo trước khi kinh nghiệm, chỉ sử dụng một kiện thượng phẩm phòng ngự linh khí.

	Nhưng mà, cái này tia chớp màu xanh uy lực, hiển nhiên so thứ sáu cướp tia chớp mạnh không chỉ một lần, Khương Liên sử dụng vậy kiện thượng phẩm phòng ngự linh khí, giống như là giấy dán vậy, bị tia chớp màu xanh một kích mà phá.

	Gặp thứ bảy đạo thiểm điện đem Khương Liên sử dụng phòng ngự linh khí kích phá sau đó, vậy phòng ngự linh khí liền đống cặn bã cũng không thấy một chút, liền trực tiếp bị tức hóa.

	Lưu Hiểu Mai các nàng nếu không phải vì sợ đến lúc đó gặp phải đột nhiên tình huống xuất hiện, mấy người các nàng bị dọa đến lớn tiếng sợ hãi kêu, ảnh hưởng đến độ kiếp Khương Liên, trước thời hạn liền đem mình cái miệng nhỏ nhắn cho bưng kín, tuyệt đối sẽ bởi vì là quá độ lo lắng mà kinh kêu thành tiếng.

	Mưu Huy Dương thấy Khương Liên sử dụng vậy kiện phòng ngự linh khí bị một kích mà phá sau đó, cũng khẩn trương dùng sức nắm chặt hai quả đấm.

	Bất quá, Mưu Huy Dương biết cái này tia chớp màu xanh mặc dù lợi hại, nhưng mà vẫn không thể đem Khương Liên đánh chết, nhiều nhất để cho Khương Liên bị tương đối nghiêm trọng bị thương mà thôi, cho nên, hắn hiện đang khẩn trương là một chuyện khác.

	Chuyện này chính là hắn lo lắng cái này đạo thiểm điện đánh xuống ở Khương Liên trên mình sau đó, đem nàng trên người quần áo cũng hướng vậy phòng ngự linh khí vậy, toàn bộ bị tia chớp màu xanh đánh cho liền bụi đất bụi đất, như vậy tạo thành hậu quả trực tiếp, chính là để cho Khương Liên vậy liền mình cũng còn không có thấy qua uyển chuyển * thể, đều bị những cái kia tới xem xem độ kiếp người tu chân cho thấy hết à!

	Nếu quả thật xuất hiện loại chuyện này, Mưu Huy Dương cảm giác được mình liền thua thiệt quá đáng.

	Khương Liên nếu là biết ở mình thuộc về sống chết trước mắt lúc này Mưu Huy Dương tên nầy trong đầu lại nghĩ là cái này, nàng tuyệt đối sẽ một hớp đem Mưu Huy Dương cho cắn chết.

	Sự việc đúng như Mưu Huy Dương tưởng tượng như vậy, tia chớp màu xanh ngay tức thì liền đem Khương Liên mặc ở bên ngoài vậy cái áo đầm đốt thành Hôi Tẫn. Nhưng mà, áo đầm bị đốt thành Hôi Tẫn sau đó, Khương Liên thân thể lại bị một bộ bảo giáp cho bưng bít phải nghiêm nghiêm thật thật, không hề giống như Mưu Huy Dương nghĩ như vậy, đem tốt đẹp xuân quang bại lộ ở mọi người trước mắt.

	Vậy bộ bảo giáp mặc dù chặn lại tia chớp màu xanh, không có bị tia chớp màu xanh cho kích thành tro bụi, nhưng toàn bộ bảo giáp lên nhưng xuất hiện một ít nho nhỏ vết nứt, nhìn như tùy thời cũng có thể bể nát dáng vẻ.

	"Lòng giáp!"

	Có nguyên vẹn truyền thừa Mưu Huy Dương, liếc mắt liền nhìn ra gừng liền trên mình vậy kiện bảo giáp, lại là đặc biệt khó khăn nhất luyện chế thành công lòng giáp, không nhịn được thở dài nói: "Khương Liên vận khí thật là tốt không có cách nào nói, liên tâm giáp loại bảo bối này cũng luyện chế thành công!"

	Lòng giáp, danh như ý nghĩa nhưng mà cùng người có tâm thần tương liên bảo giáp.

