Chương 700: Lại xảy ra một kế 
 Converter Dzung Kiều cầu khen thưởng 

	"Chỉ cần chủ nhân hài lòng liền tốt." Ichiro Otoko cung kính nói.

	Ichiro Otoko chỉ sợ biệt thự này Mưu Huy Dương vị gia này không hài lòng, như vậy mình thì có giằng co, bây giờ thấy ngôi biệt thự này Mưu Huy Dương coi như hài lòng, Ichiro Otoko treo lòng rốt cuộc để xuống.

	Ngày hôm nay Mưu Huy Dương cùng Ichiro Hideki đi dạo phố lúc này thu thập gia tộc Ishikawa Ishikawa Jirō, còn nghĩ gia tộc Yamamoto một cái con em bị sợ tè ra quần chật vật chạy trốn, những chuyện này sớm đã có người hướng hắn báo cáo.

	Ichiro Otoko rõ ràng, chỉ cần mình sau này mình đem Mưu Huy Dương cái này gia phục vụ cao hứng, như vậy sau này hắn cùng hắn gia tộc Ichiro là có thể thăng quan tiến chức nhanh chóng, ngược lại, nếu là đắc tội vị này không sợ trời không sợ đất sát thần, không chỉ là hắn liền là cả gia tộc vậy cũng chạy không thoát bị diệt vong vận mệnh.

	"Chủ nhân, ta còn đặc biệt tìm 2 gia tộc trong nhất trẻ tuổi xinh đẹp cô gái, để cho bọn họ chiếu cố chủ nhân ngươi sinh hoạt cuộc sống thường ngày, hy vọng hai người bọn họ còn có thể để cho chủ nhân cảm thấy hài lòng. . ." Ichiro Otoko khom người, đối với Mưu Huy Dương nói.

	Sau khi nói xong, Ichiro Otoko chỉ vậy hai cái cô gái nói: "Hai người các ngươi người nhớ, sau này hai người các ngươi người chính là đặc biệt chiếu cố chủ nhân người làm, các người cũng cho ta dùng điểm tâm, nếu là đem chủ nhân chăm sóc kỹ, gia tộc sẽ cho các người phong phú tưởng thưởng, nhưng nếu là để cho chủ nhân có một điểm nhỏ không hài lòng, ta sẽ dùng nghiêm khắc nhất gia pháp trừng phạt các ngươi, biết không?"

	" Uhm, hai chúng ta nhất định sẽ tận tâm tận lực chăm sóc kỹ chủ nhân, tuyệt không dám có nửa điểm lười biếng, mời gia chủ yên tâm." Hai cô gái cúi đầu, vâng vâng dạ dạ trả lời.

	Mình lại thời điểm ở trong biệt thự muốn làm một ít không thể để cho người ngoài biết sự việc, cái này Ichiro Otoko cho mình an bài 2 phụ nữ tới hầu hạ mình, tuy biết đạo hắn cái này là có một miếng tốt bụng, có thể Mưu Huy Dương nhưng cảm thấy có chút không ổn.

	Mưu Huy Dương nhìn một chút vậy 2 người cô gái, dáng dấp coi như không tệ, bất quá hắn vẫn là không có dự định để cho hai người lưu lại, vì vậy đối với Ichiro Otoko nói: "Ichiro Otoko, ta không hy vọng biệt thự này trong có người ngoài tồn tại, ngươi hay là đem cái này hai người mang về chứ ?"

