Chương 493: Di chuyển kim ti nam mộc 
 Converter Dzung Kiều cầu phiếu 

	/*Dzung Kiều : xem hình kim ti nam mộc <a href="http://img4.cache.netease.com/home/2012/5/2/20120502160835ae0e7.jpg">http://img4.cache.netease.com/home/2012/5/2/20120502160835ae0e7.jpg</a>  */

	Ở có ở trong biệt thự trồng cây thời điểm hắn đi ngay trên Net điều tra, khoa học cũng phát hiện trái lựu có hấp thu lưu, fluorine hóa khinh, hống chờ năng lực, có thể lọc sạch không khí, cho nên đối với ở phía trước viện loại một lượng cây cây lựu Mưu Huy Dương cũng không có phản đối.

	Đối với ở trong vườn loại cây hòe chuyện, Mưu Huy Dương lại không có đáp ứng, dân gian đối với cây hòe còn có một loại khác giải thích, nói hòe tử mộc trong mang quỷ, dễ dàng trêu chọc một ít không làm không tịnh đồ.

	Mưu Huy Dương không đáp ứng cũng không phải là cần phải làm cho này cái nói chuyện, lấy hắn bây giờ tu vi, coi như là trêu chọc tới những thứ đó, hắn cũng có thể ung dung đem những thứ đó tiêu diệt. Mưu Huy Dương sở dĩ không đáp ứng, là hắn cho rằng cái này cây hòe cây hình không chỉ có không đẹp xem, cũng không có cái gì kinh tế giá trị, hắn ý tưởng là dự định ở trong biệt thự loại một ít, giống như tháng tám quế, cây long não, gỗ lim, hồng đậu sam, ngân hạnh loại này cây hình vừa dễ coi lại có kinh tế giá trị cây cối.

	Cùng cha mẹ đạt thành nhất trí ý kiến sau đó, Mưu Huy Dương đi ngay trong thôn đi dạo một vòng, tìm hơn 30 thân thể cường tráng nam được thôn dân ngày mai giúp mình một cái cây cối.

	Bị tìm được thôn dân nghe nói là giúp Mưu Huy Dương di chuyển cây cối, một chút cũng không do dự đáp ứng, thấy mình tìm thôn dân cũng đáp ứng ngày mai tới hỗ trợ, Mưu Huy Dương rất vui vẻ, bất quá hắn cũng không có bạc đãi những thôn dân này, cân nhắc đến việc này rất mệt mỏi người, Mưu Huy Dương cho tới giúp thôn dân lái ra mỗi người mỗi ngày một trăm năm mươi nguyên tiền công.

	Ngày thứ hai điểm tâm sau đó, Mưu Huy Dương mang ở trong thôn tìm hơn 30 người, cầm đào cây cùng vận cây cần hạo đầu, xẻng, đào cuốc đất, sợi dây, còn có giang tử liền lên núi.

	Bây giờ đã là cuối mùa thu, trên núi lá rụng cây cối lá cây đã bắt đầu hiện lên hoàng, để cho chỗ ở đỉnh núi giống như là phủ thêm tầng 1 loãng hoàng sắc xiêm áo. Bất quá những cái kia thường xanh cây cối nhưng bắt cái này cuối thu khí sảng thời tiết, rút ra phát cuối cùng khều một cái thu sao, mới vừa mọc ra thu sao cành lá một mảnh non xanh lá, đổi thành sinh cơ bừng bừng. Xa xa nhìn lại, thôn Long Oa chung quanh trên núi hoàng xanh lá tương ở giữa, lại tăng lên một phen kiểu khác cảnh trí.

	Mới vừa đi ra thôn lúc này Chu Nhất Thương đi tới Mưu Huy Dương bên cạnh hỏi: "Tiểu Dương, thôn chúng ta chung quanh trên núi thích hợp trồng đến trong sân loại cây cũng không thiếu, ngươi dự định ở trong sân của biệt thự trồng cái gì cây, nói ra chúng ta thật là trực tiếp đi có cái loại đó cây đỉnh núi, tránh cho đi oan uổng đường."

	"Chú Chu, cháu muốn ở trong biệt thự trồng cái loại đó tàng cây đoan trang, cây hình xinh đẹp tuyệt trần cây lớn, trong lòng cũng có mấy trong cây cối dự chọn loại cây, đó chính là tháng tám quế, cây long não, gỗ lim, hồng đậu sam, ngân hạnh. . ." Mưu Huy Dương nghe xong lập tức đem chết ý tưởng nói ra.

	"Cây hoa quế, cây long não những thứ này người trong thôn trồng không thiếu, những thứ này cũng quá bình thường, ngươi biệt thự kia như vậy đẹp ở nơi này chút bình thường cây cối cũng không xứng đôi, còn như hồng đậu sam thôn chúng ta chung quanh cùng với núi Long Thủ vòng ngoài ta cũng không thấy qua loại cây này. Bất quá chúng ta thôn chung quanh trên núi lại có ngươi nói cây bạch quả ở núi Long Thủ trong ta còn thấy qua mấy bụi nam cây, ta cảm thấy cái này 2 loại cây liền tương đối thích hợp." Chu Nhất Thương nghe nói suy nghĩ một chút nói.

