Chương 1362: Phòng vệ tỉnh thành tựu 
 Converter Dzung Kiều cầu khen thưởng 

	Oanh oanh. . .

	Máy bay chiến đấu cùng đạn đại bác nổ sau sinh ra một đoàn đoàn ngọn lửa, trên không trung tạo thành một tràng xinh đẹp chết diễm hỏa.

	Từ kích hủy chiếc phi cơ chiến đấu thứ nhất, đến chiếc cuối cùng máy bay chiến đấu bị đánh nổ, chỉ dùng không tới 2 phút thời gian, sáu chiếc f15 máy bay chiến đấu liền toàn bộ bị kích hủy.

	. . .

	Lại không nói Mưu Huy Dương đem tất cả f15 máy bay chiến đấu kích hủy sau đó, tiếp theo biết làm gì, bây giờ để cho chúng ta qua lại cố một chút, nước NB phòng vệ tỉnh lần này trong sự kiện làm làm.

	Ở Mưu Huy Dương kích hủy chiếc thứ nhất máy bay trực thăng võ trang Apache lúc này cái tình huống này lập tức liền bị Seinen Shoujo trực tiếp trình lên phòng vệ tỉnh.

	Lần đầu tiên nhận được Mưu Huy Dương dùng một chuôi kiếm sắt kích hủy máy bay trực thăng võ trang Apache tin tức sau đó, toàn bộ phòng vệ tỉnh người cũng cho rằng đây là một cái cười nhạo, căn bản cũng không có một người tin tưởng.

	Tất cả mọi người đều cho rằng, vô luận người tu hành thật lợi hại, đang nắm giữ liền lớn tính sát thương vũ khí tân tiến quân đội trước mặt, vậy cũng là không chịu nổi một kích.

	Càng đừng gặp nói võ trang tận răng máy bay trực thăng võ trang Apache, đối mặt như vậy đại sát khí, lợi hại hơn nữa tu giả cũng cũng chỉ có ai nổ phần, làm sao có thể có người chỉ dùng một chuôi thông thường kiếm sắt, liền đem máy bay trực thăng võ trang Apache kích hủy.

	Trừ phi máy bay trực thăng võ trang Apache phía trên hỏa tiễn, tên lửa pháo, cơ pháo đều trở thành chưng bày, hoặc là máy bay trực thăng người điều khiển đầu hư, đem máy bay trực thăng treo ngừng ở nơi đó chờ người khác công kích.

	"Ngày hôm nay không phải ngày nói dối tháng tư à, làm sao có thể sẽ phát sinh như thế hoang đường sự việc!" Một cái phòng vệ tỉnh nhân viên làm việc còn làm lạ nói.

	Đừng nói những cái kia nhân viên làm việc, chính là phòng vệ tỉnh chỉ huy trưởng phòng vệ đại thần, nghe được cái này làm lạ nói, cũng tét rách khóe miệng.

	Phòng vệ đại thần Takeji Ichio đang tiếp thụ phía trên để cho mình phái một cây quân đội, đi tiêu diệt một cái TQ tu giả lúc này mặc dù hạ lệnh người lần nữa nhấn mạnh Mưu Huy Dương rất lợi hại, nhưng có trước quân quốc chủ nghĩa tình tiết Takeji Ichio, căn bản là không có đem Mưu Huy Dương để ở trong lòng.

	Takeji Ichio cho rằng lợi hại hơn nữa tu giả, đang nắm giữ liền lớn tính sát thương vũ khí tân tiến quân đội trước mặt, kia đều là không chịu nổi một kích, huống chi mình sai phái vẫn là tinh nhuệ lữ đoàn thứ năm, chỉ cần cùng lữ đoàn thứ năm cái này tinh nhuệ quân đội chạy tới, vậy Hoa Hạ tu chân nhất định sẽ bó tay chịu trói.

	Vì vậy, ở đem dưới mệnh lệnh đạt cho lữ đoàn thứ năm sau đó, Takeji Ichio liền không lại đem chuyện này để ở trong lòng.

	Chính là nhận được máy bay trực thăng bị kiếm sắt kích hủy báo cáo sau đó, hắn cũng cho rằng là cái đó xui xẻo người điều khiển quá nhớ lập công, đem máy bay trực thăng cao độ xuống quá thấp, mới bị Mưu Huy Dương may mắn kích hủy.

	Nhưng mà làm máy bay trực thăng võ trang Apache bị đánh rơi tin tức liên tiếp truyền tới phòng vệ tỉnh lúc này gần đây tự nhận thành sơn sụp đổ trước mặt đều không hoảng Takeji Ichio, lúc này mới cảm thấy tình hình nghiêm trọng, bắt đầu chú ý tới chuyện này tới.

	Xác nhận chuyện này là thật sau đó, toàn bộ phòng vệ tỉnh nhất thời trở nên so chợ bán thức ăn còn muốn náo nhiệt.

	Phòng vệ tỉnh cũng đem cao độ chú ý tới lữ đoàn thứ năm tiêu diệt người Hoa lần này hành động, vì vậy, có liên quan lữ đoàn thứ năm lần hành động này tinh bạo toàn bộ hướng phòng vệ tỉnh tụ đến.

	"Người Hoa tránh thoát máy bay trực thăng võ trang Apache cùng mặt đất pháo binh bắt đầu phản kích, bắt đầu truy kích máy bay trực thăng võ trang Apache."

