Chương 204: Giường lò nổi tiếng 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Lý Thế Dân ngồi ở trên giường đất lắc chân, hết sức thích ý.

	"Nghe nói ngươi thành thần dò xét?" Lý Thế Dân đột nhiên hỏi một câu, Tần Thiên sững sốt một chút: "Cái gì thần thám?"

	"Tối ngày hôm qua ngươi không phải phá vụ án mà, bây giờ thành Trường An cũng truyền ra, nói ngươi là thần thám."

	Tần Thiên kinh ngạc, không qua một cái vụ án nhỏ mà thôi, làm sao mình là được thần thám?

	Bất quá đây đối với hắn mà nói thật giống như vậy cũng không tệ lắm.

	"Bất quá là tận trung cương vị mà thôi."

	Lý Thế Dân gật đầu một cái: " Được a, như Đại Đường quan viên đều giống như ngươi như vậy thì tốt."

	Vừa nói, Lý Thế Dân đột nhiên lại nhớ ra cái gì đó, vì vậy liền vội vàng hỏi: "Đúng rồi, nghe bọn họ nói ngươi vốn là phải dùng tích cốt nhận thân, loại này biện pháp thật có thể nghiệm ra máu mạch quan hệ sao?"

	Tần Thiên gật đầu: "Tự nhiên là có thể, nếu như là có liên hệ máu mủ, giọt máu đến xương lên thì sẽ xông vào đi, nếu như không có liên hệ máu mủ, cũng sẽ không."

	Lý Thế Dân nghe, càng phát ra tò mò: "Ngươi làm sao biết?"

	Tần Thiên chấn động một cái, hồ đồ nói không tốt, một cái người biết quá nhiều, cũng là sẽ bị người hoài nghi à, đặc biệt là giống như mình loại này trước kia là cái nông dân.

	"Ngẫu nhiên được một bản kỳ thư, cho nên đối với phá án nghiệm thi, ít nhiều có một chút con đường."

	"Sách gì?"

	Lý Thế Dân tiếp tục truy hỏi, Tần Thiên nhưng là liền kêu liền đắng, không mang theo như vậy à.

	"《 rửa oan tập ghi 》 "

	"Có thể hay không cho bổn vương vừa thấy?"

	"Cái này. . . Dọn nhà thời điểm không biết ném đến nơi đó, vương gia muốn, đợi thuộc hạ tìm một chút, ngày khác đưa cho ngài đi."

	Đáp án này Lý Thế Dân rất là hài lòng, nhờ vậy mới không có tiếp tục hỏi tiếp.

	Hắn ở bên trong phòng ngồi như vậy, càng phát ra cảm thấy thoải mái, cho tới đều có điểm không muốn rời đi, có thể không rời đi lại không được, dứt khoát lúc thức dậy, bắt lại Tần Thiên liền đi ra ngoài.

	"Kêu ngươi thợ, chúng ta vào cung."

	Tần Thiên ngạc nhiên.

	"Vương gia, không cần gấp như vậy đi, ta cái này mới vừa dậy, cơm còn mỗi lần đây."

	"Vào cung ăn nữa."

	Tần Thiên không biết làm sao, chỉ có thể vội vàng để cho Phúc bá đem trong phủ biết làm giường lò mấy cái người làm kêu tới, thuận tiện cho hắn cầm mấy cái bánh bao tới ăn, như vậy hơi đệm đi sau một chút, mới đi theo Lý Thế Dân vào cung.

	Hoàng cung, ngự thư phòng.

