Chương 27: Thiếu không được 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Một đường không lời, Đường Dung là quyết tâm không phản ứng Tần Thiên.

	Tần Thiên rất không biết làm sao.

	Mà bọn họ mới vừa hồi đến phủ, bác Phúc liền hốt hoảng chạy ra: "Thiếu gia, lão nô đã gây họa."

	Tần Thiên ngưng mi, ngươi đã gây họa, ta mới đã gây họa đâu, cũng không biết làm sao đắc tội Đường Dung.

	Bất quá trong lòng suy nghĩ, Tần Thiên lại cũng không biểu lộ ra, hỏi: "Chuyện gì xảy ra?"

	"Ngày hôm nay Dực quốc công tới, lão nô lúc trước không biết hắn thân phận, cho nên đem hắn dẫn đến phòng khách sau đó liền không làm sao cùng hắn, lão nô như vậy thất lễ, hắn rất tức giận rời đi. . ."

	Bác Phúc đem Tần Quỳnh rời đi cho rằng là mình chiêu đãi không chu toàn kết quả, Tần Thiên sau khi nghe xong lại là rất nhanh rõ ràng bác Phúc đây là hiểu lầm.

	Nhìn bác Phúc một mặt lo lắng vẻ mặt, Tần Thiên cũng không tốt để cho hắn lo lắng nữa, cho nên liền đem tình huống cùng hắn nói một lần, bác Phúc nghe được Tần Quỳnh phải đem hắn thiếu gia đem tự động xe nước bản vẽ dâng ra đi, không kiềm được liền bĩu môi, có thể tưởng tượng đến đó là Dực quốc công à, cho nên liền không nói ra miệng, chỉ trong lòng có chút đau.

	Nghe được thiếu gia nhà mình bái Tần Quỳnh làm nghĩa phụ, bác Phúc nhất thời kích động lão lệ tung hoành.

	"Lão gia mộ phần lên bốc khói xanh, thiếu gia. . . Thiếu gia thật là thật là có phúc à. . ." Bác Phúc một cái nước mũi một cái nước mắt nói, còn như tự động xe nước bản vẽ dâng ra đi chuyện này, sớm bị hắn ném không biết bóng dáng đi.

	So sánh hạ, đây coi là cái gì à?

	Có thể thành là Tần Quỳnh nghĩa tử, chính là đem nhang chống muỗi bài thuốc bí truyền dâng ra đi, hắn vậy nguyện ý.

	Bác Phúc tuy chỉ là một người làm, nhưng cũng rõ ràng thiếu gia nhà mình thành là Tần Quỳnh nghĩa tử chỗ tốt, dựa theo nhà hắn thiếu gia trước kia tình huống, đời này lợi hại hơn nữa, chỉ sợ cũng chẳng qua là một giới phú gia ông thôi.

	Có thể sanh ở như vậy thời đại, ai không muốn làm quan quang tông diệu tổ?

	Có thể nhà hắn thiếu gia không có lừa gạt bóng mát có thể dùng, lại không thể ra chiến trường, muốn làm quan nói dễ vậy sao, nhưng thành là Tần Quỳnh nghĩa tử, chỉ cần Tần Quỳnh đề cử, thiếu gia nhà mình là có thể mò cái quan chức keng keng.

	Cho nên hắn mới có thể nói mộ phần lên bốc khói xanh.

	Tần Thiên cũng biết thành là Tần Quỳnh nghĩa tử chỗ tốt, chẳng qua là hắn không nghĩ tới bác Phúc sẽ như thế kích động, rất im lặng, bởi vì là ở hắn xem ra, thành là Tần Quỳnh nghĩa tử, chỉ bất quá để cho mình đường ngày sau đi càng thuận một chút mà thôi.

	Không có cái này, hắn hết thảy mong muốn, vậy cũng có thể có được.

	Hắn không có tâm tình lại xem bác Phúc ở nơi đó khóc cho, khoát tay một cái, liền vội vàng hướng phòng tân hôn đi tới, ngày này đem hắn mệt quá sức, trở về nhà bên trong mát mẻ mát mẻ mới là đúng lý.

	Có thể Tần Thiên Cương vào nhà, Đường Dung liền mặt lạnh hỏi: "Ngươi làm gì?"

	Nghe nói như vậy, Tần Thiên biết Đường Dung cũng không thích mình vào cái gian phòng này, hoặc là nói, hai người bọn họ tình huống cũng không có gì cải thiện, hôm nay hết thảy, cũng chẳng qua là gặp trận diễn trò.

	Hắn cười khổ, trong đầu nghĩ nếu như mặt dầy không đi, thật giống như cũng có thể lưu lại, nhưng hắn cũng không phải là rất thích làm như vậy, hơn nữa hắn không biết Đường Dung có phải hay không cái loại đó dễ dàng mềm lòng người.

	Hơi bữa chốc lát, Tần Thiên nói: "Xem phu nhân ngày hôm nay ở Đường phủ cũng không thế nào ăn cái gì, cho nên muốn hỏi một chút ngươi có phải hay không đói?"

	Ngày hôm nay Đường phủ rất nóng, Đường Dung cũng không có gì khẩu vị, hơn nữa những cái kia thức ăn cùng thịt kho so với cũng kém rất nhiều, nàng chân thực không ăn được.

	Nàng không nghĩ tới Tần Thiên lại như thế tỉ mỉ, ngay cả cái này cũng phát hiện, có thể lại không kiềm được trong đầu nghĩ, nếu như trước mắt người đàn ông là thích mình, thật là tốt biết bao?

	Có thể hắn lại không muốn cưới mình, còn nhún nhường muốn lừa gạt phối hợp vượt qua kiểm tra, càng muốn, Đường Dung lại càng tức giận, nói: "Không đói bụng."

	Tần Thiên ồ một tiếng: "Vậy cũng tốt, tướng công ta làm chút thịt kho cùng tiểu Điệp ăn chung , ừ, làm tiếp điểm hành lá cắt nhỏ mỏng bánh cuốn ăn."

	Tần Thiên vừa nói chuẩn bị xoay người rời đi, Đường Dung vừa nghe thịt kho cùng hành lá cắt nhỏ mỏng bánh, nhất thời không nhịn được phải chảy nước miếng, muốn gọi lại Tần Thiên, lại sợ mất mặt mũi, chỉ có thể vội vàng ám chỉ Tiểu Thanh.

	Tiểu Thanh hội ý sau đó, đột nhiên chạy tới kéo lại Tần Thiên: "Cô gia, Tiểu Thanh vậy đói, cho Tiểu Thanh ăn chút mà."

	Tần Thiên nơi đó không hiểu tiểu Thanh ý, con bé này ngày hôm nay ở Đường phủ nhưng ăn không ít, có thể đói mới là lạ, hiển nhiên là vì Đường Dung mà.

