Chương 210: Công bộ chuyện 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Phủ Cửu công chúa lên hồ bơi đại khái lại tốn Tần Thiên một ngày thời gian mới rốt cục giải quyết.

	Hồ bơi giải quyết sau đó, chỉ cần ở bên trong châm nước là được, theo bên ngoài đốt thán, nơi này nước sẽ bảo đảm cầm ở nhiệt độ nhất định, giống như suối nước nóng vậy.

	Tần Thiên ở phủ công chúa làm xong sau đó, đã là mệt có chút không được.

	Việc này không dễ làm, mấu chốt còn không có thù lao, chân thực để cho người không đề được sức lực à.

	Bất quá nghĩ đến Cửu công chúa giải quyết sau đó, mình rốt cuộc có thể nghỉ ngơi, Tần Thiên vẫn là nhiều ít thở phào nhẹ nhõm.

	Nhưng ngay khi Tần Thiên cho là như vậy lúc này thành Trường An không thiếu quyền quý nhưng là rối rít tìm đi lên.

	Giường sưởi ở thành Trường An đã chưa tính là bí mật gì, đặc biệt là liền Trình Giảo Kim đều có sau đó, liền càng không thể nào thành là bí mật.

	Trình Giảo Kim là một rất thích lấy le người, mình phủ trên có giường sưởi như vậy đồ, hắn không lấy le một chút làm sao có thể được?

	Trình Giảo Kim một khoe khoang, toàn bộ thành Trường An quyền quý coi như đều biết.

	Là lấy, bỏ mặc cùng Tần Thiên quan hệ tốt, vẫn là không có quan hệ, cũng lập tức tràn vào.

	"Tần đại nhân, xin làm phiền ngươi thợ đi ta trong phủ một chuyến, chỉ cần giường sưởi làm xong, giá tiền không là vấn đề."

	"Tần đại nhân, đi trước ta trong phủ à, ta tới trước."

	"Ta ra giá cao. . ."

	"Ta cũng không thấp. . ."

	Mọi người ở Tần phủ giằng co, Tần Thiên gặp có lợi có thể toan tính, ngược lại cũng thích, lập tức đem trong phủ hai rút làm giường sưởi thợ cho tổ chức một chút, để cho bọn họ làm xong đại kiền một trận chuẩn bị.

	Người tới dựa theo thứ tự ở Tần phủ ghi danh một chút, hơn nữa đã gọi tiền đặt cọc, sau đó, hai nhóm người liền dựa theo thứ tự bắt đầu đi làm bốc cháy giường lò tới.

	Giường sưởi mặc dù đơn giản, nhưng rất nhiều chương trình vậy không thể qua loa, cho nên khều một cái người một ngày nhiều nhất có thể làm ba nhà, hai rút một ngày cũng chỉ có thể làm Lục gia, như vậy tốc độ rất chậm.

	Tần Thiên nhìn một chút tới ghi danh người, có chừng trăm chừng mười nhà nhiều, cái này phải làm xong, cũng đều gần một tháng, khi đó, ngày đông cũng mau đi qua.

	Hơn nữa không có gì bất ngờ xảy ra, tới ghi danh người khẳng định càng ngày sẽ càng nhiều à.

	Vạn nhất làm được ngày đông, những người này giường lò cũng còn không có làm xong, vậy cũng thì hư chuyện.

	Đây là kiếm tiền cơ hội tốt à, Tần Thiên suy nghĩ có phải hay không mình lại đào tạo mấy nhóm thợ, như vậy hiệu suất cao, tốc độ nhanh, kiếm tiền cũng nhiều à.

	Nghĩ như vậy, Tần Thiên cảm thấy quá có cần phải.

	Cho nên liền có như vậy chuẩn bị.

	Mà đang ở Tần Thiên làm loại này chuẩn bị lúc này thiên hạ này liền lâm triều, một đám quan viên lẫn nhau chuyện trò.

	"Đi, đi, đi tìm cái nhà hàng đi uống rượu."

	"Không đi, những rượu kia lầu lạnh lợi hại, muốn uống rượu, hay là đi ta trong phủ đi, đi trên giường đất ngồi xuống, kẻ gian ấm áp, một vò nữa tới Túy mỹ nhân, vậy thì hoàn mỹ."

	"Ai nha, Trương đại nhân nhà giường sưởi tốt lắm à, vậy cũng phải đi Trương đại nhân nhà uống rượu, ta trong phủ, xếp hàng ngày mốt, thật là cấp người à."

	"Ha ha, từ từ đi, ngày mốt không cũng sắp, cùng ngươi thật ngủ thượng hoả giường lò sau đó, cũng biết giường sưởi tốt."

	"Cũng phải , đó là, sau này lại cũng không bị đông. . ."

	Một đám quan viên như thế nói lúc này thái tử Lý Kiến Thành cùng mấy cái thuộc hạ của mình đi tới, Lý Kiến Thành nghe được những người này nói chuyện, thần sắc xanh mét, không nhịn được liếc mắt.

	Cùng hắn trở lại đông cung sau đó, tức giận không thôi.

	"Đáng ghét, Tần Thiên thằng nhóc này lại nổi tiếng, mùa hè phòng tự mưa, mùa đông giường sưởi, hiện tại mọi người cũng sắp thiếu không được hắn, đáng ghét, đáng ghét à. . ."

	Lý Kiến Thành thở phì phò bưng một ly rượu lên uống một hớp, một hớp này rượu uống vào sau đó, phát giác là Tần Thiên Túy mỹ nhân, vốn là hắn là rất thích rượu này, nhưng lúc này khí để ý đầu, há miệng liền lại đem đem rượu cho phun ra ngoài.

	"Chán ghét, chán ghét. . ."

	Lý Kiến Thành mắng, đột nhiên cảm thấy cả người lạnh run, nghĩ đến những quan viên kia nói giường sưởi tốt, hắn càng phát ra cảm giác được mình trong phòng lạnh, hơn nữa lạnh khó chịu.

	"Nếu là mình cũng có thể dùng tới giường sưởi là tốt, nghe nói còn có cái gì hồ bơi suối nước nóng. . ." Lý Kiến Thành trong lòng suy nghĩ, có thể suy nghĩ một chút, liền gặp khó khăn đứng lên.

	Những người khác có thể đi tìm Tần Thiên chế tạo phòng tự mưa, hắn thái tử có thể sao?

	Nếu như đi tìm Tần Thiên mà nói, liền quá hết mặt, đây là hắn tuyệt đối không thể tiếp nhận.

	Có thể không đi tìm hắn, đánh như thế nào tạo giường sưởi đâu ?

	Nghe vật kia thật giống như gắng gượng đơn giản, nhưng rất nhiều địa phương nhưng cũng hết sức khảo cứu à, phái người đi những quan viên khác trong nhà nghiên cứu, coi như nghiên cứu thấu, kỹ thuật này vậy thành thạo, sợ cũng đến sang năm chứ ?

	Suy nghĩ, Lý Kiến Thành đem Tống Công Khanh cho kêu tới, đem mình ý tưởng cùng Tống Công Khanh nói một lần.

	Tống Công Khanh nghe giường sưởi sau đó, cũng là hết sức hướng tới, làm sao thái tử không mở miệng, hắn cũng không dám nói muốn, hôm nay gặp thái tử cùng hắn không hẹn mà hợp, ngược lại là mừng rỡ không thôi.

	"Thái tử nếu thật muốn dùng giường sưởi, cũng không khó khăn, chỉ cần tìm một chút công bộ người là được."

	"Công bộ?"

	Tống Công Khanh gật đầu một cái: "Giường sưởi, lợi ở người dân à, cái này kỹ thuật cần phải chia sẻ đi ra ngoài."

	Tống Công Khanh nói như vậy một câu, Lý Kiến Thành nhất thời công khai, vì vậy không làm chần chờ, vội vàng phái người đem công bộ thượng thư Lục Phùng cho kêu tới.

	Công bộ là lục bộ trong nhất không có cảm giác tồn tại một bộ, mặc dù lục bộ thượng thư quan chức không sai biệt lắm, nhưng công bộ thượng thư gặp những thứ khác thượng thư, đều phải kém người một bậc.

	Là lấy, bị thái tử cho đòi gặp, công bộ thượng thư Lục Phùng có chút thụ sủng nhược kinh.

	"Thần Lục Phùng bái kiến thái tử điện hạ, không biết thái tử điện hạ tuyên hạ quan tới, vì chuyện gì?"

	Lý Kiến Thành đem tình huống cùng Lục Phùng nói một lần, Lục Phùng nghe xong, đổ cũng không phát giác được có vấn đề gì, lập tức liền đồng ý.

	Lục Phùng đáp ứng sau đó, liền thẳng vào hoàng cung.

	Ngự thư phòng, Lý Uyên mới vừa ăn cơm trưa xong, chuẩn bị nghỉ một chút một chút, lúc này, thái giám chạy tới: "Thánh thượng, công bộ thượng thư Lục Phùng Lục đại nhân cầu gặp?"

	"Lúc này, hắn tới làm gì?" Lý Uyên không rõ ràng, nhưng hay là để cho Lục Phùng tiến vào.

