Chương 169: Sợ tội tự sát 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Thành Trường An.

	Lý Thế Dân dựa theo Tần Thiên theo như lời, ở Tần Thiên cách mở 2 tiếng sau đó, vội vã vào hoàng cung.

	Mà đang ở Lý Thế Dân vào hoàng cung sau đó, đông cung bên này, Lý Kiến Thành đã nhận được tin tức, ngay sau đó vậy vội vàng vào cung.

	Thôi gia động thủ sự việc, Lý Kiến Thành đã biết được, cho nên hắn đoán được Lý Thế Dân vào cung có thể là vì cứu Lô Hoa Nương sự việc, cho nên hắn cảm giác được mình có cần phải vào cung tùy thời ứng biến.

	Hai người một trước một sau vào hoàng cung, đi tới ngự thư phòng sau đó, Lý Uyên gặp 2 anh em bọn họ đồng thời vào cung, trong lòng liền đoán được bọn họ chỉ sợ lại muốn gây chuyện, không khỏi được có chút chán ghét.

	Bất quá hắn vẫn là nhịn xuống, hỏi: "Các người hai người lúc này vào cung, nhưng mà có chuyện gì?"

	Lý Kiến Thành nhìn một cái Lý Thế Dân, ở hắn xem ra, Lý Thế Dân là thật có chuyện, cho nên Lý Thế Dân sẽ mở miệng, có thể Lý Thế Dân chỉ là dựa theo Tần Thiên nói vào cung, còn như những thứ khác nhưng là không có nói, vì vậy Lý Thế Dân cũng không biết nói cái gì cho phải, cho nên chẳng qua là đứng ở một bên, không hề lời nói.

	Hai người cũng không nói lời nào, cái này thì để cho Lý Uyên cảm thấy kỳ quái.

	"Các người hai người rốt cuộc có chuyện gì?" Lý Uyên giọng lạnh lùng, Lý Thế Dân nhưng như cũ không mở miệng, Lý Kiến Thành bên này nhưng là đột nhiên kỳ quái.

	Lý Uyên chân mày hơi chăm chú: "Thái tử ngươi nói trước."

	Lý Kiến Thành âm thầm kêu khổ, hắn vậy không có chuyện gì à.

	Bất quá, cái này cũng không làm khó được Lý Kiến Thành, hắn vội vàng đứng dậy, nói: "Phụ hoàng, nhi thần là tới lắng nghe phụ hoàng dạy bảo, phụ hoàng nhưng có chuyện gì, cứ phân phó nhi thần đi làm."

	Lý do này miễn cưỡng vậy nói được, bất quá tương đương với chưa nói, Lý Uyên liếc mắt, sau đó nhìn về Lý Thế Dân nói: "Ngươi tới là vì cái gì?"

	"Nhi thần cũng là tới lắng nghe phụ hoàng dạy bảo."

	Nghe được Lý Thế Dân cùng tự mình nói vậy, Lý Kiến Thành nhất thời tức giận muốn rút ra người, Lý Uyên bên này nhưng là đột nhiên hồ nghi, trong đầu nghĩ bọn họ hai người ngày hôm nay rốt cuộc gây là kia ra?

	Đang suy nghĩ, một người thái giám gấp vội vã chạy vào: "Thánh thượng, Lô gia Lô Triển Đình và Lô Hành hai người cầu gặp."

	Nghe được người Lô gia tới, Lý Uyên nhờ vậy mới không có cùng Lý Thế Dân bọn họ tiếp tục làm tiếp, phân phó nói: "Tuyên bọn họ đi vào."

	Không lâu lắm, Lô Triển Đình và Lô Hành hai người đi tới liền ngự thư phòng.

	"Các người vào cung có chuyện gì không?"

