Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Cửa sông thành tình hình tai nạn lấy được khống chế.

	Phủ thứ sử Ngô Đại Đính cuối cùng là thở phào nhẹ nhõm.

	Mà ngay tại lúc này, Lý Thế Dân và Tần Thiên các người viếng thăm.

	Vốn là, giống như bọn họ người như vậy, Ngô Đại Đính là sẽ không dễ dàng thấy, nhưng khi biết trong đó có Tần Thiên sau đó, hắn nhưng cũng không dám không gặp.

	Hắn nếu không phải gặp, hắn tin tưởng những người này dám trực tiếp vọt vào phủ nha tới.

	Hơn nữa chính là đánh hắn, hắn cũng không dám như thế nào.

	Rất nhanh, hắn liền sai người đem Tần Thiên các người mời tới đây.

	"Ngô đại nhân, hôm nay tình hình tai nạn lấy được khống chế, bọn ta vậy thì không cần tiếp tục lưu lại, ngày mai chúng ta chuẩn bị rời đi, ngày hôm nay đặc biệt tới cáo từ."

	Nghe được Tần Thiên các người phải đi, Ngô Đại Đính trong lòng liền có chút nhỏ hưng phấn, những người này đi, thì chẳng khác nào đưa đi Ôn thần à, hắn muốn gia nhập Dã đảng cũng chỉ dễ dàng.

	"Cửa sông thành tình hình tai nạn có thể có được giải quyết, chư vị có thể nói là công không thể không có, sau này ta sẽ xây một cái công lao bia, đem chư vị tên chữ cũng cho khắc lên."

	Tần Thiên cười yếu ớt: "Ngô đại nhân khách khí, ta từ kinh thành ở đây, ở kinh thành bên kia biết không thiếu bằng hữu, Ngô đại nhân làm nơi là, ta sẽ nói cho những người bạn nầy, để cho bọn họ giúp Ngô đại nhân nói một ít lời."

	"À, Tần công tử còn có quan hệ như vậy, đó thật đúng là vô cùng cảm kích."

	Ngô Đại Đính là một người thông minh, hắn biết, nếu như mình cự tuyệt Tần Thiên như vậy tốt ý, vậy khẳng định sẽ bị người hoài nghi, thành tựu trong quan trường người, chỉ có ưa chuộng quyền lực mới là bình thường tình huống.

	Mà hắn lúc này nội tâm cũng đích xác là hưng phấn, bởi vì Tần Thiên tuy nói là biết những người khác, nhưng hắn biết, Tần Thiên nói nhưng thật ra là mình, trở lại thành Trường An sau đó, Tần Thiên có thể phải giúp mình nói mấy câu.

	Chỉ cần Tần Thiên chịu hỗ trợ, vậy hắn ở cửa sông thành thứ sử trên vị trí này, sợ cũng ngồi không lâu dài.

	Như vậy sau khi nói xong, Tần Thiên và Lý Thế Dân bọn họ liền đứng dậy cáo từ.

	Rời đi phủ nha sau đó, Lý Thế Dân và Tần Thiên liền bắt đầu thương nghị chuyện kế tiếp.

