Chương 231: Cầu mua 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Lúc này vạch tội Tần Thiên, hiển nhiên là đầu bị cửa cho kẹp.

	Tần Thiên đem rau lều lớn kỹ thuật cống hiến ra ngoài, lại đem vô dụng cây bông vải cho làm thành áo bông, vậy một kiện không phải lợi nước lợi dân?

	Trong triều quan viên rối rít khen, lúc này nói Tần Thiên không tốt, vậy đơn giản là tìm chết.

	Lý Uyên cũng không tốt nói Tần Thiên, nếu không thì muốn lạnh lòng người.

	Chẳng qua là cây bông vải hạt giống thiếu hụt, sang năm trồng làm sao cây bông vải?

	"Chư vị ái khanh, Tần ái khanh cây bông vải thật ra thì cũng không nhiều, ta Đại Đường muốn rộng rãi trồng trọt cây bông vải, những thứ này xa xa là không đủ, không biết các người có ai kế hay, có thể để cho ta Đại Đường phổ biến trồng trọt cây bông vải?"

	Lý Uyên nhìn chúng thần hỏi một câu, Lý Thế Dân đứng ra nói: "Phụ hoàng, chuyện này cũng dễ làm, cây bông vải là từ Tây Vực các nước truyền tới, đã như vậy, ta Đại Đường không bằng từ những cái kia Tây Vực cửa hàng trong tay người thu mua cây bông vải hạt, bọn họ gặp có lợi có thể toan tính, nhất định từ Tây Vực vận cây bông vải hạt tới à."

	"Thế Dân nói có đúng không sai, chẳng qua là đến lúc này một lần, khá mất thời gian ở giữa, sẽ sẽ không trễ nãi sang năm trồng trọt?"

	"Vẫn còn kịp."

	Lý Uyên gật đầu một cái: "Nếu như thế, vậy cứ như vậy đi."

	Quần thần lại một lần thương nghị, sau đó liền bãi triều.

	Mùa đông lâm triều gần đây cũng không thế nào trưởng, bãi triều thời điểm thời gian còn sớm.

	Trình Giảo Kim mới ra đại điện, liền vội vả bước nhanh hơn, Lý Thế Dân ở phía sau thấy cái này, nhất thời hừ một tiếng, hô: "Lô quốc công!"

	Trình Giảo Kim nghe được kêu, ngừng lại: "Vương gia có gì phân phó?"

	"Vội vả muốn đi làm cái gì à?"

	Trình Giảo Kim do dự một chút, nói: "Vương gia, cái này Tần Thiên lôi đi cây bông vải cũng không thiếu, có thể làm tốt mấy cái áo choàng dài đâu, ta muốn đi muốn. . . Mua một kiện."

	Lý Thế Dân cười một tiếng: "Vừa vặn bổn vương vậy có ý đó, cùng đi chứ."

	"Này!"

	Hai người nói xong liền đi Tần Thiên trong phủ chạy tới.

	Tần phủ.

	Đi qua tối ngày hôm qua và sáng hôm nay làm gấp rút, Tần Thiên rốt cuộc lại để cho người làm ra một cái áo choàng dài, cái này cái áo choàng dài ở dạng thức lên cùng trước khi cái đó không nhiều lắm khác biệt, chính là càng bó sát người liền một chút, ăn mặc ấm áp hơn và.

	Tần Thiên mới vừa mặc vào áo choàng dài thử một chút, Lý Thế Dân và Trình Giảo Kim hai người liền đi vào.

