Chương 43: Băng vệ sinh 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Người phụ nữ có hai thống khổ lớn là người đàn ông vĩnh viễn cũng không lãnh hội được.

	Một là sanh con, hai là tới kinh nguyệt.

	Đường Dung tới kinh nguyệt, bất quá Tần Thiên ban đầu cũng không có cảm thấy cái này có gì, mỗi người đàn bà mỗi một tháng cũng biết tới kinh nguyệt, hắn cảm thấy cái này đối với nữ nhân mà nói quá bình thường.

	Bất quá làm hắn thấy Tiểu Thanh lại là cầm vải, lại là bắt phân tro, sau đó lại là nấu nước lúc này hắn mới phát hiện tới kinh nguyệt đối với cổ đại nữ nhân mà nói là một đại sự.

	Hoặc giả nói là một kiện hết sức rườm rà, lại rất đau đớn sự việc.

	Tiểu Thanh và Đường Dung hai người dày vò đến lớn nửa đêm sau đó, Tần Thiên mới rốt cục trở lại phòng ngủ tiếp tục nghỉ ngơi.

	Chẳng qua là bị Đường Dung như thế ồn ào, hắn có chút ngủ hưng hoàn toàn không có, không biết chuyện gì, hắn tổng không nhịn được nghĩ đi Đường Dung đi nơi nào hi vọng, trông Đường Dung rất là ngượng ngùng, cũng có chút cáu giận.

	Trong chốc lát, hai người sống chung một phòng thay đổi càng phát ra lúng túng.

	Trước kia không phát sinh chuyện này lúc này Tần Thiên cũng không cảm thấy có nhiều lúng túng, nhiều nhất chính là hai người tất cả ngủ riêng thôi, có thể xảy ra chuyện này, một ít suy nghĩ liền có chút không phòng giữ được.

	Trăng đã giữa trời, Đường Dung cũng bị chuyện tối hôm nay gây ra rất ngại quá, hơn nữa luôn là bị Tần Thiên trộm xem, nàng càng không buồn ngủ, nằm ở trên giường trằn trọc trở mình.

	Mà đang ở nàng ở trên giường qua lại phiên động lúc này phía dưới đột nhiên truyền tới một hồi tiếng vang, ngay sau đó nghe cửa két một tiếng mở ra, nàng nghiêng người sang tới, vừa vặn thấy Tần Thiên bóng người biến mất ở trong màn đêm.

	Thấy Tần Thiên rời đi, nàng đột nhiên bị tổn thương lòng.

	"Chẳng lẽ chuyện tối hôm nay, để cho hắn đối với ta càng phát ra chán ghét?" Đường Dung từ trên giường ngồi dậy, không biết bắt đầu từ lúc nào, nàng lại vậy đa sầu đa cảm, đem Tần Thiên rời đi cho là Tần Thiên đối với nàng chán ghét.

	Dẫu sao tối hôm nay nàng đích xác có chút nhiều chuyện, làm trễ nãi Tần Thiên nghỉ ngơi.

	Nàng đột nhiên có chút oán hận, oán hận vì sao hết lần này tới lần khác ở tối hôm nay tới kinh nguyệt.

	Đêm đã khuya sâu, Tần Thiên chẳng qua là bởi vì là thật ở không ngủ được vừa mới nghĩ đi ra đi tới lui, đối với Đường Dung cũng không có một chút chán ghét ý nghĩa, hơn nữa hắn rất lo lắng mình lại tiếp tục đợi tiếp, dục vọng sẽ không khống chế được, hắn trước kia cho tới bây giờ không có như vậy qua, nhưng tối hôm nay nhưng luôn là sẽ nhớ tới một ít phái nữ nơi kín đáo tranh ảnh.

