Chương 166: Giết người kế 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Lô gia.

	Lô Hoa Nương không thấy sự việc hiển nhiên để cho Lô gia gia tộc Lô Triển Đình khiếp sợ không thôi, thậm chí là có chút tức giận.

	"Đáng ghét, ngươi con gái này, liền không để cho người đỡ lo qua, mấy năm trước như vậy, bây giờ lại là như vậy, thật chẳng lẽ muốn ta vận dụng gia pháp, muốn tính mạng hắn, nàng mới chịu từ bỏ ý đồ?"

	Lô Triển Đình tức giận mắng, Lô Hành bên này cúi đầu không nói.

	Nói thật, toàn bộ Lô gia, thật đúng là liền con gái hắn phiền toái không ngừng, thậm chí có thời điểm liền chính hắn cũng cảm thấy kỳ quái, một cô gái nhà, an an phân phân một chút không tốt sao?

	Làm sao lão chọc xảy ra chuyện tới?

	Hôm nay bị anh cả hắn mắng, hắn vậy chỉ có thể nhịn.

	Mà ngay tại lúc này, một tên đầy tớ vội vả chạy tới: "Lão gia, Tần công tử mời tới."

	Tiếng nói rơi xuống, Tần Thiên đã từ bên ngoài đi vào.

	Vốn là, Lô Hoa Nương cứ như vậy rời đi, Tần Thiên cảm thấy Lô Hoa Nương là xem thường hắn, cái này làm cho lòng tự ái của hắn rất được tổn thương, ít nhiều có chút tức giận.

	Bất quá, cùng hắn đi tới Lô gia sau đó, khí này nhưng như thế nào cũng không sanh được tới, ngược lại lại hết sức lo lắng Lô Hoa Nương tình huống.

	Coi như nàng là mình chạy trốn, có thể nàng một người ở bên ngoài qua được không?

	Vốn không yêu nhau người, Tần Thiên cần gì phải cưỡng cầu?

	Cho nên, đi tới Lô gia sau đó, Tần Thiên cũng không một chút muốn giải thích ý nghĩa, thi lễ sau này, liền hỏi: "Lô lão gia, Lô cô nương sự việc là chuyện gì xảy ra?"

	Lô Triển Đình hừ một tiếng, bất quá Lô Hành vội vàng chen miệng nói: "Tiểu Thiên à, Hoa Nương tình huống chỉ sợ không ổn à."

	Tần Thiên thần sắc bình tĩnh, nói: "Rốt cuộc chuyện gì xảy ra?"

	"Tiểu Thiên, nói thật với ngươi đi, chính là bởi vì là ngươi đi chùa Thiện Nguyện gặp Hoa Nương sự việc, chúng ta mới quyết định để cho Hoa Nương gả cho ngươi, miễn được gây nữa xảy ra cái gì khó chịu sự việc tới, các người hai người yêu nhau như vậy, hôm nay Hoa Nương có cơ hội gả cho ngươi, nàng là tuyệt đối sẽ không mình chạy trốn, chỉ sợ là có người rắp tâm không thể dò được, chỗ hiểm Hoa Nương à."

	Lô Hành như thế vừa nói, Tần Thiên nhưng là hơi bĩu môi, mình đi gặp Lô Hoa Nương chẳng qua là hết sức một người bạn trách nhiệm mà, vậy giống như bọn họ nghĩ như vậy có cái gì tư tình.

	Hắn cảm thấy Lô Hoa Nương rời đi, đặt thì không muốn gả cho mình.

	Bất quá lô được đối với hắn mà nói là một nấc thang, hắn nếu như đem Lô Hoa Nương không muốn lấy cho mình nói nói ra, ngược lại làm cho hắn thật mất mặt.

	Cho nên, Tần Thiên cũng không có nói, chẳng qua là theo lô được nói: "Vậy lô lão gia cảm thấy Lô cô nương sẽ bị người nào làm hại?"

	"Dĩ nhiên là Thôi gia, Hoa Nương nếu như gả cho ngươi, vậy coi như đánh Thôi gia mặt à, vì thế, hắn chỗ hiểm Hoa Nương cũng chỉ nói xuôi được."

	Lời này mở miệng, Lô Triển Đình thần sắc đột nhiên động một cái, hắn cảm giác được mình em trai nói rất có lý, chẳng qua là hắn rất kỳ quái, mới vừa rồi Lô Hành tại sao không nói?

	Mình người em trai này, ẩn núp thật đúng là sâu à, có lúc liền hắn cũng xem không hiểu.

	Tần Thiên nơi này, cũng là chấn động một cái, hắn cảm thấy cũng có đạo lý, vậy Lô Hoa Nương coi như không muốn gả cho mình, vậy do hai người cũng hôn qua miệng quan hệ, hắn cũng không đến nổi chạy trốn.

	Hôm nay bị Lô Hành vừa nói như vậy, hắn cảm thấy Thôi gia thật đúng là làm cho ra loại chuyện này, dẫu sao ám sát hắn sự việc Thôi gia cũng làm được, huống chi là bắt cóc Lô Hoa Nương sự việc?

	"Lô lão gia nếu biết là Thôi gia nơi là, sao không trực tiếp hướng Thôi gia cần người?" Tần Thiên nhìn Lô Hành hỏi, Lô Hành lắc đầu một cái: "Không có chứng cớ, đi vậy là vô dụng, hơn nữa nếu như bứt giây động rừng, chỉ sợ Hoa Nương khó giữ được tánh mạng à, ngày hôm nay kêu ngươi tới, chỉ có hai cái mục đích, một, Hoa Nương cũng không phải là đùa bỡn tính tình đào hôn, nàng sớm muộn là phụ nữ của ngươi , hai, chính là muốn cùng ngươi thương lượng một chút, như thế nào giải cứu Hoa Nương."

	Chuẩn bị cưới đã qua, Lô Hoa Nương chính là Tần Thiên người phụ nữ, hơn nữa, hắn như thế nói, mới có thể bảo đảm Tần Thiên không để lại dư lực đi cứu con gái mình, có lẽ Tần Thiên không có lớn như vậy bản lãnh, nhưng sau lưng hắn Tần vương có à, nhiều một cái Tần vương, con gái hắn là thêm một phần mạng sống cơ hội.

	Lô Triển Đình nghe được em trai mình lời này sau đó, càng phát ra có chút khiếp sợ em trai mình, rất nhiều chuyện hắn đều biết, nhưng lại có thể ẩn nhẫn không nói, cho đến lúc cần thiết, hắn thật đúng là không đơn giản à.

	Bất quá mặc dù khiếp sợ, Lô Triển Đình nhưng cũng không có cảm thấy thế nào, Lô gia có người như vậy, đối với bọn họ Lô gia mà nói là chuyện may mắn.

	"Tần Thiên, ngươi cảm thấy nên như thế nào cứu Hoa Nương?" Lô Triển Đình trực tiếp hỏi lên.

	Tần Thiên trầm tư chốc lát, nói: "Nếu thật là Thôi gia nơi là, chúng ta trước mắt ngược lại không nghi hành động thiếu suy nghĩ, bọn họ đem Lô cô nương bắt đi, mà cũng không phải là sát hại, chỉ sợ còn có hậu chiêu, chúng ta không ngại yên lặng theo dõi kỳ biến."

	Lúc này Tần Thiên, cũng không có biện pháp tốt hơn, chỉ có thể trước quan sát một chút tình huống, mà nếu Thôi gia không có ở chùa Thiện Nguyện trực tiếp giết chết Lô Hoa Nương, vậy Lô Hoa Nương tạm thời hẳn là an toàn.

	Lô Hành nghe Tần Thiên nếu sau đó, cũng chỉ có thể gật đầu một cái, bởi vì là hắn vậy không nghĩ ra biện pháp tốt hơn tới.

	-------------------

	Thành Trường An bên ngoài, một nơi phế trạch.

	Lô Hoa Nương lúc tỉnh lại phát hiện mình cả người đều bị buộc chặt, thậm chí liền miệng vậy bị ngăn chặn.

	Nàng bị tống giam ở một gian giống như là phòng chứa củi địa phương, bốn phía đều là bụi bặm, bẩn thỉu không chịu nổi.

	Nàng không ngừng giãy dụa, vùng vẫy, cũng mặc kệ hắn làm sao giãy giụa, cũng tránh thoát không hết trên mình là dây thừng.

	Nàng rất gấp, trên trán bất chấp mồ hôi, nàng rất kỳ quái, mình không phải là ở chùa Thiện Nguyện sao, tại sao sẽ đột nhiên bị người cột ở chỗ này?

	Ngay tại Lô Hoa Nương vùng vẫy lúc này phòng chứa củi cửa két một tiếng mở ra, tiếp liền gặp một người đàn ông từ bên ngoài đi vào, ánh sáng mặt trời chiếu ở liền Lô Hoa Nương mắt lên, nàng có chút không mở ra được, cho đến chàng trai kia đến gần mình lúc này nàng mới rốt cục xem mời là ai.

	"Thôi Nguyên Hạo?" Lô Hoa Nương kêu một tiếng, nhưng mà miệng của nàng bị chận, cuối cùng phát ra chẳng qua là thanh âm ô ô.

	Đứng ở nàng trước mặt Thôi Nguyên Hạo lộ ra một tia cười nhạt, một tia vốn là không nên thuộc về hắn loại này Trường An tài giỏi đẹp trai cười nhạt, vậy cười nhạt giống như là địa ngục ác ma phát ra.

	Hắn nhìn Lô Hoa Nương, ở nàng bóng loáng trên gương mặt sờ soạng một cái, nhưng ngay sau đó một cái tát liền lại quất tới, sau đó mới từ trong ống tay áo của mình lấy ra một tờ khăn tay tới Hix, tựa như mình đụng phải Lô Hoa Nương sau đó, tay đều là bẩn.

	"Tiện nhân, biết ta cột ngươi mục đích tới nơi này sao?"

	Lô Hoa Nương ô ô kêu, không nghe rõ đang nói gì, mà Thôi Nguyên Hạo cũng không có giúp nàng buông ra ý nghĩa, hắn chẳng qua là lạnh cười lạnh, nói tiếp: "Rất nhanh, Tần Thiên sẽ bị một phong thơ, đóng kín một cái đơn độc phó ước tin, hắn đột nhiên nghĩ để cho ngươi còn sống, thì nhất định phải tới nơi này, mà ta đã ở chỗ này bày thiên la địa võng, chỉ cần hắn tới, liền đừng hòng sống rời đi."

	Ác độc ánh mắt bung ra, Thôi Nguyên Hạo vốn là tú khí gò má lúc này thay đổi tái nhợt đáng sợ, hắn cả người vậy thoạt nhìn là kinh khủng dữ tợn.

	Lô Hoa Nương cũng là gấp trợn to hai mắt, nàng không nghĩ tới Thôi Nguyên Hạo lại muốn lợi dụng tự mình tới hại Tần Thiên.

	Nàng bây giờ rất lo lắng, nàng chỉ hy vọng Tần Thiên không nên tới, dù sao cũng không nên tới.

	"Hắn làm sao có thể sẽ là mình mạo hiểm đâu ?" Lô Hoa Nương đột nhiên an ủi mình một câu.Chương 166: Giết người kế 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Lô gia.

	Lô Hoa Nương không thấy sự việc hiển nhiên để cho Lô gia gia tộc Lô Triển Đình khiếp sợ không thôi, thậm chí là có chút tức giận.

	"Đáng ghét, ngươi con gái này, liền không để cho người đỡ lo qua, mấy năm trước như vậy, bây giờ lại là như vậy, thật chẳng lẽ muốn ta vận dụng gia pháp, muốn tính mạng hắn, nàng mới chịu từ bỏ ý đồ?"

	Lô Triển Đình tức giận mắng, Lô Hành bên này cúi đầu không nói.

	Nói thật, toàn bộ Lô gia, thật đúng là liền con gái hắn phiền toái không ngừng, thậm chí có thời điểm liền chính hắn cũng cảm thấy kỳ quái, một cô gái nhà, an an phân phân một chút không tốt sao?

	Làm sao lão chọc xảy ra chuyện tới?

	Hôm nay bị anh cả hắn mắng, hắn vậy chỉ có thể nhịn.

	Mà ngay tại lúc này, một tên đầy tớ vội vả chạy tới: "Lão gia, Tần công tử mời tới."

	Tiếng nói rơi xuống, Tần Thiên đã từ bên ngoài đi vào.

	Vốn là, Lô Hoa Nương cứ như vậy rời đi, Tần Thiên cảm thấy Lô Hoa Nương là xem thường hắn, cái này làm cho lòng tự ái của hắn rất được tổn thương, ít nhiều có chút tức giận.

	Bất quá, cùng hắn đi tới Lô gia sau đó, khí này nhưng như thế nào cũng không sanh được tới, ngược lại lại hết sức lo lắng Lô Hoa Nương tình huống.

	Coi như nàng là mình chạy trốn, có thể nàng một người ở bên ngoài qua được không?

	Vốn không yêu nhau người, Tần Thiên cần gì phải cưỡng cầu?

	Cho nên, đi tới Lô gia sau đó, Tần Thiên cũng không một chút muốn giải thích ý nghĩa, thi lễ sau này, liền hỏi: "Lô lão gia, Lô cô nương sự việc là chuyện gì xảy ra?"

	Lô Triển Đình hừ một tiếng, bất quá Lô Hành vội vàng chen miệng nói: "Tiểu Thiên à, Hoa Nương tình huống chỉ sợ không ổn à."

	Tần Thiên thần sắc bình tĩnh, nói: "Rốt cuộc chuyện gì xảy ra?"

	"Tiểu Thiên, nói thật với ngươi đi, chính là bởi vì là ngươi đi chùa Thiện Nguyện gặp Hoa Nương sự việc, chúng ta mới quyết định để cho Hoa Nương gả cho ngươi, miễn được gây nữa xảy ra cái gì khó chịu sự việc tới, các người hai người yêu nhau như vậy, hôm nay Hoa Nương có cơ hội gả cho ngươi, nàng là tuyệt đối sẽ không mình chạy trốn, chỉ sợ là có người rắp tâm không thể dò được, chỗ hiểm Hoa Nương à."

	Lô Hành như thế vừa nói, Tần Thiên nhưng là hơi bĩu môi, mình đi gặp Lô Hoa Nương chẳng qua là hết sức một người bạn trách nhiệm mà, vậy giống như bọn họ nghĩ như vậy có cái gì tư tình.

	Hắn cảm thấy Lô Hoa Nương rời đi, đặt thì không muốn gả cho mình.

	Bất quá lô được đối với hắn mà nói là một nấc thang, hắn nếu như đem Lô Hoa Nương không muốn lấy cho mình nói nói ra, ngược lại làm cho hắn thật mất mặt.

	Cho nên, Tần Thiên cũng không có nói, chẳng qua là theo lô được nói: "Vậy lô lão gia cảm thấy Lô cô nương sẽ bị người nào làm hại?"

	"Dĩ nhiên là Thôi gia, Hoa Nương nếu như gả cho ngươi, vậy coi như đánh Thôi gia mặt à, vì thế, hắn chỗ hiểm Hoa Nương cũng chỉ nói xuôi được."

	Lời này mở miệng, Lô Triển Đình thần sắc đột nhiên động một cái, hắn cảm giác được mình em trai nói rất có lý, chẳng qua là hắn rất kỳ quái, mới vừa rồi Lô Hành tại sao không nói?

	Mình người em trai này, ẩn núp thật đúng là sâu à, có lúc liền hắn cũng xem không hiểu.

	Tần Thiên nơi này, cũng là chấn động một cái, hắn cảm thấy cũng có đạo lý, vậy Lô Hoa Nương coi như không muốn gả cho mình, vậy do hai người cũng hôn qua miệng quan hệ, hắn cũng không đến nổi chạy trốn.

	Hôm nay bị Lô Hành vừa nói như vậy, hắn cảm thấy Thôi gia thật đúng là làm cho ra loại chuyện này, dẫu sao ám sát hắn sự việc Thôi gia cũng làm được, huống chi là bắt cóc Lô Hoa Nương sự việc?

	"Lô lão gia nếu biết là Thôi gia nơi là, sao không trực tiếp hướng Thôi gia cần người?" Tần Thiên nhìn Lô Hành hỏi, Lô Hành lắc đầu một cái: "Không có chứng cớ, đi vậy là vô dụng, hơn nữa nếu như bứt giây động rừng, chỉ sợ Hoa Nương khó giữ được tánh mạng à, ngày hôm nay kêu ngươi tới, chỉ có hai cái mục đích, một, Hoa Nương cũng không phải là đùa bỡn tính tình đào hôn, nàng sớm muộn là phụ nữ của ngươi , hai, chính là muốn cùng ngươi thương lượng một chút, như thế nào giải cứu Hoa Nương."

	Chuẩn bị cưới đã qua, Lô Hoa Nương chính là Tần Thiên người phụ nữ, hơn nữa, hắn như thế nói, mới có thể bảo đảm Tần Thiên không để lại dư lực đi cứu con gái mình, có lẽ Tần Thiên không có lớn như vậy bản lãnh, nhưng sau lưng hắn Tần vương có à, nhiều một cái Tần vương, con gái hắn là thêm một phần mạng sống cơ hội.

	Lô Triển Đình nghe được em trai mình lời này sau đó, càng phát ra có chút khiếp sợ em trai mình, rất nhiều chuyện hắn đều biết, nhưng lại có thể ẩn nhẫn không nói, cho đến lúc cần thiết, hắn thật đúng là không đơn giản à.

	Bất quá mặc dù khiếp sợ, Lô Triển Đình nhưng cũng không có cảm thấy thế nào, Lô gia có người như vậy, đối với bọn họ Lô gia mà nói là chuyện may mắn.

	"Tần Thiên, ngươi cảm thấy nên như thế nào cứu Hoa Nương?" Lô Triển Đình trực tiếp hỏi lên.

	Tần Thiên trầm tư chốc lát, nói: "Nếu thật là Thôi gia nơi là, chúng ta trước mắt ngược lại không nghi hành động thiếu suy nghĩ, bọn họ đem Lô cô nương bắt đi, mà cũng không phải là sát hại, chỉ sợ còn có hậu chiêu, chúng ta không ngại yên lặng theo dõi kỳ biến."

	Lúc này Tần Thiên, cũng không có biện pháp tốt hơn, chỉ có thể trước quan sát một chút tình huống, mà nếu Thôi gia không có ở chùa Thiện Nguyện trực tiếp giết chết Lô Hoa Nương, vậy Lô Hoa Nương tạm thời hẳn là an toàn.

	Lô Hành nghe Tần Thiên nếu sau đó, cũng chỉ có thể gật đầu một cái, bởi vì là hắn vậy không nghĩ ra biện pháp tốt hơn tới.

	-------------------

	Thành Trường An bên ngoài, một nơi phế trạch.

	Lô Hoa Nương lúc tỉnh lại phát hiện mình cả người đều bị buộc chặt, thậm chí liền miệng vậy bị ngăn chặn.

	Nàng bị tống giam ở một gian giống như là phòng chứa củi địa phương, bốn phía đều là bụi bặm, bẩn thỉu không chịu nổi.

	Nàng không ngừng giãy dụa, vùng vẫy, cũng mặc kệ hắn làm sao giãy giụa, cũng tránh thoát không hết trên mình là dây thừng.

	Nàng rất gấp, trên trán bất chấp mồ hôi, nàng rất kỳ quái, mình không phải là ở chùa Thiện Nguyện sao, tại sao sẽ đột nhiên bị người cột ở chỗ này?

	Ngay tại Lô Hoa Nương vùng vẫy lúc này phòng chứa củi cửa két một tiếng mở ra, tiếp liền gặp một người đàn ông từ bên ngoài đi vào, ánh sáng mặt trời chiếu ở liền Lô Hoa Nương mắt lên, nàng có chút không mở ra được, cho đến chàng trai kia đến gần mình lúc này nàng mới rốt cục xem mời là ai.

	"Thôi Nguyên Hạo?" Lô Hoa Nương kêu một tiếng, nhưng mà miệng của nàng bị chận, cuối cùng phát ra chẳng qua là thanh âm ô ô.

	Đứng ở nàng trước mặt Thôi Nguyên Hạo lộ ra một tia cười nhạt, một tia vốn là không nên thuộc về hắn loại này Trường An tài giỏi đẹp trai cười nhạt, vậy cười nhạt giống như là địa ngục ác ma phát ra.

	Hắn nhìn Lô Hoa Nương, ở nàng bóng loáng trên gương mặt sờ soạng một cái, nhưng ngay sau đó một cái tát liền lại quất tới, sau đó mới từ trong ống tay áo của mình lấy ra một tờ khăn tay tới Hix, tựa như mình đụng phải Lô Hoa Nương sau đó, tay đều là bẩn.

	"Tiện nhân, biết ta cột ngươi mục đích tới nơi này sao?"

	Lô Hoa Nương ô ô kêu, không nghe rõ đang nói gì, mà Thôi Nguyên Hạo cũng không có giúp nàng buông ra ý nghĩa, hắn chẳng qua là lạnh cười lạnh, nói tiếp: "Rất nhanh, Tần Thiên sẽ bị một phong thơ, đóng kín một cái đơn độc phó ước tin, hắn đột nhiên nghĩ để cho ngươi còn sống, thì nhất định phải tới nơi này, mà ta đã ở chỗ này bày thiên la địa võng, chỉ cần hắn tới, liền đừng hòng sống rời đi."

	Ác độc ánh mắt bung ra, Thôi Nguyên Hạo vốn là tú khí gò má lúc này thay đổi tái nhợt đáng sợ, hắn cả người vậy thoạt nhìn là kinh khủng dữ tợn.

	Lô Hoa Nương cũng là gấp trợn to hai mắt, nàng không nghĩ tới Thôi Nguyên Hạo lại muốn lợi dụng tự mình tới hại Tần Thiên.

	Nàng bây giờ rất lo lắng, nàng chỉ hy vọng Tần Thiên không nên tới, dù sao cũng không nên tới.

	"Hắn làm sao có thể sẽ là mình mạo hiểm đâu ?" Lô Hoa Nương đột nhiên an ủi mình một câu.Chương 166: Giết người kế 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Lô gia.

	Lô Hoa Nương không thấy sự việc hiển nhiên để cho Lô gia gia tộc Lô Triển Đình khiếp sợ không thôi, thậm chí là có chút tức giận.

	"Đáng ghét, ngươi con gái này, liền không để cho người đỡ lo qua, mấy năm trước như vậy, bây giờ lại là như vậy, thật chẳng lẽ muốn ta vận dụng gia pháp, muốn tính mạng hắn, nàng mới chịu từ bỏ ý đồ?"

	Lô Triển Đình tức giận mắng, Lô Hành bên này cúi đầu không nói.

	Nói thật, toàn bộ Lô gia, thật đúng là liền con gái hắn phiền toái không ngừng, thậm chí có thời điểm liền chính hắn cũng cảm thấy kỳ quái, một cô gái nhà, an an phân phân một chút không tốt sao?

	Làm sao lão chọc xảy ra chuyện tới?

	Hôm nay bị anh cả hắn mắng, hắn vậy chỉ có thể nhịn.

	Mà ngay tại lúc này, một tên đầy tớ vội vả chạy tới: "Lão gia, Tần công tử mời tới."

	Tiếng nói rơi xuống, Tần Thiên đã từ bên ngoài đi vào.

	Vốn là, Lô Hoa Nương cứ như vậy rời đi, Tần Thiên cảm thấy Lô Hoa Nương là xem thường hắn, cái này làm cho lòng tự ái của hắn rất được tổn thương, ít nhiều có chút tức giận.

	Bất quá, cùng hắn đi tới Lô gia sau đó, khí này nhưng như thế nào cũng không sanh được tới, ngược lại lại hết sức lo lắng Lô Hoa Nương tình huống.

	Coi như nàng là mình chạy trốn, có thể nàng một người ở bên ngoài qua được không?

	Vốn không yêu nhau người, Tần Thiên cần gì phải cưỡng cầu?

