Chương 144: Bị vạch tội 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Tần Thiên trở lại Trường An thời điểm đã là cuối hè thời tiết.

	Cuối hè Trường An còn có chút nóng ran, Tần Thiên trở về ngày đó, thành Trường An bầu trời chặt chẽ mây không mưa, gió lớn không ngừng.

	Đông cung thái tử biết được Tần Thiên trở lại thành Trường An tin tức sau đó, liền lập tức hướng hoàng cung chạy tới.

	Hắn đi tới hoàng cung lúc này vừa vặn gặp phải cũng phải vào cung Thôi Đồng.

	Lý Kiến Thành thấy Thôi Đồng sau đó, nhất thời rõ ràng liền ý đồ của hắn.

	Bất quá Lý Kiến Thành nhưng cũng cũng không cùng Thôi Đồng nhiều lời, tùy tiện lên tiếng chào sau đó, hai người liền lần lượt vào cung.

	Lý Uyên thân thể càng ngày càng kém, hắn buồn ngủ, nhưng mà mình nhưng thật giống như bất cứ thời khắc nào không thuộc về một loại hưng phấn trạng thái, coi như thật mệt mỏi cực kỳ ngủ rồi, cũng là rất nhanh liền tỉnh lại.

	Hơn nữa, hắn thường xuyên gặp ác mộng, cái này ngủ chất lượng cũng chỉ không thể nói tốt lắm.

	Lý Kiến Thành và Thôi Đồng hai người sau khi đi vào, Lý Uyên đang nhắm hai mắt dưỡng thần, hắn không ngủ được, cũng chỉ có thể thông qua nhắm mắt dưỡng thần tới không để cho mình còn như như vậy mệt mỏi.

	"Phụ hoàng, nhi thần có chuyện muốn tấu."

	Lúc này Lý Uyên căn bản không ý nghe cái này cái đó, Lý Kiến Thành vừa mới dứt lời, Lý Uyên chân mày liền ngưng đứng lên: "Ngày khác lại tấu."

	Lý Uyên thanh âm rất lạnh, hơn nữa còn mang một ít không nhịn được, Lý Kiến Thành tự nhiên biết là nguyên nhân gì, nhưng cũng không vì vậy thì có nơi buông tha, mà là trực tiếp nói: "Phụ hoàng, Tần Thiên hồi kinh."

	Nghe nói như vậy, Lý Uyên đột nhiên mở mắt, mà ở hắn trong ánh mắt, thấy cũng không phải là tức giận, ngược lại nhưng là hưng phấn, một loại thấy được hy vọng hưng phấn.

