Chương 306: Vẫn còn ở sửa chữa máy bay 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Lao ra khu dân nghèo sau đó, bọn họ rất nhanh liền đi tới sân bay trước.

	Nơi này vẫn là một mảnh hỗn loạn vô chương công trường, đến phi trường hàng đứng lầu nơi đó, xe cộ liền lại cũng không lên nổi.

	"Dok, ngươi cùng Sơn Dương đi vào trước dò xét tra một chút." Cách hàng đứng lầu 200m địa phương xa nhìn, nơi đó căn bản xem không thấy một người.

	Vì để đạt được an toàn, Dương Thiên Long quyết định để cho Dok cùng Sơn Dương đi dò xét tra một chút.

	Bị lĩnh nhiệm vụ sau đó, hai người lục lọi hướng chạy đi đâu đi.

	"Làm cái gì?" Ngay tại bọn họ chuẩn bị vào cửa lúc này bỗng nhiên hai người da đen bảo an từ bên trong vọt ra, đen thui họng súng thẳng ngay bọn họ.

	"Xin hỏi Hoa Hạ Vĩ tiên sinh bọn họ có ở bên trong không?" Dok không khỏi phải hỏi nói.

	"Các người là ai ?" Bảo an súng trong tay bắt đầu run sợ đứng lên, nhìn ra được, bọn họ vậy có chút sợ hãi.

	"Chúng ta là bạn của hắn phái tới." Dok nói.

	"Chúng ta nên như thế nào tin tưởng các người không phải quân phản loạn đâu ?" Hai người an ninh tay đã đặt ở cò súng nơi đó, bọn họ tùy thời làm xong kích phát chuẩn bị.

	"Chúng ta thật không phải là quân phản loạn, ta có số điện thoại của hắn cùng tấm ảnh." Dok nhanh chóng móc ra trong tay tấm ảnh, tấm ảnh sau lưng viết Lưu Vĩ số điện thoại.

	"Các người chờ một chút?" Nói xong, chỉ gặp một người da đen bảo an móc ra điện thoại vô tuyến, hướng về phía bên trong hô lên.

	Rất nhanh, một người đeo mắt kiếng ăn mặc màu xanh da trời đồng phục làm việc TQ người đàn ông trung niên từ bên trong đi ra.

	"Xin hỏi ngươi là Hoa Hạ Vĩ sao?" Dok không khỏi hỏi.

