Chương 217: Hashimoto điện tới 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Đương nhiên là ngươi." Siman cùng Elbuk một mặt cười híp mắt.

	"Ta mời khách?" Dương Thiên Long rất là một mặt vô tội, "Này, lão đồng nghiệp cửa, nhưng mà ta căn bản không có đưa tiền mua những thứ này nha?"

	"Ha ha. . ." Siman bọn họ không kiềm được vui vẻ cười to nói , "Lão đồng nghiệp, ngươi quên chi tiền cho chúng ta phí khổ cực liền sao?"

	Vừa nghe đến "Phí khổ cực" ba chữ, Dương Thiên Long nhất thời bừng tỉnh hiểu ra, hắn cười nói, "Đó là các ngươi thù lao, nhưng mà cùng ta đã không có quan hệ."

	"Nhưng là khoản tiền này là ngươi cho, cho nên cũng coi là ngươi mời khách." Siman tuy nói ngày thường lãnh khốc, nhưng là tấm lòng nhưng cũng rất hiền lành, thấy Dương Thiên Long là các thôn dân làm không ít chuyện sau đó, hắn phóng khoáng cầm ra 5000 đô la, mời tất cả mọi người thật tốt xoa một lần.

	"Ngươi tên nầy, quay đầu ta cũng không cho ngươi bổ túc." Dương Thiên Long vừa nói vừa nhấp một hớp bia.

	"Hey, lông cừu ra ở trên thân cừu, ông chủ, ngài bổ không bổ còn không phải là xem tâm tình, đúng không." Elbuk tề mi lộng nhãn nói.

	"Không, ta bóp tiền cũng không phải là do lòng của ta định đoạt." Nói xong, Dương Thiên Long từ lửa than trong lấy ra một chùm hoàng xán xán thịt nướng, đưa cho Arlene.

	Đợi thịt nướng nhiệt độ giảm xuống một hồi, Arlene cái này mới nhẹ nhàng cắn một cái, rất nhanh nàng liền một mặt thành thật nói: " Cục cưng, nói thật, không có ngươi nướng ăn ngon."

	"Phải không?" Dương Thiên Long không kiềm được cầm lên một chùm, cắn một cái sau đó, hắn vô cùng đồng ý Arlene giải thích.

	"Vậy ta tới là các người nướng đi." Nói xong, Dương Thiên Long liền đi tới vẫn còn ở cắt bò thịt cừu các thôn dân nơi đó.

	"Trước ướp 10 phút." Dương Thiên Long vừa nói vừa làm mẫu, "Sau đó sẽ nướng, nướng thời điểm nhất định phải đều đều rải trái ớt mặt cùng thì là Ai Cập, cuối cùng xong hết rồi còn có thể thêm chút hành lá cắt nhỏ. . ."

	Ở Dương Thiên Long làm mẫu hạ, hơn mười phút sau, hơn mười chuỗi ánh vàng rực rỡ thịt nướng chuỗi liền khảo chế mà thành.

	Lúc này thịt nướng rõ ràng ở mùi vị thượng hạng không thiếu, tất cả mọi người ăn người người mặt đầy tấm tắc lấy làm kỳ.

	Lấp đầy bụng sau đó, Yom, Yankee bọn họ chủ động muốn đặt đám này người nước ngoài tới vây quanh đống lửa khiêu vũ, đối với các thôn dân nhiệt tình mời, Dương Thiên Long bọn họ dĩ nhiên là một mặt khoái trá đồng ý.

	Người Phi châu rất là có thể ca vũ, bọn họ sở trường dùng phong phú ngôn ngữ tay chân biểu đạt mình nội tâm phong phú tình cảm, các thôn dân cũng không ngoại lệ, vây quanh đống lửa bọn họ tận tình vui mừng hát khua, đem bọn họ đối với đám này người nước ngoài cảm kích toàn bộ hóa thành phong phú tay chân động tác.

