Chương 13: Mất xe đạp 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Ngài uống trà không? Tiên sinh Wilmots." Dương Thiên Long cười hỏi.

	"Trà gì?" Wilmots không khỏi hỏi.

	"TQ trà." Dương Thiên Long vừa nói vừa từ trong túi móc ra hai túi đóng gói tuyệt đẹp trà hoa lài cùng phổ nhị trà.

	"Quá tuyệt vời, Hoa Hạ Long. Ta cho ngài nói, các người TQ trà rất đặc biệt ca tụng." Wilmots vừa nói vừa giơ ngón tay cái lên.

	"Ngài uống qua?" Dương Thiên Long nhớ Wilmots cũng không có đi qua TQ.

	"2 năm trước uống qua. Đó cũng là một cái TQ lữ khách đưa cho ta uống. Đây chính là ta nhất đời uống qua giỏi nhất thức uống, ta cảm thấy, lá trà là người Hoa đối ẩm đoán giới lớn nhất cống hiến." Nhìn ra được, Wilmots đối với TQ sản phẩm rất là sùng bái.

	"Vậy tặng cho ngài." Dương Thiên Long thoải mái đem hai lớn túi lá trà đưa tới.

	"Cho ta?" Wilmots trợn to mắt.

	"Chúng ta Hoa Hạ Long chú trọng trả lễ lại." Nhớ tới Wilmots làm người nhiệt tình, hào phóng, đối với mình trợ giúp rất lớn, Dương Thiên Long thật sâu làm cảm động.

	"Được, ta nhận lấy, ta Hoa Hạ Long." Wilmots một mặt cười híp mắt đem hai lớn túi lá trà thu đã qua.

	"Dùng nước sôi ngâm sao?" Chỉ gặp hắn trợn to hai mắt hỏi.

	Dương Thiên Long gật đầu một cái, "Đúng vậy, ngài phải đầu tiên đem nước sôi xông vào rửa trà, đây là quen thuộc trà, muốn rửa 3 lần, đem rửa nước trà đổ sạch, rửa trà xong sau là được đem ngâm, nước sôi xông vào sau là được ra canh; nếu như ra canh chậm, im lìm trà thời gian dài, vậy đầu mấy ngâm có thể nước sôi xông vào sau liền ra canh, càng đến sau mới có thể thêm dài im lìm trà thời gian."

	"Kia trà hoa lài đâu ?" Wilmots nghe rất mê mẫn, nhìn ra được, hắn cũng rất chăm chỉ đang học.

	"Cái này thì đơn giản không thiếu, dùng 90 độ nước sôi đem ngâm, trước ngâm một nửa nước, đợi đến mùi thơm từ từ tràn ra sau đó, lại đem nước đổ đầy là được rồi."

	Wilmots gật đầu một cái, "Ta hiểu ý. Hoa Hạ Long, nếu không ngồi xuống cùng ta trước uống một ly?"

	Dương Thiên Long nhẹ nhàng cười một tiếng, "Ngày hôm nay thời gian không nhiều lắm, ta có thể trước giúp ngài tất cả ngâm một ly, ngày khác ta tìm một địa phương tốt cùng ngài cùng nhau thưởng thức trà."

	Nói một chút đến thưởng thức trà, Wilmots ánh mắt cũng xanh biếc, "Hoa Hạ Long, ta nghe nói người Hoa các ngươi thưởng thức trà không chỉ có đối với lá trà chú trọng, liền liền uống trà địa điểm cũng là tương đương chú trọng, đây là thật sao?"

	Dương Thiên Long gật đầu một cái, "Cũng coi là thật sao. Bất quá đó là trước kia, lấy văn nhân chiếm đa số, bây giờ ngược lại là không có để ý nhiều như vậy, bất quá một ly trà ngon phối hợp một nơi phong cảnh đẹp, quả thật có thể để cho người tâm thần sảng khoái không thiếu."

	"Phải, nói thật, ta rất mong đợi ngài mời." Wilmots cười nói.

	"Không thành vấn đề." Dương Thiên Long vừa nói vừa để cho Wilmots tìm ra hai cái ly thủy tinh.

	Không lâu lắm, hai ly nước trà thì đã ngâm tốt, cùng Wilmots đơn giản lại trò chuyện mấy câu sau đó, Dương Thiên Long lúc này mới đi ra cửa.

	Ở cửa, hắn phát hiện mình xe đạp lại có thể không thấy. Đối với lần này, Dương Thiên Long rất là hối tiếc, hắn hối hận không có kịp thời đem xe đạp bỏ vào vị diện trong kho hàng.

	Rất nhanh, ở trong phòng Wilmots cũng nghe tin chạy ra.

	"Trời ạ nha, xin lỗi, Hoa Hạ Long, ta quên nhắc nhở ngài." Wilmots mặt đầy xin lỗi, "Nơi này kẻ cắp rất nhiều."

	Dương Thiên Long tựa hồ lập tức không có chủ ý, hắn ánh mắt hướng trên đường chính rộn ràng đám người quét tới, định ở nơi đó tìm được từng tia dấu vết.

	"Đừng có gấp, ta thân ái Hoa Hạ Long, ta nơi này còn có quản chế." Bỗng nhiên, Wilmots nhắc nhở.

	"Có thật không?" Dương Thiên Long mặt đầy bất ngờ.

	"Thật." Nói xong, Wilmots mang hắn liền đi vào nhà đi.

	Rất nhanh, bọn họ liền điều ra quản chế thu hình, nguyên lai là một cao gầy người da đen dùng kềm lớn đem khóa kẹp chặt đoạn, cưỡi xe liền hướng bên cạnh hẻm nhỏ chạy trốn.

	"Đi." Wilmots mặt đầy kiên nghị, bất quá hắn nói xong cũng xông vào một căn nhà.

	Giữa lúc Dương Thiên Long buồn bực lúc này chỉ gặp Wilmots một tay cầm một cây súng đi ra.

	Hắn thuận tay đưa cho Dương Thiên Long một cái.

	Nhận lấy súng vừa thấy, Dương Thiên Long lúc này mới phát giác là một cái Liên Xô AK47.

	Đây chính là hắn lần đầu tiên sờ súng, cầm lên cây súng này lúc này Dương Thiên Long lòng ngay tức thì liền có chút khẩn trương không dứt.

	Wilmots lập tức liền nhìn ra hắn khẩn trương, "Hoa Hạ Long, ngài lần đầu tiên sờ súng?"

	Dương Thiên Long gật đầu một cái.

	"Không thể nào." Wilmots một mặt kinh ngạc, "Các người TQ không phải đề xướng trước quân chính trị sao?"

	Không cần hoài nghi, đây đều là tây phương một ít có dụng tâm khác quốc gia xấu xí hóa.

	Dương Thiên Long lắc đầu một cái, "Tiên sinh Wilmots, loại này lời bàn là cực kỳ hoang đường, chúng ta người Hoa xưa nay yêu hòa bình, là sẽ không làm những cái kia có tổn hòa bình sự việc."

	Wilmots gật đầu một cái, "Cái này ta tin, chí ít ở ta xem ra, người Hoa cho tới bây giờ không có xâm lược qua bất kỳ chung quanh quốc gia."

	Thấy Dương Thiên Long không biết sử dụng khẩu súng, Wilmots liền tay nắm tay dạy dậy hắn tới, thật ra thì AK47 sử dụng rất đơn giản, cùng sản phẩm trong nước 81 rất giống, không lâu lắm, Dương Thiên Long liền học được.

	Thấy Hoa Hạ Long học như thế nào sử dụng AK47 sau đó, Bỉ ông chủ hưng phấn dị thường, chỉ gặp hắn hét lớn một tiếng, "Đi, chúng ta đi bắt ở tên trộm kia."

	Dương Thiên Long gật đầu một cái, theo sát Bỉ ông chủ liền hướng xe bán tải đi tới.

	Rất nhanh, bọn họ liền lái xe chui vào vậy cái hẻm nhỏ.

	"Kí chủ, sợ không?" Đang sưu tầm vậy người da đen lúc này hệ thống đột nhiên nói chuyện.

	Hệ thống thanh âm cũng như thần trợ, lập tức để cho hắn nghĩ tới mình có hai lần miễn tử cơ hội, mới vừa rồi còn khẩn trương không dứt Dương Thiên Long nhất thời áp lực trong lòng thư thái không thiếu.

	"Hệ thống, ngươi nói ta có hai lần cơ hội miễn cho chết, là tự động kích hoạt vẫn là ta tự lựa chọn?" Dương Thiên Long thật là tò mò.

	"Đều có thể." Hệ thống giảo hoạt cười một tiếng.

	"Ta mới học sử dụng AK47, bắn không chuẩn làm thế nào?" Dương Thiên Long đối với súng mình pháp rất không có lòng tin.

	"Vậy ta cũng không có cách nào, chỉ có chờ đến quân sự hệ thống phòng vệ giải tỏa sau rồi." Hệ thống thanh âm rất dễ dàng, ở nó xem ra, tựa hồ cảm thấy lần này bắt không có nguy hiểm gì.

	Ngay tại lúc này, Wilmots nghiêng đầu nói: "Hoa Hạ Long, chớ khẩn trương, chúng ta cầm súng chẳng qua là hù dọa một chút hắn, cho dù bọn họ có súng, cũng bắn không chuẩn."

	"Bắn không chuẩn?" Dương Thiên Long trợn to hai mắt.

	Wilmots giảo hoạt cười một tiếng, "Trong bọn họ xem không còn dùng được. Có cơ hội ngươi thấy được thì sẽ phình bụng cười to."

	Đây là cái người nghèo ở hẻm nhỏ, hai bên đều là thấp lùn đơn sơ đất bùn phòng, cùng trước giải phóng TQ cũng không cách nào so. Vốn là không chiều rộng ngõ hẻm bị hai bên cư dân chiếm dụng không thiếu, hết sức thả chút đồ lặt vặt, đặc biệt là đi qua có giao lộ, từng cổ một ngất trời mùi cộng thêm đầy trời con ruồi lại là xông hắn cùng Wilmots chán ghét không dứt.

	Nhà xe tốc độ rất chậm, luôn luôn có bé da đen đi theo bán tải phía sau chạy nhanh cười to điên cuồng la.

	Trong hẻm nhỏ cư dân chẳng lẽ thấy có xe hơi lái vào, đối với bên ngoài xông vào người, bọn họ cũng rất là kinh ngạc, bất quá cũng không có khác người được là.

	Ở trong hẻm nhỏ tìm một vòng, vẫn là không có tìm được đầu mối.

	Giữa lúc Dương Thiên Long một lần nữa rơi vào thời điểm mê mang, Wilmots lại có biện pháp.

	p/s : đọc truyện thấy cười cho vui thôi, nước nào không tự khen mình haizz.Chương 13: Mất xe đạp 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Ngài uống trà không? Tiên sinh Wilmots." Dương Thiên Long cười hỏi.

	"Trà gì?" Wilmots không khỏi hỏi.

	"TQ trà." Dương Thiên Long vừa nói vừa từ trong túi móc ra hai túi đóng gói tuyệt đẹp trà hoa lài cùng phổ nhị trà.

