Chương 281: Chiến phạm Zakyev 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Hắn là xa thần chiến tranh chiến phạm." Chỉ gặp Vasily hung tợn nói.

	Chiến phạm? Dương Thiên Long không kiềm được hướng Zakyev vị trí lần nữa nhìn, lúc này có bảy tám cái âu phục giày da người đem hắn vây ở ở giữa, tiếp một bóng người quen thuộc xuất hiện ở trước mặt hắn.

	Tên nầy chính là Stones.

	Vasily căm ghét Zakyev, nhưng là hắn nhưng là rất trấn tĩnh.

	"Tên kia nguyên lai là Liên Xô hồng quân một cái xe tăng lữ thiếu tướng, sau đó xa thần muốn độc lập, hắn gia nhập quân phản loạn, ở xa thần sau khi chiến tranh kết thúc, hắn là làm là chiến phạm, bất quá thật đáng tiếc, chúng ta cũng không có bắt được Zakyev." Vasily đưa mắt nhìn Zakyev lên xe, "Tên nầy rất là tinh thông cơ giới chế tạo, nghe nói hắn sau đó đặc biệt ở Phi Châu địa khu làm lên súng ống đạn dược làm ăn."

	"Hắn bây giờ còn dám hay không trở về nước?" Dương Thiên Long không kiềm được hỏi.

	"Không biết, bất quá tên nầy dịch dung, trước kia là râu quai hàm, một mặt hung tướng. Bây giờ nhìn qua giống như là giáo sư vậy ấm văn nho nhã." Vasily thấp giọng nói, "Bây giờ mặc dù xa thần quân phản loạn đã bị trấn áp, nhưng là vẫn có một số người ở xử lý trước hoạt động kinh khủng, ta cảm thấy cái này Zakyev là thoát không khỏi liên quan."

	"Xem ra người này năng lượng quả thật không nhỏ." Dương Thiên Long nhẹ ra một hơi.

	"Ông chủ, mới vừa rồi tiếp người hắn là ai ? Ngài biết sao?" Vasily không kiềm được hỏi.

	"Tên kia là Stones, người Mỹ, nguyên bản cùng Wilmots bọn họ quan hệ rất tốt, bất quá năm gần đây tên nầy nhưng là biến thành một người khác, vậy bắt đầu làm lên súng ống đạn dược mua bán, như quả không có gì bất ngờ xảy ra, bọn họ lúc này khẳng định có lui tới làm ăn."

	Vasily gật đầu một cái, "Zakyev là một rất tên giảo hoạt, ông chủ, hắn đi tới Bunia sau đó, ta cảm thấy chúng ta vẫn là phải nhiều chú ý điểm." Nói xong, Vasily sờ một cái chòm râu của mình, tiếp hắn có chút tự nhủ, "Ta hẳn đem râu thế."

	Dương Thiên Long gật đầu một cái, "Nói thật, chúng ta cũng là một mực đê đề phòng Stones, bất quá tên nầy luôn là xuất quỷ nhập thần."

	Sau khi nói xong, Dương Thiên Long mau đánh mở bản đồ điện tử, lựa chọn mục tiêu theo dõi kiểu mẫu.

