Chương 273: Khôi hài tiếng địa phương 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Ở sân bay, Lý Đào lãnh đạo dân công ào ào, cái này chi đội ngũ vậy đưa tới không ít người chú ý.

	Phàm là lần đầu tiên đến Phi châu người Hoa, không tránh được sẽ bị gây khó khăn, lúc này Lý Đào bọn họ cũng không ngoại lệ, bởi vì mọi người đi ra đều là ôm kiếm nhiều tiền ý tưởng, vì vậy trong túi cũng không có đựng mấy đồng tiền, vì vậy đối mặt hải quan nhân viên gây khó khăn, Lý Đào bọn họ đầu óc mơ hồ.

	Thấy chuyến bay đến nửa giờ, Lý Đào, Hà Quân bọn họ còn chưa ra, Dương Thiên Long lúc này mới ý thức được em trai họ(ngoại) bọn họ vô cùng có thể bị gây khó khăn.

	Hao tốn mấy chục ngàn Congo Francs sau đó, Dương Thiên Long rốt cuộc ở hải quan miệng thấy Lý Đào bọn họ.

	"Anh họ." Vừa gặp trước Dương Thiên Long, Lý Đào trước mắt sáng lên.

	"Cho không có tiền?" Dương Thiên Long không kiềm được hỏi.

	"Chưa cho." Lý Đào bọn họ lắc đầu một cái, "Mọi người cũng không nỡ bỏ, trên mình cứ như vậy một chút tiền, cho bọn họ, chúng ta còn làm cái gì?"

	Một bên Hà Quân vậy gật đầu một cái, "Chúng ta vất vả đi ra muốn kiếm chút tiền, dựa vào cái gì cho bọn họ tiền típ."

	"Hai ngươi vẫn đủ khôn khéo mà." Dương Thiên Long cười một tiếng, nhìn phía sau cái này hơn hai mươi cái đến từ quê hương dân công, Dương Thiên Long tranh thủ thời gian để cho Hà Quân cùng Lý Đào gọi dậy bọn họ tới.

	Những thứ này dân công nhìn qua trạng thái tinh thần cũng không tệ lắm, từng cái trung thực ba đóng, đến Phi Châu sau đó cũng là yên lặng, trong lòng cũng không có quá nhiều bất mãn, thấy ông chủ lớn lên tiếng sau đó, lúc này mới từng cái cõng lên mình to lớn gân bò túi từ dưới đất đứng lên.

	Cùng Lưu Thắng Lợi mang dân công đưa tiền như nhau, Dương Thiên Long vậy báo một tổng số người, dựa theo tổng nhân số tiền cùng nhau cho hết.

