Trăng đang nhô cao.

	Đường Không tiểu thần hoà thượng sau lưng, đâm vào một chi dao găm.

	Đâm rách tim!

	Còn đặc biệt mất trí quấy rối khuấy!

	". . ."

	Đường Không vốn đã cảm thấy, sự việc đã bụi bậm lắng xuống.

	Hỏa Vực Tà Tăng không chạy thoát, trùng vực độc sư vậy không chạy thoát.

	Giải trừ lửa độc đối với tiên thiên thái hư Tử khí công quyết mà nói, cũng không khó khăn coi là việc khó.

	Nhưng ai có thể nghĩ tới, Hỏa Vực Tà Tăng lại còn có người giúp?

	Tối tăm vực thích khách, tin tức lên nói, tên nầy theo Hỏa Vực Tà Tăng, không phải có thù oán sao?

	Ở trong một cái chớp mắt này, Đường Không trong lòng thoáng qua vô số ý niệm.

	Lão tử lại có thể coi là lọt một bước? Cái này liền trực tiếp tài?

	Ta nhưng mà xài 3 nghìn giới linh mới đi tới cái này kim thân thế giới!

	Mặc dù bây giờ nhìn lại, đã từ hai môn công pháp và xá lợi tử phía trên, kiếm về cái này 3 nghìn giới linh, nhưng là cứ như vậy tài, cũng quá không cam lòng chứ ?

	Theo cái ý niệm này thoáng qua, Đường Không suy nghĩ, bộc phát chậm chạp, cảm ứng bộc phát bóng tối.

	"Phật sống, ta đưa ngươi hồi Tây Thiên."

	Tối tăm vực thích khách thanh âm, truyền vào Đường Không trong tai.

	Đường Không đã không có sức than khổ.

	Ta đưa em gái ngươi à! Ta cùng ngươi rất quen sao? Chính ta trở về, còn cần phải ngươi đưa?

	Nhưng mà ngay tại lúc này, hệ thống vô tình thanh âm vang lên.

	【 Chủ công gặp tập kích, tim bị thương, sinh mệnh lực trôi qua, dự trù ở 20 giây bên trong, hoàn toàn chết. 】

	【 Kiểm tra đến chủ công trên mình, có Huyền Hoa tự hai Đại thủ tọa máu xá lợi, có thể thay thế tim, tạo máu sống thân, rắn chắc tự thân. 】

	【 Kiểm tra đến chủ công đã mất năng lực hành động, không cách nào tự đi sử dụng thay đổi tim. 】

	【 Phải chăng hao phí sáu trăm giới linh, lấy xá lợi tử thay đổi tim? 】

	【 Đếm ngược giờ: 12 giây. 】

	"Nhiệm vụ không có trực tiếp thất bại? Ta không có trực tiếp vểnh lên đuôi sam?"

	Đường Không sợ run lên, trong lòng nhất thời ý niệm nhanh đổi, thầm nói: "Sáu trăm giới linh, coi như là tương đối tiện nghi, so với trước kia như vậy cái hố, lần này hơi lộ vẻ được lương tâm một ít. . . Bất quá, ta bây giờ sống lại trở về, hắn có thể hay không lại bó ta một đao?"

	Vạn nhất tiêu phí sáu trăm giới linh, lần nữa sống lại, sau đó sẽ bị bó một đao, cái này sáu trăm giới linh không phải mất toi mà?

	Bất quá, bây giờ thích khách đã bại lộ, đã không ở trong bóng tối, đãi mình sống lại sau đó, có Minh Tín hòa thượng có thể chống đỡ thích khách, có Dịch Tể Trạch bắt lại Hỏa Vực Tà Tăng, ngược lại cũng không phải không thể bảo vệ tánh mạng.

	"Như thế vểnh lên đuôi sam, cũng quá mức mất thể diện chút."

	"3 nghìn giới linh xài hết, lại tới sáu trăm vậy nhẫn nại."

	"Ta phải đi về, ta muốn sống lại."

	"Nhất định phải hoàn thành nhiệm vụ!"

	——

	Tháng đêm dưới.

	Ngay tức thì yên tĩnh.

	Dịch Tể Trạch đánh lui Hỏa Vực Tà Tăng, nhưng như bị sét đánh, nhìn Phật sống sau lưng nhiều hơn bóng người, một cây chủy thủ, đâm vào Phật sống lưng.

	Minh Tín hòa thượng lửa độc đã được chữa, nhìn gần trong gang tấc cây chủy thủ kia, chấn động trong lòng.

	Nổ một tiếng!

	Thời khắc này đả kích, tựa như sấm như nhau!

	"Giết!"

	Dịch Tể Trạch bỏ Hỏa Vực Tà Tăng, chạy vội tới!

	Minh Tín hòa thượng nhảy lên một cái!

	Tối tăm vực thích khách mặt nạ hắc vải, trong mắt lộ ra giễu cợt vẻ, rút ra dao găm, đang muốn lui về phía sau.

	Nhưng mà ngay tại trong một cái chớp mắt này, lại nghe được một cái thanh âm, thong thả vang lên.

	"Nam không a di đà phật."

	Thanh âm non nớt, mang hời hợt ý.

	Tối tăm vực thích khách bỗng nhiên chấn động một cái, lộ ra không cách nào tin thần sắc.

	Dịch Tể Trạch cũng không khỏi kinh ngạc, bước chân không tự chủ chậm lại chút ít.

	Minh Tín hòa thượng lúc này mới nhảy lên, còn không có đi về trước xông lên, lại nghe được thủ tọa thanh âm vang lên.

	"Khổ hải vô biên, quay đầu lại là bờ."

	Đường Không chậm rãi xoay người lại, tim hắn đã bị xá lợi tử thay thế, cả người khí huyết, tựa như dính phật tính, lời nói bây giờ, có khó tả mị lực, tựa như thiện âm từng cơn, làm người ta trong lòng thanh tĩnh.

	"Ngươi. . ."

	Tối tăm vực thích khách không cách nào tin, hắn phân minh đã đâm thấu trước mắt đứa bé này lưng, xuyên phá liền tim.

	Hắn giết chết qua vô số người, hắn đối với loại này đâm thủng tim thanh âm, cùng với một loại kia cảm giác, cũng vô cùng là rõ ràng.

	Vì sao cái này đứa nhỏ, lại phục sống lại?

	Thật là Phật sống chuyển thế?

	"Buông xuống đồ sát đao, lập tức thành phật."

	Đường Không giọng chính giữa, vẫn tràn đầy từ từ hướng đạo mùi vị.

	Trên thực tế, hắn trong lòng vẫn hoảng được một nhóm.

	Cứ việc có xá lợi tử tương trợ, tựa hồ để cho hắn giọng, tràn đầy để cho người tin phục mùi vị.

	Nhưng mà, hắn vẫn là sợ cái này thằng khốn, lại cho tự mình tới lần trước đao.

	Lúc này tay hắn bên trong cũng không có xá lợi tử, hơn nữa sáu trăm giới linh sáu trăm giới khéo léo, nhiều tiền hơn nữa vậy không đủ xài đây.

	"Để xuống đi, để xuống đi."

	Đường Không thong thả nói đến, ánh mắt chân thành, giọng sâu xa.

	Tối tăm vực thích khách trong lòng khẽ nhúc nhích, trong lòng ý định giết người, lại thật sự có chút tiêu tán, mà hắn ánh mắt đảo qua, chỉ gặp Dịch Tể Trạch theo Minh Tín hòa thượng, đã vây quanh.

	Minh Tín hòa thượng thì thôi, nhưng là cái này Dịch Tể Trạch, có thể không thể khinh thường.

	Bị cái này hai người vây quanh, trừ phi nguyên cảnh cao nhân ở đây, nếu không, bàn về nguyên cảnh dưới, thế gian không người nào có thể trốn.

	"Thôi."

	Tối tăm vực thích khách tiêu mất chiến ý, không đi chống đỡ phật pháp chi âm, bỗng nhiên một tiếng giòn dã, dao găm rơi xuống đất.

	Hắn hơi ra tay, bó tay chịu trói.

	Dịch Tể Trạch cong lại một chút, đem hắn huyệt đạo điểm trụ, để cho hắn định ở nơi này .

	Minh Tín hòa thượng dài dài thở phào nhẹ nhõm.

