Chương 103: Không cố gắng sẽ phải về nhà kế thừa chục tỷ tài sản

	"Văn lão bản!"

	Lý Minh đại vượt chạy bộ hồi Xích Bích chi chiến máy chơi game trước, ba một tiếng đem một xấp tiền mặt đập tại thao tác đài bên trên.

	Văn Kiệt bị hắn đơn giản thô bạo vung tiền phương thức cấp trấn trụ, sững sốt một lát, hỏi: "Có ý tứ gì a?"

	"Máy game thùng!" Lý Minh nhìn chằm chằm ánh mắt của hắn, dùng tin tưởng vững chắc không nghi ngờ ngữ khí, từng chữ nói ra địa nói, "Trả, không, tử!"

	"A?" Văn Kiệt qua lâu rồi thanh xuân nhiệt huyết niên kỷ, cũng không thích theo tố chất thần kinh nhân liên hệ, muốn không là bàn bên trên bày biện một xấp trăm nguyên tờ, hắn sẽ trực tiếp quay người rời đi.

	"Ngươi còn không có ký vòng nhường hợp đồng, đúng không?" Lý Minh chuyện nhất vòng, "Cửa hàng diện tích như thế đại, nhưng là khu vực rất bình thường, coi như tiền thuê không cao, muốn tìm nhân vòng nhường cũng không dễ dàng."

	Văn Kiệt xem kỹ Lý Minh một phen, xem tại vịt cái cổ mặt bên trên làm ra trả lời: "Hợp đồng còn không có ký, bất quá, đã có nhân sang xem, trải qua hai thiên liền chuẩn bị ký hợp đồng. Sách, ngươi hỏi cái này làm gì? Ngươi muốn làm gì?"

	"Cho ta một tuần lễ! Ta hướng ngươi chứng minh, ta có thể nhường Động Cảm Thiên Địa dần dần có lãi!"

	Lý Minh dựng thẳng lên ngón trỏ tay phải, thề Đản Đản. Nói xong, hắn vỗ vỗ thao tác trên đài tiền giấy.

	"Năm ngàn khối tính làm Động Cảm Thiên Địa một tuần thời gian trận địa tô chi phí, đương nhiên, còn cần muốn trợ giúp của ngươi, ách, bởi vì ta không biết sửa chữa cơ. Thế nào, Văn lão bản, tựu để cho ta thử một tuần lễ, ngươi sẽ không lỗ!"

	Nghe giống như là kiếm bộn không lỗ sinh ý, nhưng sự thật cũng không phải là như thế, vòng nhường cửa hàng loại sự tình này, chậm thì sinh biến, vạn nhất kéo dài một tuần người lạ đổi chủ ý, Văn Kiệt có thể thiệt thòi lớn.

	Theo lý thuyết, nản lòng thoái chí Văn Kiệt cần phải quả quyết cự tuyệt Lý Minh.

	Có thể nhìn trước mắt này cái trẻ tuổi trong mắt người sáng quang , Văn Kiệt chần chờ.

	Máy game thùng, thật còn không có tử sao?

	Động Cảm Thiên Địa, thật còn có cứu sao?

	Văn Kiệt xuôi ngược dò xét Lý Minh một phen, nghĩ thầm, này tiểu tử quần áo mấy thiên không đổi, xem ra cũng không giống là có tiền nhân, đã hắn dám cầm ra năm ngàn khối tới thử, vậy nhất định là đã tính trước.

	Nếu như hắn có ý tưởng, nghe một chút cũng không sao.

	Nghĩ đến này, Văn Kiệt mở miệng.

	"Càng kéo dài người lạ khả năng đổi chủ ý, vạn nhất lúc đó vòng không ra đến, ta mẹ nó tổn thất thảm trọng. . . Ngươi muốn làm sao thử? Nói một chút xem. Nếu như ta cảm thấy có thể, vậy ta tựu nhường ngươi thử một chút."

	"Văn lão bản, ta trước cho ngươi phân tích một cái máy game thùng sảnh kinh tế đình trệ nguyên nhân." Lý Minh vừa nhìn có hi vọng, lập tức ngồi xuống, đem Diêu Y lúc trước nói với hắn đưa hết cho thuật lại đi ra.

	Văn Kiệt đến cùng là cái lão giang hồ, mặc dù bị hù sửng sốt một chút, nhưng không có bị lý luận suông Lý Minh cho tuỳ tiện lắc lư, hắn nghe xong không kiên nhẫn địa khoát tay áo: "Ngươi nói những này rất có đạo lý, nhưng là không có ý nghĩa, ngươi nói cho ta biết trước, nếu như ta thu ngươi này năm ngàn khối, ngươi muốn làm sao kinh doanh?"

	"Ta nói đương nhiên cố ý nghĩa, chỉ có phát hiện vấn đề, hiểu rõ vấn đề, tài có thể giải quyết vấn đề a. Nếu để cho ta vận doanh, ta hội trước hết nghĩ biện pháp dẫn lưu, sau đó dùng hợp lại hóa kinh doanh, thông qua thay mặt tệ bên ngoài con đường đem lưu lượng khách hiển hiện."

	"Ngươi nói nhân lời nói có thể không?"

	". . ."

	Lý Minh gãi gãi đầu, không lại bắt chước Diêu Y phái từ đặt câu, đổi dùng đơn giản thẳng bạch từ ngữ, đem Diêu Y dạy cho tự mình điểm cùng vận doanh mạch suy nghĩ hoàn chỉnh địa nói một lần.

	Này hồi Văn Kiệt nghe hiểu, nghe minh bạch phía sau hắn níu lấy mi tâm lâm vào trầm tư. Lý Minh gặp hắn này tấm phản ứng, trong lòng có chút khẩn trương, vốn định rèn sắt khi còn nóng nói chút phiến tình, nhưng nhất thì tận lời suy nghĩ không ra cái gì đả động nhân tâm lời nói.

	Qua hai phút đồng hồ, Văn Kiệt bày ra hơi có vẻ thưa thớt lông mày, đưa tay cầm lấy bày tại trục quay cái khác năm ngàn khối, nói: "Thử một chút đi, thử lại một lần cuối cùng. Bất quá, ngươi mới vừa nói cái kia chút biện pháp, đều phải hoa tiền, này tiền ngươi được bản thân ra, ta tối đa lưu tại trong tiệm hỗ trợ tu máy móc thay đổi triều đại tệ, muốn ta ra tiền tựu không bàn nữa."

	Lý Minh xem chừng còn lại năm ngàn khối miễn cưỡng đủ, không chút do dự địa đưa tay phải ra: "Tốt! Hợp tác vui vẻ!"

	Văn Kiệt không có cùng hắn nắm tay, chỉ nói câu thua lỗ đừng lại ta, liền bưng hai cái sắt chén đi hồi đài.

	Lý Minh biết Văn lão bản tựu là này xấu tính, cũng không là châm đối với hắn, cho nên cũng không sinh khí, hứng thú bừng bừng địa chạy xuống thang lầu, đối Diêu Y phía sau sau lưng nện cho một quyền.

	Đứng ở dưới lầu cửa ra vào chờ Diêu Y bị hắn đột nhiên tập kích, tức giận trừng mắt nhìn liếc mắt, hỏi: "Đàm phán thành công?"

	"Thành! Ha ha!" Lý Minh cao hứng bừng bừng địa giơ ngón tay cái lên, "Chờ ta đem Động Cảm Thiên Địa cứu sống, nhìn ta cha nói thế nào! Đến lúc đó lại đem lão Dương bọn hắn mời đi theo chơi, lần có mặt."

	"Còn sớm lấy đâu, ngươi đừng mù vui a, trong tay chỉ còn năm ngàn, trừ đi truyền đơn in ấn phí tổn cùng hoạt động phí tổn, thừa không có bao nhiêu."

	Lý Minh chẳng hề để ý địa khoát khoát tay, nhếch miệng cười nói: "Không có việc gì, đủ."

	"Chưa hẳn." Diêu Y mang theo một chút đồng tình, cho hắn rót bồn nước lạnh: "Ta tính qua, ngươi không có dư thừa tài chính đi mời nhân, cho nên, tiến hàng, phát truyền đơn, quét dọn vệ sinh, đều phải chính ngươi làm, ngươi biết lượng công việc này có nhiều đại?"

	Lý Minh tiếu dung liền thì ngưng kết.

	Diêu Y thấy vậy, tranh thủ thời gian bổ đao: "Còn có, kiếm được món tiền đầu tiên trước đó, wc cũng phải chính ngươi thanh tẩy."

	Một đao kia quấn tới yếu hại, dùng Lý Minh bộ mặt cơ bắp dừng không được địa run rẩy.

	Diêu Y mang theo cười xấu xa nói tiếp: "Hiện tại từ bỏ liền không sao đi, năm ngàn khối cho ra đến không quan trọng, về nhà tựu có thể tiếp tục trải qua tốt mặt trời rồi. Cùng lắm thì, cúi đầu nhận cái sai thôi, nhường cha ngươi nói vài lời, lại sẽ không rơi khối thịt."

	"Ngươi đừng nói nữa!"

	Lý Minh chịu không được này ngôn ngữ thế công, hai tay bịt lấy lỗ tai hô to: "Chính ta làm! Hàng chính ta tiến, truyền đơn chính ta phát, vệ sinh ta tự đánh mình quét, wc. . . Diêu Y, ngươi lại cho ta mượn điểm tiền?"

	"Nghĩ cũng đừng nghĩ, nhất phân không có, ngươi muốn là tìm người lạ mượn tiền, ta liền đem ngươi cao hai chuôi nữ đồng học lừa gạt về đến trong nhà cầm nhất huyết sự tình nói cho cha ngươi."

	Diêu Y thản nhiên mặt đúng Lý Minh vặn vẹo biểu lộ, vỗ nhè nhẹ đánh bờ vai của hắn, trầm giọng nói: "Nghe ta, quan hệ nhân mạch sử dụng không sao, nhưng kinh tế bên trên không muốn đi cầu người lạ, nhất định cần nhờ tự mình! Ngươi không ép mình một cái, làm sao biết ngươi không được a?"

	Canh gà, chỉ đúng gia đình bình thường hài tử hữu hiệu.

	Đối phó này hàng, liền được dùng độc canh gà kích phát hắn nghịch phản tâm lý.

	"Ngươi tài không được." Lý Minh giơ ngón tay giữa lên, nghiến răng nghiến lợi, "Tẩy wc tựu tẩy wc! Năm đó cha ta tại ta cái tuổi này, theo nhân hùn vốn khai công ty dọn nhà, nhiều lần đều là tự mình ra trận, thiên thiên khiêng tủ lạnh, khiêng TV, khiêng tủ quần áo! Muốn là ta liền điểm ấy khổ đều ăn không được, ta cũng không có tư cách cùng ta cha nói chuyện gì độc lập."

	Nguyên lai Lý Minh phụ thân tại hai mươi tuổi thời điểm tựu có thể tiếp xúc đến rất nhiều có TV có tủ lạnh gia đình, này e rằng theo Tiên Thiên điều kiện thoát không được quan hệ, có như thế phong phú nhân mạch, không thành công tài quái.

	Nói như vậy, cha ngươi còn là không bằng cha ta a.

	Diêu Y không có đem trong lòng câu này lại nói xuất khẩu, cười hì hì đúng Lý Minh gật đầu: "Không sai, ngươi nhất định phải cố gắng, nếu như ngươi không cố gắng, vậy liền chỉ có thể về nhà kế thừa chục tỷ tư sản!"

----------------------
 p/s cvter : đậu xanh rau má cv xong chương này thật muốn chửi mẹ a !
