Vô số sợi tơ phảng phất võng lớn, phô thiên cái địa bình thường bao phủ hướng về phía phía dưới mọi người.

	Xoạt xoạt xoạt xoạt!

	Từng người từng người người chơi bị sợi tơ quấn lên rồi, nhất thời, hành động của bọn họ bắt đầu chậm chạp, phảng phất trúng rồi động tác chậm chiếu lại!

	"Tình huống thế nào?"

	Đám địch nhân không rõ vì sao, có người chơi đưa tay kéo hướng về sợi tơ, muốn dùng sức kéo đứt nó, kết quả, bàn tay của bọn họ xuyên thấu sợi tơ, hai người phảng phất không ở một cái tầng thứ trên!

	"Gặp quỷ, đến cùng xảy ra chuyện gì?"

	Đám địch nhân dồn dập chửi bới lên tiếng, nhưng tại hạ một khắc, bọn hắn liền biết rồi, thần bí sợi tơ chậm lại tác dụng, chỉ là vừa mới bắt đầu.

	Oanh!

	Đột nhiên, một bá bá tinh thần chấn động dọc theo sợi tơ, từ bên trên chùm sáng bên trong lan tràn mà xuống, trực tiếp đánh trúng mỗi người thân thể, sau một khắc, tất cả mọi người trên đầu đều toát ra kinh người thương tổn.

	- 120, - 113 , - 124 , - 118 . . .

	Mỗi người đều thừa nhận lấy 110 - 120 tả hữu thương tổn, vẻn vẹn một cái nháy mắt, HP của bọn họ đều giảm bớt một phần ba, tương đương với khủng bố công thành tính pháp thuật.

	Thế nhưng, toàn bộ pháp thuật chưa kịp kết thúc!

	Trên cùng chùm sáng, chậm rãi bồng bềnh mà xuống, từng luồng từng luồng tinh thần chấn động dọc theo sợi tơ mà đi, đang tại biểu thị dưới ba công kích, đồng thời, chùm sáng tầng ngoài cũng dần dần tiêu tán.

	Một cái đường cong nhu hòa thân ảnh , mang theo điểm một chút tinh quang, vừa vặn bay xuống ở Diệp Không trước mặt.

	"Xin lỗi, ta đã tới chậm một điểm."

	Một tên thiếu nữ tóc đỏ xinh đẹp cười nói, thân thể của nàng vờn quanh ánh huỳnh quang, tay phải cầm pháp trượng, trên mu bàn tay có một viên dấu vết, hiện ra vì sương mù y hệt hình dạng, chợt nhìn qua, giống như là một cái. . . . .

	Mộng cảnh.

	Thiếu nữ tóc đỏ chính là Tô Mộng Dao.

	Âm Ma La Quỷ làm một cái hội trưởng, kiến thức tự nhiên không thấp, lập tức đã minh bạch nguyên nhân:

	"Tất cả pháp thuật đầu nguồn, chính là cái kia Điệp Mộng Yêu Ngữ, chỉ cần chúng ta giết chết nàng, pháp thuật liền tự động ngưng hẳn rồi!"

	"Vú em nhóm duy trì tăng máu, chúng ta trước ở làn sóng tiếp theo công kích có hiệu lực trước —— "

	"Đem cái kia Điệp Mộng Yêu Ngữ giết!"

	Xoạt!

	Một đoàn thành viên dời đi mục tiêu, quyết đoán buông tha cho Diệp Không, sau một khắc, vũ khí của bọn họ vung hướng về ở Tô Mộng Dao, giữa bầu trời pháp thuật mưa đạn, cũng đang người làm phép dưới sự dẫn đường, chuyển sang công hướng về phía Tô Mộng Dao!

	Trong lúc nhất thời, Tô Mộng Dao đối mặt vô số công kích!

	Bản thân lấy tư cách tinh thần nghề nghiệp, Tô Mộng Dao cũng không có Diệp Không / Hoa Âm thể phách, cũng không có bọn hắn năng lực cận chiến, trong tay pháp trượng không thể làm thành côn bổng đến sử dụng.

	Phùng Ma Thì chính là bắt được điểm này, muốn trước tiên giải quyết hết Tô Mộng Dao, dù sao, cái kia 'Mộng cảnh quấn quanh' kỹ năng, vừa nhìn chính là kéo dài thi pháp loại hình, chỉ cần giải quyết hết người làm phép, liền có thể ngưng hẳn pháp thuật.

	Mộng cảnh quấn quanh công kích không chỉ một ba, mỗi một đợt yêu cầu ngắn ngủi tụ lực thời gian, bởi vậy, bọn hắn muốn đuổi tại làn sóng tiếp theo có hiệu lực trước, giải quyết triệt để mất phiền phức!

	"Giết!"

	Vô số công kích trút xuống, mắt thấy, muốn đánh bên trong Tiêm Nhu Tô Mộng Dao.

	"Hì hì. . . Nghĩ như vậy giết ta sao?"

	Tô Mộng Dao tà mị cười cười, đột nhiên, nàng chỉ tay một cái, một chùm sáng ba dọc theo phương hướng mà đi, một nửa trên đường đám địch nhân đã tạo thành đại lượng thương tổn.

	- 230, - 213 , - 223 , - 204 . . . . .

	Từng mảng từng mảng chữ bằng máu từ trên đầu bọn họ bốc lên, ít nhất đã tạo thành 200+ thương tổn, lại tăng thêm lúc trước mộng cảnh quấn quanh, vừa vặn đánh hụt HP của bọn họ, từng hàng kẻ địch liên tiếp ngã xuống, nổ thành rực rỡ tinh quang.

	Nhưng ở đồng thời, hết thảy công kích cũng đánh giết cho nàng trước mặt, nhưng mà, Tô Mộng Dao hàm chứa ý cười, ngón tay lần thứ hai vừa nhấc, cũng không cần thi pháp chú ngữ, trực tiếp đã phát động ra kỹ năng ——

	Xoạt!

	Tô Mộng Dao thân ảnh  biến mất rồi, chỉ để lại một cái nhàn nhạt tinh điểm, phảng phất không ở một cái phương diện trên.

	Rầm rầm rầm rầm! ! !

	Tất cả công kích oanh tạc ở trên mặt đất, hoàn toàn đánh thành MISS, cảnh tượng này để cách đó không xa Diệp Không, lông mày gẩy lên trên, không dám tin nói: "Thiểm thước pháp thuật? Kỳ quái, thiểm thước pháp thuật thuộc về ba vòng giai đoạn pháp thuật, dựa theo lẽ thường, chỉ có 50 cấp Pháp hệ nghề nghiệp năng lực học tập."

	"Cho dù là mạnh mẽ truyền thuyết nghề nghiệp. Nguyên lực pháp sư, tự thân cũng phải level 25 về sau, tại đạt đến nhị hoàn pháp thuật học tập tiêu chuẩn trên, lợi dụng nghề nghiệp thiên phú."Nguyên lực thể chất" học tập hoàn số +1, sớm đến học tập ba vòng pháp thuật —— thiểm thước."

	Diệp Không nghĩ mãi mà không ra, mà ở một giây sau, Diệp Không không gặp Tô Mộng Dao thân ảnh , nhất thời rõ ràng Ngộ Đạo: "Không đúng! Cái kia không phải thiểm thước kỹ năng, mà là. . . ."

	"Không gian tính chất né tránh kỹ năng!"

	Né tránh kỹ năng loại hình có rất nhiều loại, tỷ như trắc thân thiểm, hậu không phiên đằng, chúng nó đều thuộc về né tránh kỹ năng phạm trù, nhưng dính đến không gian tính chất né tránh kỹ năng, vậy thì phi thường rất hiếm, mà Tô Mộng Dao sử dụng chính là —— tướng vị chuyển di!

	Tướng vị chuyển di (không thể thăng cấp ): Người sử dụng trong thời gian ngắn thay đổi chính mình vị trí vĩ độ, tạm thời không chịu đến bất cứ thương tổn gì, tướng vị chuyển di trạng thái có thể tùy thời bỏ dở, duy trì thời gian vì 3. 25 giây, thời gian cold-down vì 15 giây.

	Phùng Ma Thì các thành viên đều sợ ngây người, muốn không hiểu nguyên bản gần ngay trước mắt kẻ địch, làm sao biến mất không thấy, để cho bọn họ công kích đều đánh vào trên đất, càng đem toàn bộ mặt đất đánh thành rạn nứt —— bởi vậy có thể thấy được, một cái ba công kích uy lực thì cỡ nào hung mãnh.

	Xoạt!

	Cùng thời khắc đó, Tô Mộng Dao lúc trước phóng ra pháp bóng, đã sớm ba đã đến một cái cực hạn vị trí, ở trong đám người đuổi ra một cái sâu đậm 'Khe rãnh', hơn nữa, khe rãnh phần cuối chính là Phùng Ma Thì vú em nhóm.

	"Pháp cầu thế hoán."

	Một tiếng khẽ nói vang vọng, cùng Tô Mộng Dao tiếng nói tương đồng, lại khiến người dự đoán không tới vị trí của nàng.

	Đùng!

	Toàn bộ pháp bóng sáng ngời, nổ tan thành tinh điểm, một cái đường cong ôn nhu thân ảnh , từ tinh trong sương chạy ra, chính là tóc đỏ như máu Tô Mộng Dao.

	Trong lúc nhất thời, phụ cận vú em nhóm không kịp phản ứng, dồn dập sững sờ nháy mắt, cái này trì hoãn, lại quyết định sinh tử của bọn họ tồn vong —— một số thời khắc, ngây người một cái giá lớn là phi thường thảm thiết.

	"Các ngươi cho lão nương câm miệng đi!"

	Tô Mộng Dao vung lên cánh tay ngọc, rất nhiều bụi theo gió mà xuống, trực tiếp rơi tại đám địch nhân trên người , nhất thời, trên đầu bọn họ toát ra 'X' kiểu dấu chấm than, tất cả kỹ năng bị cấm chỉ rồi!

	Trầm mặc hiệu quả!

	Tối nhằm vào tinh thần nghề nghiệp hiệu quả, không gì bằng 'Trầm mặc' rồi, một khi trúng rồi nó, tinh thần nghề nghiệp đem thả không ra bất kỳ pháp thuật, lúc ấy, bọn hắn cùng viễn trình tiểu binh như thế, tức không có chiến đấu tác dụng, cũng không có bảo mệnh năng lực.

	Trạng thái yên lặng dưới vú em nhóm, tương đương với một đám dê đợi làm thịt nhóm.

	Tĩnh mặc trớ chú!

P/s : trớ chú = nguyền rủa

	Chính là Tô Mộng Dao trầm mặc kỹ năng, vẫn là một cái phạm vi kiểu quần thể trầm mặc, phải biết, bình thường trầm mặc kỹ năng, chỉ có thể tác dụng cho đơn thể.

	Thuộc về quần thể trầm mặc kỹ năng, đều không ngoại lệ, đều là quý trọng đến cực điểm.

	Hơn nữa, trong bất hạnh trầm mặc vú em nhóm, trên người lượng máu đang tại liên tục cắt giảm!

	Tĩnh mặc trớ chú (LV1 ): Dùng tĩnh mặc trớ chú dằn vặt một cái trong phạm vi mục tiêu, mục tiêu mỗi giây đều sẽ kéo dài tổn thất lượng nhất định điểm sinh mệnh, giảm bớt tự thân 5% tốc độ di động, cũng rơi vào lâu dài trầm mặc hiệu quả, toàn bộ hiệu quả kéo dài 6 giây, thời gian skill cool down vì 30 giây.

	Dài đến 6 giây trầm mặc!

	Đầy đủ người chơi làm rất nhiều chuyện rồi!

	Bạch!

	Diệp Không ăn ý nắm lấy cơ hội, lập tức phát động tật phong kiếm, dọc theo Tô Mộng Dao khai thác con đường, thẳng hướng phe địch vú em nhóm!
