 	088 Chữa thương cái quái gì

	Trong truyền thuyết, đương một người mỹ mạo đến trình độ nào đó thời điểm, hoàn toàn có thể làm được đi ra ngoài không mang theo tiền ăn cơm đánh một chiết đỗ xe trái quy định không bị phạt khoản. . .

	Hứa Tri Hồ vẫn cảm thấy, trên thế giới hẳn không có loại này nghịch thiên sinh vật tồn tại đi, thẳng đến lúc này giờ phút này, khi hắn nhìn thấy Xích tỷ muội được hoan nghênh trình độ về sau, mới bừng tỉnh đại ngộ ý thức được, nguyên lai trên đời này thật sự có người có thể làm được dùng mặt quét thẻ. . .

	Giữa trưa kim sắc dưới ánh mặt trời, vị này Đông Minh sơn đệ nhất mỹ nhân nhi. . . Ách, không đúng, phải nói Thục Sơn đệ nhất mỹ nhân nhi vẻn vẹn hướng kia một trạm, thậm chí đều không cần báo tu vi của mình cùng năng khiếu, liền lập tức bị mười mấy tên sư huynh sư muội cho cuồng nhiệt bao vây ——

	"Hoa sư muội, ngươi tới được thật là khéo, vi huynh nơi này vừa vặn có cái chém giết ác giao nhiệm vụ, chỉ thiếu ngươi. . . Cái gì, ngươi nói ngươi còn không có luyện chế ra tiên hạm tu vi không đủ, không có việc gì, trảm giao loại này việc nặng chúng ta tới là được rồi, sư muội ngươi chỉ cần đứng ở bên cạnh nhìn xem liền có thể!"

	"A..., sư muội a, muốn hay không cùng chúng ta cùng đi rồng Linh Xà Cốc trảm yêu trừ ma, ân, ngươi không hiểu chữa thương thuật, không có việc gì, sư tỷ ta chỗ này có một bản « băng tuyết liệu nguyên pháp », chính là ân sư đoạn thời gian trước ban thưởng, sư muội ngươi có hứng thú cứ việc cầm đi tu luyện, không đủ sư tỷ nơi này còn có!"

	"Ô ô ô, sư muội a, vi huynh thật không thể hố ngươi a, kỳ thật ta cái này vảy bạc giáp ngực thật không đáng năm ngàn linh thạch, ngươi muốn mua, cho vi huynh hai ngàn linh thạch liền. . . Ách, không đủ tiền, không có việc gì, vậy trước tiên cho một ngàn. . . Không phải đâu, một ngàn cũng không có. . . A a a, sư muội a, ngươi thật sự là xuất thân bần hàn, đến, vi huynh nơi này có năm trăm linh thạch, ngươi cầm trước. . ."

	Không có thiên lý a không có thiên lý, một bên quạnh quẽ nơi hẻo lánh bên trong, Hứa Tri Hồ nhìn trợn mắt hốc mồm, về phần đầy mắt đều là tiểu tinh tinh Vân Phàm. . .

	Ách, vị này hạm linh ngự tỷ đã cảm khái đến ngửa mặt lên trời thở dài: "A a a, luân gia cũng rất mới mỹ mạo a, hơn nữa còn ở Thục Sơn chờ đợi mấy chục năm, vì cái gì còn không có Hoa sư muội được hoan nghênh?"

