Chương 157: Người Miêu 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Chỉ có 1 bản thẻ đen thôi.

	Cái này hai hàng vừa thấy liền nghèo nổ, cũng không phải cái gì cùng lúc câu vào xin cơm đảng, trên mình khẳng định không có máy POS các loại mắc tiền đồ chơi.

	Đến lúc đó, bị vây trước đòi tiền, không lấy ra được, há chẳng phải là rất lúng túng?

	Hai hán tử liền vội vàng đuổi theo, có thể Trương Hoa là ai ?

	Coi như người bị thương nặng, cũng không phải loại người này có thể đuổi kịp.

	Mắt xem Trương Hoa thì phải biến mất, một cái trong đó hơi gầy hán tử vội vàng hô: "Tiểu tử ngươi chạy nữa, ba ngươi có thể nhất định phải chết!"

	"ừ !"

	Trương Hoa ngay tức thì dừng lại, chỉ gặp bóng người thoáng một cái, liền xuất hiện ở hai người bên cạnh.

	Ánh mắt lạnh như băng nhìn chằm chằm cái này hai quá nghèo.

	Trương Triêu Dương mặc dù bị bệnh mấy ngày, có thể cũng không phải người bình thường có thể biết. Hơn nữa, là trúng cổ, nói không chừng cái này hai người chính là bàn tay đen sau màn.

	"Ngươi muốn làm gì?"

	Gầy hán tử bị dọa đến lui về phía sau hai bước.

	"Sợ hắn làm gì?"

	Hơi mập hán tử ngược lại không kinh sợ, ưỡn ngực một cái, chỉ Trương Hoa lỗ mũi: "Thằng nhóc , ba ngươi bây giờ sắp chết, ngươi nếu là không muốn hắn chết, liền đem đồ vật giao ra, nếu không. . ."

	"Đúng, vội vàng đem đồ giao ra, 《 bát quái bí truyền 》 không phải thằng nhóc ngươi có thể cầm." Gầy hán tử vậy lấy dũng khí ở một bên nói.

	"Các người là ai ?"

	Trương Hoa cẩn thận quan sát một chút hai người.

	Mới có thể có hạ cổ thủ đoạn này, chắc hẳn vậy chưa đến nỗi trộn thành quá nghèo ăn mày. Vậy mặc đồ này liền có điểm lạ.

	"Người Miêu? Tương Tây?" Trương Hoa suy đoán.

	Từ xưa, Tương Tây Miêu tộc lấy cổ nổi tiếng. Kiếp trước mặc dù không gặp qua, nhưng muốn đến chuyện này vậy chưa đến nỗi là không có lửa làm sao có khói. Nếu không, TQ lớn như vậy, làm sao chỉ riêng xách địa phương nhỏ đâu ?

	"Ngươi quản bên ngoài là ai, không muốn ba ngươi chết, liền vội vàng đem đồ giao ra!" Mập hán tử thúc giục.

	"Đúng, nhanh, đóng đồ, nếu không ba ngươi nhất định phải chết!" Gầy hán tử cổ võ.

	"Đồ giao cho các người, hai ngươi là có thể đem ba ta chữa khỏi?"

	Trương Hoa cười lạnh một tiếng.

	Thật không phải là hắn xem nhẹ cái này hai người, sự thật chính là, cái này hai hàng nửa điểm tu vi cũng không có. Đừng nói hạ phệ tâm cổ loại này hàng cao cấp, coi như là giống vậy cỏ rắn cổ, cũng không phải người bình thường có thể chơi chuyển.

	". . ."

	Hai người hai mắt nhìn nhau một cái.

	Mập hán tử cất cao giọng nói: "Dĩ nhiên có thể, bất quá chúng ta muốn muốn xác định đồ thật giả, sau đó mới có thể cho ba ngươi chữa bệnh!"

	"Đúng, muốn xác định là thật, mới chữa bệnh!"

	Gầy hán tử gật đầu liên tục, trong lòng ngầm cười.

	Hì hì, cùng vật tới tay sau đó, chuyển tay chính là mười triệu, ai đặc biệt quản ba ngươi sống hay chết.

	"Như vậy sao?" Trương Hoa trầm ngâm, tản ra thần thức, tìm kiếm vùng lân cận hơi thở.

	Cái này hai cái sa so rõ ràng chính là dùng để làm con cờ thí, khẳng định không phải bàn tay đen sau màn.

	"Này , thằng nhóc , ngươi có thể nhanh lên một chút cân nhắc, trễ, trì hoãn thời gian, ba ngươi chết, chúng ta anh hai cũng không chịu trách nhiệm!" Mập hán tử tính trước kỹ càng, một bộ dương dương đắc ý điệu bộ.

	Người Hán, hiếu là trời.

	Bất hiếu người, là căn bản không biện pháp sinh tồn.

	Cho nên dùng một bản phá bí tịch, đổi một cái khả năng chữa cha bệnh nặng cơ hội, làm sao xem đều là tính toán.

	Hắn không sợ Trương Hoa không phải phạm!

	Chân thực không được, hắn đi ngay tìm Trương Hoa mẹ hắn!

	Hắn còn không được, mẹ hắn có thể trơ mắt nhìn chồng mình chết!

	"Chính là à, chúng ta anh hai phân phút mấy chục khối trên dưới, cũng không thời gian và ngươi nói nhảm!" Gầy hán tử vừa nói, không nhịn được đi tới đi lui.

	Mười triệu à mười triệu!

	Đến lúc đó, một người năm triệu, nghĩ thế nào thoải mái liền làm sao thoải mái!

	Em gái một lần kêu hai cái, song phi, không, ba cái, chí ít ba cái! Ta chơi chính là náo nhiệt!

	Người Hán mặc dù nhân phẩm không thế nào, nhưng da sữa. Tử nhưng quả thực rất tốt, chơi thoải mái! Chính là đắt một chút, bất quá cùng tiền tới tay sau đó, hết thảy cũng không là vấn đề à.

	"Tự tìm cái chết!"

	Tìm tòi một lần, thấy chung quanh đều là người bình thường, bàn tay đen sau màn lại nữa, Trương Hoa cũng lười và cái này hai nhân vật nhỏ dây dưa.

	Ba quyền hai chân liền đem hai người đánh ngã, đạp ở ngón tay của bọn họ, quát lạnh: "Nói, là ai để cho các người tới bắt bí tịch!"

	"Thằng nhóc , ngươi dám đối với chúng ta như vậy huynh đệ, là không phải là không muốn sống!" Mập hán tử còn giãy giụa rêu rao.

	"Đúng vậy, vội vàng đem hai ta buông ra, nếu không ba ngươi nhất định phải chết, chết chắc!"

	Gầy hán tử suy nghĩ một chút, lại bổ sung: "Ngoài ra bí tịch cũng không thể thiếu, phải cho chúng ta, nếu không chuyện này chúng ta sẽ không nghỉ!"

	"Chưa thấy quan tài không rơi lệ!"

	Trương Hoa hơi dùng một chút lực.

	Chỉ nghe lạc băng hai tiếng, hai người ngón tay liền bị sống sờ sờ đạp bể.

	"À!"

	Hai người phát ra thống khổ kêu rên.

	Trương Hoa lãnh đạm nhìn hai người: "Còn có chín cây, ta bây giờ hỏi một lần nữa, là ai."

	"Thằng nhóc , ba ngươi sẽ chết!" Mập hán tử sắc mặt dữ tợn rống giận.

	"Chết chắc, chết chắc!" Gầy hán tử vậy đi theo ầm ỉ. Năm triệu mị lực là vô cùng!

	Trương Hoa lười để ý, lần nữa đạp lên.

	Lạc băng, lại là hai tiếng giòn vang vang lên.

	"Là ai ?"

	"Ngươi đem bí tịch cho ta, ta liền nói cho ngươi."

	Mập hán tử cắn răng, trán đổ mồ hôi toát ra, còn là đang kiên trì.

	Có mười triệu, đừng đoạn phế hai ngón tay, coi như là toàn bộ tay phế, đó cũng là người trên người!

	Không có tiền đắng ép cuộc sống, hắn đã chịu đủ rồi!

	"Chính là , thằng nhóc , không cho bí tịch, hai ta cái gì cũng không biết nói!" Gầy hán tử vậy có khí phách trả lời.

	"Lạc băng, lạc băng!"

	"Là ai."

	Trương Hoa mắt nhìn xuống hai người, vẻ mặt hờ hững, không có biến hóa chút nào.

	Thỏa hiệp loại chuyện này, là tuyệt đối không có thể mở miệng chết. Một khi để cho uy hiếp người nhà mình người được lợi, vậy có liền lần đầu tiên sẽ có lần thứ hai, lần thứ ba, thẳng đến người nhà không cẩn thận chết.

	Người nhà muốn bảo vệ, khá vậy phải chú trọng phương pháp, không thể để cho bọn họ thành là sơ hở!

	Nếu không, đây mới thật sự là đem người nhà cho hại!

	"Thằng nhóc , cho bí tịch, cho bí tịch ta liền nói, lập tức nói!" Mập hán tử liều mạng kêu to.

	"Bí tịch!"

	Gầy hán tử đau không nói ra quá nhiều nói, có thể vẫn là chết cắn bí tịch không ngăn được.

	"À."

	Trương Hoa than thở một tiếng, một cước hướng hai người đá tới, rất nhanh hai người liền ngã xuống đất, không có động tĩnh.

	Người, còn sống, không tốt sao.

	Tại sao hết lần này tới lần khác muốn tìm chết đâu!

	Người vì tiền mà chết chim vì thức ăn mà vong, có thể cũng có mạng ở mới có hết thảy các thứ này, không phải sao?

	. . .

	Hồi xuân đường.

	Đoạn Thiên Minh lão gia tử nằm ở sau quầy trên ghế thái sư, nhàn nhã lắc.

	Tay phải cầm cây quạt lá, không có sao liền phiến hai cái, nổi lên từng cơn gió mát.

	Ngược lại không phải là bởi vì là nóng, mà là thuần túy thói quen, cảm thấy làm như vậy, người cảm giác thoải mái.

	"Mua thuốc."

	Trương Hoa đi vào hồi xuân đường, lạnh lùng khạc ra hai chữ.

	Tại sao phải tới đây, tự nhiên cũng là bởi vì là thói quen. Dù sao cái này quen thuộc, đi xa lạ còn phải giải thích, phiền toái.

	"Ơ, Trương tiểu ca tới, ngồi một chút, mau ngồi xuống."

	Đoạn Thiên Minh liền vội vàng đứng lên, một bên chào hỏi, một bên hướng hậu đường hét: "Dâng trà, trà ngon!"

	"Không nên phiền toái." Trương Hoa khoát khoát tay, cầm bút lông lên, viết xuống một đống dược thảo tên.

	"Những thứ này mỗi dạng tới 10 phần."

	"Trương tiểu ca, đây là bị thương?"

	Đoạn Thiên Minh dò hỏi, trong lòng lại là than thở.

	Không nghe cụ già nói, thua thiệt ở trước mắt. Người tuổi trẻ, nóng nảy quá xông lên, vừa qua khỏi dịch chiết à.Chương 157: Người Miêu 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Chỉ có 1 bản thẻ đen thôi.

	Cái này hai hàng vừa thấy liền nghèo nổ, cũng không phải cái gì cùng lúc câu vào xin cơm đảng, trên mình khẳng định không có máy POS các loại mắc tiền đồ chơi.

	Đến lúc đó, bị vây trước đòi tiền, không lấy ra được, há chẳng phải là rất lúng túng?

	Hai hán tử liền vội vàng đuổi theo, có thể Trương Hoa là ai ?

	Coi như người bị thương nặng, cũng không phải loại người này có thể đuổi kịp.

	Mắt xem Trương Hoa thì phải biến mất, một cái trong đó hơi gầy hán tử vội vàng hô: "Tiểu tử ngươi chạy nữa, ba ngươi có thể nhất định phải chết!"

	"ừ !"

	Trương Hoa ngay tức thì dừng lại, chỉ gặp bóng người thoáng một cái, liền xuất hiện ở hai người bên cạnh.

	Ánh mắt lạnh như băng nhìn chằm chằm cái này hai quá nghèo.

	Trương Triêu Dương mặc dù bị bệnh mấy ngày, có thể cũng không phải người bình thường có thể biết. Hơn nữa, là trúng cổ, nói không chừng cái này hai người chính là bàn tay đen sau màn.

	"Ngươi muốn làm gì?"

	Gầy hán tử bị dọa đến lui về phía sau hai bước.

	"Sợ hắn làm gì?"

	Hơi mập hán tử ngược lại không kinh sợ, ưỡn ngực một cái, chỉ Trương Hoa lỗ mũi: "Thằng nhóc , ba ngươi bây giờ sắp chết, ngươi nếu là không muốn hắn chết, liền đem đồ vật giao ra, nếu không. . ."

	"Đúng, vội vàng đem đồ giao ra, 《 bát quái bí truyền 》 không phải thằng nhóc ngươi có thể cầm." Gầy hán tử vậy lấy dũng khí ở một bên nói.

	"Các người là ai ?"

	Trương Hoa cẩn thận quan sát một chút hai người.

	Mới có thể có hạ cổ thủ đoạn này, chắc hẳn vậy chưa đến nỗi trộn thành quá nghèo ăn mày. Vậy mặc đồ này liền có điểm lạ.

	"Người Miêu? Tương Tây?" Trương Hoa suy đoán.

	Từ xưa, Tương Tây Miêu tộc lấy cổ nổi tiếng. Kiếp trước mặc dù không gặp qua, nhưng muốn đến chuyện này vậy chưa đến nỗi là không có lửa làm sao có khói. Nếu không, TQ lớn như vậy, làm sao chỉ riêng xách địa phương nhỏ đâu ?

	"Ngươi quản bên ngoài là ai, không muốn ba ngươi chết, liền vội vàng đem đồ giao ra!" Mập hán tử thúc giục.

	"Đúng, nhanh, đóng đồ, nếu không ba ngươi nhất định phải chết!" Gầy hán tử cổ võ.

	"Đồ giao cho các người, hai ngươi là có thể đem ba ta chữa khỏi?"

	Trương Hoa cười lạnh một tiếng.

