Chương 12: Đánh cuộc ngọc 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Ngươi đi theo ta làm gì? Không đi học sao?"

	Thấy Hoa Oánh đuổi theo, Trương Hoa buồn cười nói.

	"Hừ, ngươi có thể đi ta tại sao không thể đi? Ta em gái họ ngày mốt sinh nhật, ta đi giúp nàng mua chút lễ vật thế nào?" Hoa Oánh lẩm bẩm môi, không vui nói.

	Chẳng biết tại sao, Trương Hoa vậy lãnh đạm cái gì cũng dáng vẻ không quan tâm, để cho bên trong lòng nàng đặc biệt khó chịu.

	Nhìn Hoa Oánh dáng vẻ, Trương Hoa cười không nói.

	Lúc này ven đường vừa vặn có một chiếc xe taxi đi ngang qua, Trương Hoa thuận tay chiêu, lên chỗ điều khiển.

	"Đi hoàng long ngọc thạch thành phố." Trương Hoa nhìn tài xế nói.

	"Người anh em là muốn đi xem lâm cỏ cây sao?"

	Tài xế xe taxi là một hai mười sáu mười bảy tuổi chàng trai, nhanh chóng nổ máy xe sau đó, nhìn Trương Hoa nói. Lâm cỏ cây là gần đây đốt tay có thể nóng đang ăn khách minh tinh, chừng 20 tuổi người ái mộ lại nhiều nhất.

	Ngày hôm nay hắn tại thành đại học cái khối này, thật đúng là kéo không thiếu đi hoàng long ngọc thạch thành phố xem minh tinh.

	Nhìn Trương Hoa lối ăn mặc, chàng trai tài xế cũng chỉ làm hắn là muốn đi thấy minh tinh phong thái.

	Trương Hoa ngậm miệng không nói, không có trả lời hắn, coi như là ở kiếp trước, hắn cũng không có theo ngôi sao thói quen. Chớ đừng nói chi là sống lại trở về hắn, lại là không chút nào phương diện này hư vinh.

	Coi như vậy lâm cỏ cây xinh đẹp nữa, chẳng lẽ còn có thể hơn được Giao Trì Thiên cung thánh nữ sao? Cho nên đối với Trương Hoa mà nói, lâm cỏ cây coi như ở đó nhảy thoát y vũ, Trương Hoa như cũ nhìn hờ hững.

	Thấy Trương Hoa không nói lời nào, tài xế còn làm hắn thầm chấp nhận, vừa tiếp tục nói: "Mặc dù ta không phải lâm cỏ cây thiết hồng, nhưng trước kia ở trên ti vi xem qua nàng, bộ dáng kia, thật là đẹp trai không được."

	"Đúng rồi, nghe nói ngày hôm nay hoàng long ngọc thạch thành phố còn biết đẩy ra một nhóm lông thạch, giá cả ngược lại không đắt, chính là không biết có thể hay không mở ra thứ tốt." Chàng trai tài xế lại mở miệng nói.

	Nghe được đổ thạch hai chữ, Trương Hoa chân mày cau lại: "Ngươi nói là đổ thạch?"

	Tài xế nghe được Trương Hoa rốt cuộc đáp lại, lập tức hứng thú, thẳng thắn nói nói: "Đúng vậy, người anh em cũng tốt một hớp này à?"

	"Bất quá ngươi không biết, vậy đổ thạch chính là bẫy người, nghe ta những người bạn kia nói, bọn họ ngọc thạch thành lông thạch, ở lấy ra tiêu thụ trước, đều là đi qua chuyên nghiệp dụng cụ kiểm tra qua. Thứ tốt đều sớm bị bọn họ chọn đi, căn bản là không mở ra thứ tốt gì. Vật kia vui đùa một chút liền tốt, có thể dù sao cũng không nên nghĩ dựa vào đổ thạch phát tài."

	Trương Hoa đỡ trán, bây giờ toàn bộ tài sản của hắn, cũng chỉ hơn 2000 khối mà thôi. Vốn là hắn tính toán phải đi sửa mái nhà dột, mua chút phẩm tương chưa ra hình dáng gì nhưng thích hợp bố trí trận pháp trọc ngọc.

	Bây giờ nếu biết đổ thạch, kế hoạch kia, liền có thể hơi thay đổi một chút.

	Ngay tại lúc này, ngồi ở đàng sau Hoa Oánh điện thoại di động bỗng nhiên vang lên. Ngủm sau đó, nàng nhìn Trương Hoa nói: "Ta có mấy người bạn cũng muốn đi ngọc thạch thành phố."

	Trương Hoa không nói, nhắm mắt dưỡng thần.

	. . .

	Hoàng Long ngọc thị phố quảng trường bên bờ lên, đang đậu một chiếc màu xanh Maserati, nếu như là hiểu xe người ở chỗ này, nhất định sẽ thất kinh. Năm 2017 mới nhất khoản Tổng giám đốc, 3. 8T, ở trong nước trần xe ra giá đến gần 3 triệu.

	Phải biết thành phố Đông Hải chỉ là một thành phố tuyến ba, bảy tám trăm ngàn Mercedes-Benz, BMW cũng đã có thể tính là là xe sang.

