Chương 190: Khiếp sợ 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Mọi người chung quanh bị một màn này mạc sợ ngây người, Trương Hoa vẫn còn không hài lòng lắm:

	"Hay là chuẩn bị không đầy đủ à, như muốn hoàn toàn gìn giữ dược tính, tránh cho chạy mất, phải dùng bình ngọc mới được! Nhất không tốt cũng phải dùng lâu giấu bình sứ. May mà, những thứ này chỉ là dùng để giao dịch, cũng không cần chú trọng quá nhiều, miễn cưỡng đủ dùng."

	"Cái này, cái này. . ."

	Tô Hà trợn to mắt, thật không có biện pháp tin tưởng mình ánh mắt.

	"Giả, cái này nhất định là giả!"

	Tô Hà không ngừng lắc đầu lầm bầm.

	Như đan dược là thật, vậy đối phương nhưng chính là đáng mặt luyện đan sư. Mình như thế chê bai đối phương, hậu quả căn bản không phải hắn có thể tiếp nhận, thậm chí Tô gia cũng không chịu nổi.

	Cha Tô đổ gặp qua không thiếu sóng gió, coi như bình tĩnh, nhìn về phía Vương đại sư: "Đại sư, đan dược này ngài xem?"

	Vương đại sư giờ phút này cũng là mặt đầy không tưởng tượng nổi vẻ.

	Làm là luyện đan sư, không có ai so hắn càng hiểu luyện đan bên trong con đường. Sức lửa thiên thời địa lợi nhân hòa thật sự là như nhau đều không thể thiếu, hơi có không may, chính là thuốc thuốc hư mất!

	Lúc nào bếp điện từ cũng có thể luyện đan? Hơn nữa còn thật luyện được mấy viên tượng mô tượng dạng.

	"Ta tới xem một chút đi."

	Đám người bên ngoài, họ Lý người trung niên lại cũng không giữ được căng thẳng, vừa nói một bên đi tới.

	"Lý tiên sinh."

	"Lý tiên sinh tới!"

	"Lý tiên sinh mời vào bên trong!"

	Nguyên bản dày đặc đám người, lần nữa nặn ra một cái 1m chiều rộng lối đi.

	Họ Lý người trung niên một mặt mỉm cười, để cho người như mộc xuân phong đi tới Trương Hoa trước mặt: "Anh bạn trẻ này, có thể hay không cho Lý Vệ xem một chút?"

	"Xin cứ tự nhiên!"

	Trương Hoa cũng không sợ đối phương tham mặc hắn đan dược.

	Dưới con mắt mọi người, chắc hẳn đối phương vậy không làm được như vậy không biết xấu hổ chuyện.

	Lý Vệ đùa giỡn muốn, dè dặt bưng lên một viên đan dược, đầu tiên là ngửi một cái, sau đó lại dùng đầu ngón tay quát chút thuốc mạt, nếm nếm, nhất thời thần sắc trở nên hơn nữa ngưng trọng.

	"Lý tiên sinh, cái này rốt cuộc có phải hay không thối thể đan à?"

	"Chính là à Lý tiên sinh, nói chuyện à."

	Mọi người vây xem rối rít lên tiếng thúc giục. Đây có thể chuyện nhốt bọn họ tự thân lợi ích, như Trương Hoa cũng có thể luyện đan, vậy bọn họ mỗi lần cũng không dùng được giống như heo như nhau đưa tới cửa, bị Vương đại sư làm thịt!

	Phải biết, mời luyện đan sư ra tay luyện đan hoa kia phí có thể thật không nhỏ, tự có dược liệu không nói, thất bại đối phương không phụ trách, thành công thì tiền huê hồng một nửa, còn phải quá mức cái bao lì xi lớn!

	Thật đặc biệt là đại gia à!

	Nhưng vậy không có biện pháp, ai bảo chính bọn họ không biết luyện đâu ?

	Hơn nữa muốn cho hậu bối trẻ tuổi mau sớm tăng lên, có đánh vào quy nguyên cảnh tư cách, đan dược này là tuyệt đối không thể thiếu. Nếu không, ừ, Hoa gia Hoa Hùng, Ngọc Liễu sơn trang Liễu Chính Trung, Quan Trung tán tu Vương Lục Giáp chính là tốt nhất thất bại trước trường hợp.

	Thật vất vả tu tới hóa kính đỉnh cấp, kết quả bởi vì là lớn tuổi, huyết khí chưa đủ, đời này cũng không có vọng quy nguyên! Cưỡng ép đánh vào chỉ có một kết quả —— chết!

	"À!"

	Đối mặt mọi người thúc giục, Lý Vệ không có lời, chẳng qua là thật sâu thở dài, nhìn về phía Vương đại sư: "Vương lão, ngài vậy xem một chút đi."

	"Làm sao, thằng nhóc ngươi cũng xác thực không nhận được sao?"

	Vương đại sư lẩm bẩm, nhận lấy đan dược, tế phẩm chốc lát, ánh mắt chợt trợn to, gắt gao nhìn chằm chằm Trương Hoa: "Cái này không thể nào! Cái này không thể nào!"

	"Vương đại sư, rốt cuộc thế nào?"

	"Chính là à, nói chuyện đừng nói một nửa à!"

