Chương 133: Đánh bại 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Sẽ để cho lão phu tới lãnh giáo một chút Lâm lão đệ cao chiêu đi."

	Đám người nơi ranh giới, vang lên một cái thanh âm già nua.

	Mọi người theo tiếng kêu nhìn lại, nhưng gặp Hoắc lão gia tử đứng ra.

	"Nguyên lai là hắn!"

	Mọi người sáng tỏ.

	Gần đây liên quan tới Hoắc lão gia tử cháu gái Hoắc Linh thành là Bạch gia quả phụ tin tức đã vang rền Trừ Châu võ đạo giới! Hoắc gia trước và Lâm gia như nhau, chỉ là một tầm thường gia tộc nhỏ, nhưng cùng Bạch gia đặt mối quan hệ sau đó, thực lực dù chưa tăng trưởng, có thể địa vị nhưng cực nhanh giương cao.

	Đã có tư cách đứng ở thứ nhất xếp, và Trừ Châu mười gia tộc lớn đồng hành!

	Dĩ nhiên, cũng chỉ là đồng hành, võ đạo giới dẫu sao hay là thực lực là vương, cho nên chỉ có thể đứng ở thứ nhất xếp bên trên nhất.

	Hoắc gia và Lâm gia bởi vì là người cháu giữa cạnh tranh, hai nhà quan hệ một mực không tốt lắm.

	Lúc này, Hoắc lão gia tử ra tay bỏ đá xuống giếng cũng có thể hiểu, có thể nói một lần hành động hai phải!

	"Mời!"

	Lâm chấn động nam chống gậy, lại là ngăn lại tay phải.

	"À. . . Đều như vậy cần gì phải còn mạnh hơn chống?"

	Hoắc lão gia tử nhìn lướt qua cây nạng, nhàn nhạt nói: "Không biết ngươi phi vân thủ còn lại mấy thành công lực."

	"Ngươi thử một chút thì biết."

	Lâm Chấn Nam giẫm một cái cây nạng, phốc một tiếng, cây nạng không có vào tấm đá ba tấc.

	Hoắc lão gia tử ánh mắt hơi co lại, cười mỉa nói: "Lâm lão đệ quả nhiên gừng càng già càng cay à, lão ca ta là so sánh không bằng, đợi một hồi có thể dù sao cũng hạ thủ lưu tình à, lão ca ta cũng là bị ép không biết làm sao, nhiều hơn hiểu, thông cảm nhiều hơn."

	"Hừ!"

	Lâm Chấn Nam hừ lạnh một tiếng.

	Hắn xem thường nhất loại này gặp gió chiều nào theo chiều đó tiểu nhân, thật là đem người tập võ mặt mũi cũng vứt sạch. Muốn cứng rắn liền cứng rắn rốt cuộc, dẫu có chết bất khuất mới là thật hán tử!

	"Tấm tắc!"

	Hoắc lão gia tử hành động đúng là không lên được lớn mặt bàn, trong đám người cũng là không ngừng có người phát ra chắc lưỡi hít hà tiếng.

	Dĩ nhiên, cũng chỉ là tấm tắc lưỡi, thật mở miệng châm chọc vẫn là không có người ngu như vậy.

	Hiện tại mọi người hỏa đều là Bạch gia thủ hạ, Hoắc gia lại cùng Bạch gia đi gần, đến lúc đó nói với như vậy một trạng, đoán chừng không ăn nổi bao đi.

	Bị mọi người khinh bỉ, Hoắc lão gia tử sắc mặt một đỏ, chợt bay lên một cước đá về phía Lâm Chấn Nam ngực.

	"Tiểu nhân!"

	Lâm Chấn Nam nắm cây nạng mau tránh ra, một chưởng vỗ hướng Hoắc Trọng bắp đùi.

	Hoắc Trọng thân thể bay bổng một chuyển, một cái chân khác, từ trên xuống dưới, tựa như đao chẻ vậy bổ về phía Lâm Chấn Nam.

	Lâm Chấn Nam không biết làm sao, lui về phía sau hai bước, mau tránh ra công kích.

	Hoắc Trọng được thế không buông tha người, một chiêu tiếp một chiêu công hướng Lâm Chấn Nam.

	Lâm Chấn Nam xách cây nạng liên tiếp lui về phía sau, rất nhanh liền lui tới bên tường, không thể lui được nữa!

	"Cây kéo chân!"

	Hoắc Trọng mặt lộ vẻ vui mừng, mượn thế nhẹ nhảy, hai chân bay lên, mang theo hiển hách tiếng gió, kẹp hướng Lâm lão gia tử đầu.

	"Chiêu này cây kéo chân uy lực còn thật không tệ."

	Liễu Chính Trung khẽ vuốt càm.

	Hoắc Trọng nhân phẩm không thế nào, nhưng cái này thu cước pháp đúng là có chỗ có thể lấy à.

	"Quả thật, hôm nay Lâm lão đệ đã bị buộc nhập chỗ chết, chỉ có thể chống cự. Phi vân thủ tuy lợi, nhưng cũng khó địch cây kéo chân à. Ngày hôm nay phỏng đoán cũng là như vậy, à. . ."

	Lý lão gia tử than thở một tiếng.

	Cái này và hắn thiết định kịch bản không đúng à, theo lý đã nhắc nhở, Lâm Chấn Nam hẳn sẽ hướng Trương Hoa cầu viện à. Hai giờ trôi qua, Trừ Châu cũng lớn như vậy, chỉ cần làm chiếc xe, nhất định là có thể chạy đến.

	Chẳng lẽ, Trương Hoa đoàn người đã chạy ra khỏi tỉnh Trừ Châu?

	Chưa đến nỗi đi, trước khi tới hắn còn hỏi dò qua tin tức, Trương Hoa thật cưỡi bò, chậm rãi đi Đông Hải phương hướng đi đây.

	"Coi như có thể tiếp lấy, cũng không quá sắp chết giãy giụa, có ý nghĩa gì đâu ? Đến cuối còn vẫn là không tránh được vừa chết." Vọng thành Hứa lão gia tử lắc đầu một cái.

	Bạch gia thế lớn, Lâm gia căn bản không có chỗ trống quay về à.

	"Xem một chút đi, nói không chừng có kỳ tích đâu, hụ hụ hụ. . ."

	Liễu Chính Trung ho khan, đáy mắt lướt qua một đạo tinh quang.

	Hy vọng cái này Trương Hoa đúng như Hoa lão ca đoán, là vị không xuất thế cao thủ, nếu không, Trừ Châu từ đây nhiều khó khăn ồ!

	"Bay mây!"

	Lâm Chấn Nam chợt khom người một cái, người như cung, tay làm huyền, lấy rẽ làm mũi tên, bắn về phía Hoắc Trọng.

	"Tới tốt!"

	Hoắc Trọng hai chân vội đạp, muốn đem cây nạng đá văng.

	" Ầm!"

	Cây nạng đá văng sau đó, lại có tối sầm điểm chợt bắn về phía Hoắc Trọng, Hoắc Trọng né tránh không đạt tới, bị đập trúng ngực, hộc máu ngã xuống đất.

	"Thừa nhận!"

	Lâm Chấn Nam hai tay ôm quyền.

	"Ngươi hèn hạ!"

	Hoắc Trọng ngã xuống đất, rất là không cam lòng.

	Giờ phút này, hắn rốt cuộc thấy rõ điểm đen là gì, chính là Lâm Chấn Nam dưới chân giầy! Bất quá giày này quả thật đặc chế giày sắt, nặng đến 5kg, khó trách Lâm Chấn Nam đi bộ thời điểm run rẩy, một bộ lảo đảo muốn ngã hình dáng.

	Đó chính là muốn che giấu hắn giầy sức nặng, để cho người không thêm phòng bị.

	Liễu Chính Trung than thở một tiếng, quay đầu nhìn một chút chư vị lão gia tử: "Một trận kế, vị kia muốn thử một chút Lâm lão đệ cao chiêu?"

	Người thắng làm vua, người thua làm giặc. Đạo lý này Hoắc Trọng cũng không biết, thật là. . . Ngày hôm nay nếu không phải nhiều người như vậy ở đây, hắn nào còn có mạng ầm ỉ, đã sớm bị thuận thế diệt.

	Hoắc gia, quả nhiên đều là miệng lưỡi lợi hại.

	"Để ta đi."

	Lý lão gia tử đứng dậy.

	Nếu Lâm Chấn Nam không đem Trương Hoa cái này cứu binh dọn tới, vậy ngày hôm nay khẳng định khó thoát khỏi cái chết. Nếu là như vậy, hắn vậy cũng không có biện pháp, chỉ có thể dùng Lâm Chấn Nam đầu người cộng thêm một nửa gia sản, hướng Bạch gia đầu hàng. Chắc hẳn Bạch gia cũng không đến nổi lại dây dưa không ngớt, chém tận giết tuyệt!

	"Lý lão ca ngươi. . ."

	Lâm Chấn Nam nở nụ cười khổ.

	Người ở chỗ này chính giữa, nếu để cho hắn chọn, hắn thà đối mặt Liễu Chính Trung cũng không muốn đối với Lý lão gia tử. Chu sa chưởng và phi vân thủ cùng là vỗ lên công phu, có thể Lý lão ca là nội kình đỉnh cấp, mà hắn bất quá nội kình trung kỳ, kém một lớn một khúc, cơ bản không tồn tại lật bàn có khả năng.

	"Lâm lão đệ, Lý gia bây giờ tình trạng chắc hẳn ngươi cũng có thể hiểu, đắc tội."

	Lý lão gia tử giương tay một cái: "Mời."

	"À. . . Hiểu, hiểu."

	Lâm Chấn Nam lắc đầu một cái: "Bất quá vậy mời Lý lão ca lý hiểu một chút ta khó xử, ngày hôm nay không có sống tạm Lâm Chấn Nam, chỉ có chết trận Lâm Chấn Nam."

	"Chu sa chưởng!"

	Lý lão gia tử cũng sẽ không khách sáo, nếu lựa chọn ra tay, vậy thi không có gì ân huệ có thể nói.

	2 tay đỏ thẫm như máu, trong không khí lại là tràn ngập một mùi tanh hôi, để cho người ngửi vào liền choáng váng đầu hoa mắt, đứng cũng không vững.

	"Phi vân thủ."

	Lâm Chấn Nam cũng chỉ được cắn răng đối với, thân tựa như con bướm, du dương phòng hoa.

	Lâm gia phi vân thủ chỉ đành phải quyển thiếu sót, cũng chính là nhập môn cấp phi hoa tay, ở trên mới là hóa kính thiên phi vân thủ. Giống như đại bàng bay vào mây ở giữa, không gặp bóng dáng.

	Là một môn lấy thân pháp sở trường võ công.

	Lâm Chấn Nam vì gia tăng phi vân thủ uy lực, ngày thường đều mặc trước giày sắt, mang nặng đi.

	Cho tới giờ khắc này, mới thật sự bộc phát ra toàn bộ thực lực.

