Chương 132: So tài 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Đi xuống đi."

	Lâm Tuyết Nhi lắc đầu một cái, cúi qua thân thể, giúp Vương Hiểu Phong mở cửa xe.

	"Ai, ai!"

	Vương Hiểu Phong không ngừng bận rộn xuống xe. Vừa xuống xe, cả người hãy cùng mì sợi như nhau xụi lơ ở ven đường.

	"Ông!"

	Động cơ mau chóng vang, xe thể thao như mũi tên biến mất ở con đường cuối.

	"Cuối cùng kết thúc."

	Hoàn toàn không thấy được xe thể thao bóng dáng sau đó, Vương Hiểu Phong treo trong cổ họng lòng rốt cuộc trở về trong bụng.

	"Tư. . . Kêu. . ."

	Còn không buông lỏng 10 phút, bên tai lại đi ra một hồi thắng gấp thanh, Lâm Tuyết Nhi lạnh lùng nhìn về phía Vương Hiểu Phong.

	"Đại tiểu thư, còn có chuyện gì à, ngài cứ mở miệng, có thể làm tiểu nhân nhất định giúp làm, chỉ cần không để cho ta lên xe!" Vương Hiểu Phong vội vàng cầu xin tha thứ.

	Nằm trên đất, cảm thụ trầm ổn vùng đất cái loại đó thực tế cảm. Hắn rốt cuộc thể ngộ đến Trương Hoa nói, đọc vạn quyển sách đi ngàn dặm đường, cùng với nói là đi ra đạo lý lớn!

	Người và thật là có liên lạc chặt chẽ, không phân ra!

	"Nói cho Trương Hoa, Bạch Ngọc Thang đã xuất quan, lên cấp quy nguyên cảnh, nhất thống Trừ Châu võ đạo giới, để cho hắn đừng hồi Đông Hải, chạy mau!"

	Tiếng nói vừa dứt, Lâm Tuyết Nhi lại một chân cần ga, xe thể thao bá mất tung ảnh.

	Theo lý Trương Hoa là liên lụy bọn họ Lâm gia đầu sỏ, chết vậy đáng đời. Có thể có một số việc, nhiều chết một người vậy không giải quyết được vấn đề, Trương Hoa chết, bọn họ Lâm gia vậy vẫn phải là chết.

	Hơn nữa cuối cùng ra tay vẫn là người Bạch gia.

	Mấu chốt nhất là Trương Hoa, đại cao thủ nếu như tiềm tu mấy năm, hoặc là mười mấy năm, nói không chừng còn có thể giúp Lâm gia báo cái thù, ân, cái ý nghĩ này qua điểm, quy nguyên cảnh nào có như vậy dễ dàng, bất quá chí ít cũng có thể kéo mấy cái người Bạch gia chịu tội thay à.

	"Bạch Ngọc Thang đã xuất quan, lên cấp quy nguyên cảnh!"

