Chương 231: Ký hiệu 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Hắn có thể không có hứng thú và những người phàm tục giảng giải huyền huyền trải qua bí ẩn.

	Huyền huyền kinh nhưng mà nối thẳng Thiên Tiên cao nhất bí tịch, bên trong uẩn trường sinh đại đạo. Huyền huyền hỏa cũng là quan hệ lâu đời ở giữa hàng đầu linh hỏa.

	Đốt điểm ất mộc linh khí dây dưa thành trùng kén coi là cái gì, cùng mình tu vi khôi phục tới nguyên anh kỳ, huyền huyền hỏa lại thu nạp đầy đủ mặt trời linh hỏa. Một kích dưới, đem toàn bộ Trái Đất dung xuyên cũng chỉ là bình thường.

	"Ếch ngồi đáy giếng, chớ ngu, cái này đang đánh nhau đâu!"

	Trương Hoa vừa nói, lại là một quyền đánh ra.

	Bởi vì trước trước đó được nhắc nhở, Lý Thế Bình rất nhanh kịp phản ứng, tám cây châm cứu thật nhanh qua lại, ở trước người ngưng tụ thành một đoàn màu xanh lá cây cương khí che chở.

	Trắng nõn quả đấm rơi vào cái lồng khí lên, cái lồng khí nhất thời hướng bên trong lõm xuống ba tấc, mắt thấy muốn tét, Lý Thế Bình vội vàng cổ động chân khí, khó khăn lắm đem quả đấm cản lại.

	Trương Hoa thu hồi quả đấm, khẽ cau mày: "Lão đầu, lại tới chiêu này, cũng chưa có nhiều kiểu mới liền sao?"

	"Thằng nhóc , dễ xài là được, có bản lãnh ngươi đánh liền phá lão phu ất mộc vân che chở! Đến lúc đó, lão phu sẽ tự hiển lộ nhiều hơn thủ đoạn."

	Lý Thế Bình trên mặt dửng dưng trả lời, trong lòng thì âm thầm kêu khổ.

	Ông cụ, cái này là từ đâu toát ra quái thai?

	Vậy hắn cùng đồng đẳng cấp võ giả đại chiến, hoặc là liền dựa vào kim châm linh hoạt, đâm vào đối phương huyệt đạo, hoặc là liền bện mây che chở đem đối phương vây quanh trói buộc ở, tiếp dựa vào lâu năm lâu ngày công lực, sống mài chết đối phương.

	Có thể cái này bản lĩnh đoạn, đối với Trương Hoa cái này từ mang huyền huyền hỏa hoành luyện tông sư mà nói, căn bản không dùng.

	Còn như càng nhiều hơn thủ đoạn, kim châm cửu độ vốn cũng không thiện tranh đấu, cứu người phương diện khá tốt, nước thủ đô được phụng hắn là chỗ thượng khách. Có thể đánh nhau mà, một chiêu tiên ăn lần trời , có hai chiêu. . . Hơn trăm năm xuống, vậy đủ dùng.

	"Xem ra ngươi cái này ếch ngồi đáy giếng đối với cái này mềm xác gắng gượng có lòng tin à!"

	Trương Hoa khẽ mỉm cười, tay phải thật cao nâng lên, chưởng ở giữa lóe lên chói mắt vầng sáng trắng, một cánh tay như đao, trùng trùng chém xuống. Chỉ gặp không trung nhiều một đao có chừng ba thước dài đao mang, mang vô cùng uy thế chém về phía Lý Thế Bình.

	"Cho lão phu ngăn trở!"

	Lý Thế Bình không biết làm sao, chỉ đành phải liều mạng cổ động chân khí, tăng dầy ất mộc vân che chở.

	"Xé kéo!"

	Một tiếng liệt hưởng, cái này ất mộc vân che chở hãy cùng vải rách vậy, chia làm hai, ở che chở bên trong Lý Thế Bình vậy không có thể chạy khỏi tai ách, từ nơi mi tâm, thật chỉnh tề hoa hạ một đạo dây đỏ.

	Oanh, vân khí nổ tung, tựa như lựu đạn mini vậy, bốc lên một đại cổ mây hình nấm.

	"Lão tổ!" Lý Uyên sắc mặt biến, hướng về phía bụi bậm lớn tiếng la lên.

	Hắn không tin nhà mình lão tổ cuối cùng như vậy bỏ mạng đi. Lão tổ nhưng mà tông sư à, tựa như rồng thần vậy nhân vật, làm sao có thể như thế đơn giản một chiêu liền chết đâu!

	Hắn mở to mắt, mong đợi nhìn chằm chằm bụi mù cuồn cuộn, mong đợi lão tổ như lúc trước vậy, đánh xơ xác bụi mù, tông sư trở về!

	"Đừng xem, cái này ếch ngồi đáy giếng đã chết."

	Trương Hoa sờ một cái mình tay phải, trong mắt cũng có chút không tưởng tượng nổi.

	Mình chém phong đao lúc nào như thế lợi hại? Tốc độ nhanh đến một vị tông sư cũng không phản ứng kịp. Bất quá đối phương chết, cái này nhưng là có thể xác định.

	"Không, ngươi lừa gạt ta! Lão tổ làm sao có thể chết, cái này không thể nào! Hắn là tông sư, tông sư à!"

	Lý Uyên hướng Trương Hoa lớn tiếng kêu to nói.

	"Oa nóng nảy."

	Trương Hoa tức giận vung lên bàn tay, không khí chấn động, chỉ gặp lau một cái chảy không nổ đụng vào Lý Uyên ngực. Lý Uyên tung tóe mấy chục mét, ngã xuống đất hôn mê.

	"Đại ca!" Lý Vệ vội vàng xông tới đỡ dậy Lý Uyên.

	Hắn đối với Lý Uyên tuy có tư tưởng, có thể Lý gia đã mất đi lão tổ, lại không có Lý Uyên vị này Luyện thể đại sư, vậy thì thật muốn sa sút.

	"Không thú vị."

	Trương Hoa lắc đầu một cái, bước đi về phía bụi mù nồng chỗ.

	Bụi mù tự động tách ra, nhường ra một cái một người chiều rộng tiểu đạo. Trương Hoa rất nhanh liền tới đến Lý Thế Bình thi thể trước.

	Giờ phút này, Lý Thế Bình ánh mắt còn trợn thật lớn, chết không nhắm mắt!

	"Ngược lại vẫn coi là bền chắc."

	Trương Hoa xúc động một tiếng.

	Người bình thường nếu như rơi vào mới vừa cái này trình độ nổ, thi thể tuyệt đối chỉ còn lại tàn mảnh. Lý Thế Bình là tông sư, được linh khí bồi bổ, thân xác cường độ vượt xa giống vậy Luyện thể đại sư, cùng trước kia vị kia chết oan uổng hoành luyện đại sư xấp xỉ, cho nên thi thể coi như nguyên vẹn.

	"Hả?"

	Cái này tỉ mỉ vừa thấy, Trương Hoa quả nhiên phát hiện không ổn.

