Chương 234: Ly rượu 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Hôm nay TQ linh khí thiếu thốn, muốn chế thành pháp khí là vô cùng là khó khăn.

	Quang nguyên liệu điều này, liền khó khăn chết đa số người.

	Liền liền Trương Hoa, lâu như vậy, vậy không tìm được cái gì tài liệu thích hợp có thể dùng để chế pháp khí.

	Trên Net những cái kia cái gì tiểu thuyết, nói rất hay giống như pháp khí gắng gượng không đáng tiền, tùy tiện một khối ngọc điêu khắc xuống, khắc ghi mấy vị thần văn, một kiện pháp khí là được.

	Đối với loại này sát so không chịu trách nhiệm lời bàn, Trương Hoa chỉ muốn nói một câu, tới tới tới, ngươi được ngươi lên à!

	Có nguyên liệu còn cần khắc ghi cơ bản nhất hút linh trận, hấp thu linh khí, dự trữ đợi dùng. Còn như quá mức, còn muốn để cho pháp khí có công kích hoặc là phòng ngự hiệu quả, vậy thì nói khác.

	"Giữ bây giờ cái này tình thế, pháp khí chí ít có thể làm là thế gia ngàn năm vật truyền thừa, cũng không biết gia tộc nào như thế không trưởng lòng, cuối cùng đưa đồ chơi này."

	Trương Hoa nhặt lên đồng xanh ly rượu, vào tay còn thật nặng, có chút phân lượng. Trong này hẳn là xen lẫn tinh đồng!

	Trăm cân phẩm chất cao đồng khối mới khá đề luyện ra một tia tinh đồng. Ly rượu này bên trong, chí ít trăm tơ, dùng hơn 5 tấn đồng.

	Lại bất luận cái này đồng giá cả bao nhiêu, liền nói cái này đề luyện chương trình, đó chính là các loại phiền toái.

	Tại tu chân giới khá tốt, có người đặc biệt làm những thứ này được lợi linh thạch; có thể trên Trái Đất, thật liền ha ha đát, muốn cái gì cũng được từ mình đi luyện!

	Có rãnh rỗi luyện pháp khí, hắn tăng phúc chiến lực, còn không bằng tốn thêm điểm thời gian tăng lên tu vi!

	"Vật này ai đưa?"

	Trương Hoa rất hài lòng cân nhắc ly rượu.

	Thu người tiền tài, cùng người tiêu tai. Đối phương tuy là vô tình đưa ra, có thể nếu thu lễ vật, vậy dù sao cũng phải ý nghĩa ý nghĩa, chấm dứt nhân quả.

	"Ta tra một chút."

	Tiếu Chân lật ghi danh bản, "À, cái này à, là lão Lý đưa."

	"Lão Lý, Lý Vệ?"

	Trương Hoa kinh ngạc.

	Tên nầy đưa cái gì lễ à? Cám ơn ta hỗ trợ đem nhà hắn lão tổ làm thịt sao?

	"Ừ, chính là hắn." Tiếu Chân gật đầu một cái, nhưng là có chút xem không hiểu.

