Chương 63: Giựt nợ 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	" Ừ."

	Trương Hoa cũng không phủ nhận Hoàng Quân mà nói, thản nhiên nói.

	'Xong đời.'

	Vương Hiểu Phong trong lòng lộp bộp một tiếng, đã làm xong liều mạng đánh một trận chuẩn bị.

	"Hừ, vậy ngươi bây giờ còn có lời gì có thể nói?" Hoàng Quân âm trầm nói, hắn mang tới mấy cái hội Nghĩa An bang chúng, nhìn Trương Hoa trên mặt của hai người, cũng lộ ra hài hước vẻ mặt.

	Lại đang bọn họ hội Nghĩa An bãi cướp đồ, thật đúng là lão thọ tinh treo cổ, tự tìm cái chết à!

	"Nói cái gì có thể nói?" Trương Hoa lắc đầu một cái, tựa như nghe được một kiện rất buồn cười sự việc vậy, chỉ gặp hắn nhún nhún vai, thản nhiên nói:

	"Ta nói ta là tới mua điện thoại di động, còn cần ta nói cái gì vậy?"

	Trương Hoa tiếng nói vừa dứt, hội Nghĩa An mấy người lại là thử cười ra tiếng, chỉ thích ngươi như vậy nghiêm trang nói bậy nói bạ.

	"Mua điện thoại di động? Ngươi đặc biệt biết những thứ này điện thoại di động trị giá bao nhiêu tiền sao? Một triệu! Nghe rõ ràng!"

	Hoàng Quân cười cũng lười cười, giống như là một cái sa so vậy nhìn Trương Hoa, chẳng qua là khoác lác nói, ai không biết đâu ? Coi như đưa cái này Trái Đất cho mua lại, cũng bất quá là một câu nói mà thôi.

	"Ta Hoàng Quân, cũng là người biết phải trái, ngày hôm nay ta cho ngươi cái cơ hội, không muốn ngươi cầm ra một triệu, chỉ cần ngươi tại chỗ cầm ra năm trăm ngàn, chuyện hôm nay ta liền không truy cứu."

	Hoàng Quân hài hước nhìn Trương Hoa, cao giọng nói.

	Ngoài cửa những người đó nghe được Hoàng Quân mà nói, nhất thời cũng hứng thú, ánh mắt rối rít nhìn về Trương Hoa.

	"Tên kia là lớp chúng ta, nổi danh quá nghèo, đừng bảo là năm trăm ngàn, sẽ để cho hắn cầm năm ngàn khối cũng không lấy ra được."

	Trong đó có một cái người vây xem, hiển nhiên là nhận ra Trương Hoa, mở miệng nói.

	"Vậy người này, không phải xong đời?"

	Bên cạnh nàng một người mở miệng nói, người nơi này, cũng đều biết Hoàng Quân là lăn lộn xã hội.

	"Xem tình huống này, dĩ nhiên là xong rồi."

	Người nọ lắc đầu một cái, giả mù sa mưa thở dài một cái.

