Chương 238: Mời khách 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"ừ !"

	Một bên Miêu tộc mọi người nghe vậy, lập tức căm tức nhìn Trương Hoa, lặng lẽ vây quanh, đem mọi người vây ở trung tâm.

	Người chết là lớn, Trương Hoa như vậy, đã có thể bị coi là khiêu khích!

	"Trương Hoa, ngươi làm sao có thể nói như vậy, người chết là lớn, nhanh chóng cho người nói xin lỗi." Chu Vũ hù được chân cũng mềm nhũn, bên ngoài mạnh bên trong yếu địa trách mắng Trương Hoa. Hắn cũng không muốn gặp vô vọng tai ương. Giờ phút này, bị người Miêu một nhìn chăm chú, liền rợn cả tóc gáy, ánh mắt kia quá dọa người, và núi sâu mãnh thú có được vừa so sánh với.

	"Trương Hoa, hội trưởng nói hết rồi, chúng ta là tới đây bái ba lạy. Ngươi nếu không muốn bái, trước đến lượt đợi tại chỗ. Bây giờ tới cũng không bái, thật có chút không thích hợp."

	Lý Kiến cũng là khẽ nhíu mày.

	"Chính là à." Diệp Tiểu Manh phụ họa nói.

	Trương Hoa nhưng nghễnh đầu, thần sắc bình tĩnh nhìn chằm chằm phía trước người Miêu, ánh mắt hơi chăm chú, toàn làm không nghe được.

	"Ngươi không bái mà nói, có thể đừng liên lụy chúng ta."

	Gặp một bên người Miêu đã bắt đầu nắm quyền muốn đánh người, Chu Vũ liền vội vàng kêu: "Mọi người đừng hiểu lầm, chúng ta và hắn không quen, không phải một phe. Chẳng qua là tình cờ đúng dịp đụng phải!"

	"Trương huynh đệ, hôm nay chuyện này do ngươi đưa tới!"

	Hội trưởng Lưu Lãng nhàn nhạt nói: "Ngươi cũng là người lớn, chuyện này liền do ngươi tự mình giải quyết. Nếu như không giải quyết được, chúng ta cũng chỉ có thể đi trước."

	"Trương Hoa ngươi liền bái một bái đi, người chết là lớn, liền đã hết cái lễ phép."

	Cao Hoan vội vàng dàn xếp. Trương Hoa dù sao cũng là nàng mang tới, không thể như vậy ném xuống bỏ mặc. Bất quá giờ phút này, nàng trong lòng cũng âm thầm bất mãn, Trương Hoa làm như vậy, quả thật có chút khác người. Hãy cùng Lý Kiến nói như nhau, nếu không muốn bái cần gì phải cùng tới đây?

	Trương Hoa khẽ mỉm cười, nhìn về phía đối phương dẫn đầu Miêu tộc cụ già: "Ngày này còn không tối đâu!"

	Đầu dây dưa xanh bày Miêu tộc cụ già thật sâu nhìn Trương Hoa một cái: "Người tuổi trẻ vẫn là nhiều lắm hiểu chút lễ phép, lần tới coi như không dễ nói chuyện như vậy."

	Vừa nói, đối phương vung tay lên, đông đảo người Miêu tản đi.

	"Đi thôi."

	Trương Hoa hai tay cắm túi, dẫn đầu trong đám người đi ra.

	Chu Vũ trợn mắt há mồm nhìn chằm chằm chung quanh người Miêu: "Cái này, vậy làm sao liền giải tán?"

	Giữ hắn ý tưởng, giờ phút này hẳn là Trương Hoa bị người Miêu vây đánh một lần, sau đó đè ở linh tiền, dập đầu hơn bảy tám mươi cái vang đầu mới đúng. Bây giờ cuối cùng cái bộ dáng này, không giải thích được à!

	"Này, Trương Hoa, rốt cuộc chuyện này như thế nào à." Cao Hoan vội vàng bước lớn chân dài đuổi theo.

	"Đến lúc đó ngươi thì biết."

	Trương Hoa tiếp tục đi, nhưng là không qua giải thích thêm.

	Ngày hôm nay chuyện này thật lòng là có chút ý tứ.

	"Lý Kiến, ngươi biết là chuyện gì xảy ra sao?" Diệp Tiểu Manh cũng là xem không hiểu, hỏi bạn trai mình.

	"Cái này. . ."

	Lý Kiến gãi đầu một cái, nhờ giúp đỡ địa nhìn về phía hội trưởng Lưu Lãng: "Hội trưởng, ngươi hẳn biết chứ."

	"Trời tối sao?"

	Lưu Lãng suy nghĩ, vừa cẩn thận quan sát chung quanh một phen: "Đi trước, đến lúc đó nói sau."

	. . .

	Đoàn người trở lại thành Phượng Hoàng trong, Lưu Lãng nhìn sắc trời một chút, quyết định mọi người đi trước ăn cơm trưa, sau đó tu dưỡng một phen, đợi được chạng vạng tối lại xuất phát.

	Đây là một cái tạm thời đoàn đội, mọi người cũng không tính là người có tiền gì, cảnh khu vật giá lại đắt, tự nhiên không người sẽ đánh sưng mặt sưng người mời khách.

	Nếu không, có thể 10 ngàn khối cũng đánh không dừng được!

	Lý Kiến và Diệp Tiểu Manh tình nhân đương họp thành đội lách người.

	Hội trưởng Lưu Lãng và đen gầy nam Lương Hiểu cũng đi khác địa phương.

