Chương 871: Một tuần lễ trước đó

	Một tuần lễ trước đó, buổi tối.

	Lúc Seals tiểu đội nghe được trong kho hàng truyền đến tiếng súng hấp dẫn Seals binh sĩ lực chú ý, cùng lúc đó cửa ra vào Houthi  kí chủ, từ chính diện bắt đầu tiến công, ba viên Thiểm Quang Đạn ném vào trong phòng.

	Vang trầm vang lên, Houthi  vũ trang mượn Thiểm Quang Đạn hổ trợ che chắn xông vào trong kho hàng, Seals đội đột kích binh sĩ tại Thiểm Quang Đạn ném vào tới trong nháy mắt, liền ý thức được đại sự không ổn, Houthi  vũ trang công đi vào rồi.

	Dẫn đầu hai Seals binh sĩ nhanh chóng cúi thấp đầu, Thiểm Quang Đạn để cho bọn họ cảm giác lỗ tai có phần khó chịu, thế nhưng tốt đẹp chiến đấu tố dưỡng, bọn hắn nhanh chóng thay đổi nòng súng, đối với trong ấn tượng vị trí nổ súng.

	Liên tiếp tiếng súng vang lên, trước hết nhảy vào Houthi  vũ trang phần tử bị đánh gục, thế nhưng sát theo đó xông tới càng nhiều hơn Houthi  vũ trang phần tử, Houthi  phương diện kí chủ không có trước tiên tiến công, mà là tiếp tục trốn ở cửa vào khu vực, chờ đợi áp phích phá vòng vây.

	"Lao ra!"

	Seals binh sĩ khôi phục một chút trạng thái sau đó nhanh chóng đứng dậy hô to một câu, ba binh sĩ dẫn đầu, hỏa lực áp chế xông tới Houthi  vũ trang, đồng thời chuẩn bị phản công ra ngoài.

	Ba Seals binh sĩ xông sau khi đi ra ngoài, vang lên một trận kịch liệt tiếng súng, mà có mấy người vật chất hiện tại cũng không ngồi yên nữa, rít gào lên hướng về cửa lớn lao ra, tình cảnh trở nên hết sức hoảng loạn.

	Hỗn loạn giao hỏa trạng thái, Seals binh sĩ bị Houthi  vũ trang kí chủ bắn chết rồi sáu người, mà Houthi  kí chủ bị Seals bắn chết rồi năm người, ngoài ra, còn có càng nhiều binh lính bình thường bị đánh gục, trên đất còn mấy chục có con tin kí chủ.

	Con tin đưa tới hỗn loạn, để trợ giúp người đến nước Mỹ hải quân đội đột kích có thừa cơ lợi dụng, mượn hỗn loạn điều kiện, vọt thẳng vào trong kho hàng.

	Chỉ còn lại một Seals binh sĩ đang kiên trì, mà Lâm Hải thì căn bản không nhìn thấy thương khố phát sinh tình huống, nhảy vào trong kho hàng hải quân lục chiến đội nhanh chóng đem trong kho hàng tất cả mọi người Houthi  vũ trang đánh gục.

	"Lao ra, lao ra!"

	Hải quân lục chiến đội binh sĩ không có lựa chọn khác, chỉ có thể mang theo con tin xông ra ngoài, thế nhưng sát theo đó bọn hắn liền hối hận làm này quyết định, Houthi  vũ trang tại chung quanh chút cao mắc nối lên súng máy, bốn cỗ súng máy hình thành phong tỏa liệm đem xông người đi ra vật chất cùng hải quân lục chiến đội binh sĩ đánh gục.

	"Tiêu diệt súng máy! Tiêu diệt súng máy!"

	Chỗ tối tay bắn tỉa đem bốn điểm hỏa lực tiêu diệt, hải quân lục chiến đội lấy ra bom khói, bắt đầu lót đường, khiến người ta vật chất đi đầu, thế nhưng hai bên xuất hiện vô số Houthi  vũ trang, đem bọn này hải quân lục chiến đội binh sĩ cùng con tin bao vây lại.

