 Ầm ầm, ầm ầm, ầm ầm. . .

	Thành phố xây dựng ở không ngừng sụp đổ.

	Phần lớn thị dân, cũng đã đi vào tới đất dưới an toàn chỗ, một cái tiểu cô nương tại trên đường phố bất lực khóc, "XÍU...UU!" một tiếng, đấu bồng áo tơi, Vạn Anh Mộc nhất thiểm liền qua, đem tiểu cô nương ôm vào trong ngực, tránh được một khối hạ xuống đá lớn.

	Làm Vạn Anh Mộc xuất hiện lần nữa thời điểm, đã tại một chỗ dưới đất chỗ tránh nạn lối vào.

	"Ah! Là chính nghĩa kiếm khách!"

	Hoảng loạn lưu vong bên trong mọi người, nhìn thấy Vạn Anh Mộc, phảng phất nhìn thấy hi vọng, sợ hãi bất an trên khuôn mặt hiện ra kinh hỉ.

	Lấy tư cách tự do cảng thường trú cấp chính nghĩa liên minh thành viên, lại tăng thêm này thân đặc lập độc hành hoá trang, có thể nhận ra Vạn Anh Mộc người, tự nhiên không ít.

	"Chiếu cố tốt nàng."

	Vạn Anh Mộc nói xong, dỗ hống tiểu cô nương, liền rời đi nơi này.

	Mái nhà cao tầng.

	Dung nham long nữ bốn phía, từng đoàn từng đoàn dung nham hỏa cầu bay lượn, những này hỏa cầu mơ hồ hợp thành một tấm rít gào Long Đầu hình thái, ngăn ở Alpha vua trước người, trầm giọng nói: "Dựa theo sách lịch sử trên ghi chép, ngươi không phải là hẳn là bị phong ấn ư! ?"

	Hơn mười mét rít gào Long Đầu, tại bình thường dưới tình huống, dung nham long nữ đủ để đối một ít khổng lồ thể tích quái vật tạo thành trí mạng sát thương, nhưng đối mặt con này có tới hơn năm mươi tầng nhà lớn độ cao quái vật, vẫn còn quá nhỏ bé chút.

	Vạn vật cân bằng, nhưng mặc kệ cái này Alpha vua còn lại thiếu hụt là cái gì, vẻn vẹn như vậy thể tích, đã đủ để bỏ qua rất nhiều làm thương tổn.

	Một đôi ô tô y hệt khổng lồ con mắt, quan sát trước mặt cái này nhóc tỳ.

	"Rốt cuộc đến dáng dấp giống như con vật nhỏ rồi, hưm hưm hừ."

	Alpha vua răng nanh tinh tinh miệng lớn, um tùm cười, mang theo không nói ra được tàn khốc ý vị.

	"Ta là cái thành phố này nhân loại cấp Thủ Hộ Giả, ngươi phá hoại chấm dứt ở đây, ta đem đại biểu chính nghĩa, đối với ngươi tuyên án!"

	Dung nham long nữ trầm thấp lẩm bẩm mật, hai tay làm ra giao nhau tư thái, từng vòng sóng lửa sóng gợn khuếch tán, dĩ nhiên đem dưới chân kiến trúc cũng đã hòa tan, tạo thành trạng thái lỏng dung nham, lập tức những này dung nham không nhìn lực hút bình thường dung nhập vào của nàng Hỏa Long đầu lâu bên trong, lấy để cho thể tích không ngừng tăng lớn.

	"Cấp áo nghĩa, Hỏa Long rít gào!"

	Rống. . .

	Một đạo nóng rực dung nham dòng nước xiết lao ra,

	Alpha vua thô táo bàn tay đột nhiên chống đối ở trước mắt.

	Lửa nóng dung nham dòng nước xiết kéo dài đến một hồi lâu, theo "Xì xì xì" thiêu đốt thanh âm, dung nham long nữ đình chỉ thổ tức, dưới chân trên đại lầu bán đoạn đã bị dung thiêu đến không ra hình thù gì, hỗn loạn sóng nhiệt, không khí vặn vẹo.

	Alpha vua phát ra "Hưm hưm" tiếng cười.

	"Chỉ là như thế sao?"

	Alpha vua bị dung nham bao trùm thô ráp cánh tay, chậm rãi hạ xuống, có chút tổn thương, cũng không để ý, lộ ra một đôi khinh bạc khinh thường con mắt.

	"Không thể! Tuy rằng dựa theo ghi chép, vị này Alpha vua có không phải bình thường hoàn cảnh thích ứng lực, thông tục tới nói cũng chính là phòng ngự tính, nhưng này dù sao cũng là của mình cấp cuối cùng áo nghĩa, làm sao có khả năng liên thương cùng đều không có làm được!"

	Dung nham long nữ khiếp sợ.

	Bỗng nhiên, Alpha vua một cánh tay khác, lấy kinh người uy thế "Vù" một tiếng đánh tới.

	Cánh tay còn chưa đến, dung nham long nữ Hỏa Long đầu, liền trước một bước tại cao cường ép vặn vẹo phát xuống sinh biến hình.

	Rầm rầm ầm ầm!

	Sau một khắc.

	Dung nham long nữ vị trí nhà lớn, trong khoảnh khắc hóa thành đến một triệu vở vụn thật nhanh thạch, tứ tán bay tán loạn, chen lẫn ở trong đó dung nham long nữ, mặc dù không có chịu đến chính diện xung kích trí mạng thương tích, lại vẫn nhưng rên lên một tiếng, bị cuồn cuộn dung nham bảo vệ chân thể, khí tức khó định.

	XÍU...UU!. . .

	Đúng lúc này.

	Một đạo màu đen tàn ảnh, nhất thiểm liền qua, chính là bởi vì cứu người chậm một bước Vạn Anh Mộc.

	Đen nhánh vô phong trọng kiếm nhắm thẳng vào cái này không gì sánh kịp khổng lồ tinh vượn quái vật, đấu bồng dưới bóng râm, Vạn Anh Mộc hai con mắt một vệt kiên định, lộ ra anh dũng có đi không có về, "Vù" một tiếng, mũi kiếm nhắm thẳng vào vượn đỉnh đầu, rất nhiều yếu một kiếm xuyên suốt xu thế!

	"Uống....uố...ng!"

