Chương 143: Trúng mùa lớn! 
 Converter Dzung Kiều cầu phiếu 

	Cụ già mặt bị đánh bóch bóch vang dội, thừ ra như vậy một giây, sau đó chính là thốt nhiên giận dữ!

	"Là ai!"

	Một tiếng có thể nói là phật môn sư tử hống rầy vang lên, cụ già quay đầu nhìn về phía trên đài đấu giá.

	Một cái hộp gấm đang nhanh chóng lên cao trước, một cây nhỏ yếu sợi tóc sợi tơ từ phòng đấu giá nóc rủ xuống.

	Mở ra trên đài để mười hộp gấm, nhưng bây giờ trong đó vị trí thứ ba đưa hộp gấm đang bị cái này sợi tơ treo nhanh chóng bay lên không.

	Cụ già dám đem mười kiện áp trục bảo vật đặt ở trên đài là đối với thực lực mình tự tin, chính là long đồ hoàng triều, người mạnh nhất cũng bất quá là trúc cơ đỉnh cấp thôi, có thể nói ở mình mí mắt hạ, những thứ này vật đấu giá chính là an toàn nhất!

	"Chém!" Cụ già giận dữ, tay bóp pháp quyết, một đạo màu vàng kim chỉ lớn chừng bàn tay phi kiếm từ lão bên trong cơ thể bay ra, hướng sợi tơ chém tới!

	Cụ già tràn đầy tự tin, cái này một chuôi phi kiếm nhưng mà dùng canh kim chế tạo mà thành, đi qua mình đến gần trăm năm pháp lực ân cần săn sóc, chính là một tòa thành tường cũng có thể bị chém ra! Huống chi là một cây sợi tơ?

	Ở trong hội trường mọi người nhìn chăm chú dưới, màu vàng phi kiếm ngay tức thì đột phá ba lần tốc độ âm thanh!

	Một cái chớp mắt thời gian cũng không có đến, phi kiếm liền xuất hiện ở tơ nhỏ trước mặt!

	"Đinh!"

	Sợi tơ bị chuôi này phi kiếm chém trúng, nhưng không ngờ không có bị chém đứt!

	Canh kim phi kiếm truyền tới một cổ khổng lồ lực lượng, mang sợi tơ đụng vào nhà đấu giá trên vách tường!

	Tựa như cùng trên đất bùn dùng đao chém một đoạn dây thép vậy, dây thép sẽ bị đao lực đạo chém vào trong đất bùn, nhiều nhất sẽ cong, mà sẽ không đoạn.

	"Ừ ? Chuyện gì xảy ra?"

	Cụ già sắc mặt đại biến, chuôi này tâm huyết của mình tế luyện mà thành phi kiếm lại có thể cùng mình mất đi liên lạc!

	"Đây là tu chân thế giới! Chuôi phi kiếm màu vàng này tốc độ thật nhanh! Lực lượng thật là lớn!" Bắc Phong ngồi ở bên trên giếng cổ, thông qua lưỡi câu đặc thù tầm mắt thấy được cái này đem lớn chừng bàn tay phi kiếm sau sắc mặt đại biến!

	"Không được! Phải nhanh chóng đem lưỡi câu dây câu thu hồi lại!" Bắc Phong lộp bộp tự nói, sau đó nhanh chóng chuyển động tuyến bàn.

	Bây giờ chẳng qua là một chuôi phi kiếm mà thôi, dây câu còn không có đoạn, nếu là gặp phải một vị Tu Chân giới đại năng, vậy thì thảm!

	Trong phòng đấu giá, tất cả gia tộc lớn lão thần nơi nơi ngồi tại chỗ, đây là phòng đấu giá sự việc, mình các người chỉ cần xem cuộc vui là được.

	"Phi kiếm thật là mạnh! Thanh kiếm nầy tuyệt đối là một kiện linh khí!" Cảm giác được phi kiếm ở trên truyền tới kinh người mũi nhọn, một người khiếp sợ nói.

	"Đúng vậy, cũng không biết là người nào, lại có thể lá gan lớn như vậy, dám ở Thiên Bảo các trong táy máy tay chân!"

	Trong hội trường mọi người xa xa rời đi cụ già bên cạnh, để tránh bị vạ lây người vô tội, nhìn thanh phi kiếm này, mọi người bàn luận sôi nổi.

	Một người đột nhiên mở miệng nói, "Kỳ quái, hộp gấm kia còn treo trên không trung, chẳng lẽ phi kiếm này không có thể chặt đứt cái này sợi tơ?"

	Nói chuyện người nọ trong giọng nói tràn đầy chần chờ, tựa như mình cũng không dám tin tưởng cái suy đoán này!

	Đây chính là hạ phẩm linh khí à! Cho dù là cấp thấp nhất linh khí cũng không phải pháp khí có thể so sánh!

