Chương 534: Thiên Biến chức năng đào! 
 Converter Dzung Kiều cầu khen thưởng 

	Bắc Phong cả người trong đầu tựa như vạch qua một tia chớp, đánh nát che lấp!

	Một cái ý nghĩ đột nhiên ở trong đầu nổi lên, Bắc Phong cả người thân thể đều là khẽ run lên, đây là đang hưng phấn!

	"Thiên Biến đã cùng ta tự thân hòa làm một thể, chẳng phân biệt được lẫn nhau, nếu là như vầy nói. . ."

	Bắc Phong tự lẩm bẩm, càng nói ánh mắt càng sáng, giống như gặp được mỹ nữ tuyệt thế vậy.

	"Vèo!"

	Một chuôi màu đen thùi lùi trường kiếm ở Bắc Phong trong tay tạo thành, rồi sau đó không gặp Bắc Phong có bất kỳ động tác, màu đen thùi lùi kiếm ngay tức thì phá không rời đi, biến mất không gặp!

	"Ha ha, quả nhiên như vậy!" Bắc Phong nhìn trong bàn tay đi mà trở lại màu đen thui trường kiếm, phá lên cười.

	"Thiên Biến đã coi như là ta tự thân một bộ phận, liền liền trong linh hồn cũng sáp nhập vào Thiên Biến, quả nhiên là có thể dùng tinh thần lực tới khống chế."

	Bắc Phong khóe miệng lộ vẻ cười, nhìn 800m bên ngoài một khối to lớn đá cuội không tiếng động phân vì 2 đoạn, hơn nửa bộ đã bắt đầu chậm rãi nghiêng.

	Bất quá đây không phải là Bắc Phong cao hứng nguyên nhân chủ yếu, bất quá là dùng tinh thần lực điều khiển binh khí thôi, còn không đáng giá Bắc Phong cao như vậy hưng.

	Chân chính để cho Bắc Phong cao hứng chính là Thiên Biến chân chính năng lực, nếu như đem Thiên Biến dung nhập vào còn lại võ giả trong thân thể, đây chẳng phải là nắm trong tay đối phương sống chết? !

	"Lữ Bố." Nghĩ tới đây một chút sau đó, Bắc Phong mở miệng kêu lên, thanh âm tụ thành một bó, truyền đến Lữ Bố bên tai.

	"Có thuộc hạ!"

	Lữ Bố vội vàng chạy tới, không dám thờ ơ.

	"Đi cho ta bắt mấy con yêu thú trở lại, phải sống, trăm năm cảnh đến một cái tầng bốn yêu thú ta đều phải."

	Bắc Phong phân phó, cái này dẫu sao chẳng qua là mình một cái ý nghĩ, được hay không được còn khác nói, là lấy giai đoạn thí nghiệm Bắc Phong định dùng yêu thú tới thử nghiệm.

	"Ừ!"

	Lữ Bố gật đầu một cái, mang theo mấy người rời đi thung lũng.

	Bắc Phong cũng không có thỏa mãn nơi này, xoay người trở lại về thung lũng chỗ sâu.

	"Phốc!"

