Chương 1121: Ta muốn ngươi lòng! 
 Converter Dzung Kiều cầu phiếu 

	"Nơi này là địa phương nào?"

	Bắc Phong đánh giá trước mắt hoàn cảnh, một bước bước vào cửa ánh sáng sau đó, mình liền xuất hiện ở nơi đây.

	Bốn phía chỉ có tự mình một người, ở mình trước tiến vào mấy người không thấy bóng dáng.

	Mà dưới mắt Bắc Phong nhà hoàn cảnh chính là một cái lối đi, để cho người cảm thấy sợ hãi chính là cái này một cái lối đi hai bên không phải đất đá tạo thành, mà là ánh sáng màu đỏ tươi như máu dầm dề cục thịt tạo thành!

	Trong không khí tràn ngập đậm đà mùi máu tanh, để cho Bắc Phong nhíu mày một cái, có chút không thoải mái.

	"Bóch chít chít!"

	Bước ra một bước, ngẩng đầu nhìn về phía giầy phần đáy, đó là sền sệch máu tươi.

	"Nơi này có cái gì không đúng, cứ việc ta thực lực không có lại bị áp chế, có thể ta có thể cảm giác được ta thân thể đang đang trôi qua khí huyết, hơn nữa mất đi khí huyết tốc độ rất nhanh, ước chừng là một năm chừng cũng sẽ bị hoàn toàn chiếm đoạt không còn một mống."

	Bắc Phong làm sao xem nơi đây đều cảm giác không giống như là một cái địa phương tốt, tràn đầy tà dị.

	Mà hết lần này tới lần khác tông môn bảo khố liền thành lập ở chỗ này.

	"Đạp đạp!"

	Bắc Phong từng bước một về phía trước đi tới, yên tĩnh đồng đạo trong chỉ có Bắc Phong tiếng bước chân vang vọng.

	Bắc Phong cảm giác mình tựa như là ở một đầu lớn vô cùng sinh vật trong cơ thể.

	"Ông!"

	Làm Bắc Phong đi về phía trước sau một khoảng thời gian, phía trước đã không đường, lúc này Bắc Phong lòng bàn tay con dấu thả ra ánh sáng rực rỡ, lơ lửng ra Bắc Phong lòng bàn tay, rồi sau đó trở nên lớn.

	Một cái cối xay lớn nhỏ con dấu vô căn cứ lơ lửng ở giữa không trung, chậm rãi về phía trước chận lại máu thịt rơi xuống.

	"Xuy xuy!"

	Làm ấn ký này rơi vào máu thịt hình thành trên tường lúc đó, chỉ thấy máu thịt rối rít ở chạm được con dấu nháy mắt bắt đầu nụ cười, toát ra nhiều khói mù.

	Chận lại máu thịt tan rã, lộ ra sau lưng lối đi.

	Bắc Phong bước tiến vào trong đó, không khỏi trố mắt nghẹn họng.

	Xuất hiện ở Bắc Phong trước mắt chính là một mảnh lớn vô cùng kinh mạch Internet, rậm rạp chằng chịt đan vào một chỗ, bước ngang qua mấy trăm dặm không gian.

	Từng cổ một huyết dịch ở những kinh mạch này mạch máu trong thật nhanh dâng trào, tản mát ra uy áp đáng sợ.

	Mỗi 1 dây thần kinh mạch mạch máu đều là như thủy tinh vậy sáng chói, trong đó huyết dịch giống như tinh thể, mượt mà, phong phú, tản ra như núi bất động vậy mênh mông uy áp!

	Càng làm cho Bắc Phong cảm thấy kinh dị chính là ở nơi này một bộ lớn vô cùng kinh mạch mạch máu Internet trên có chút từng cái xe ngựa lớn nhỏ giống như thịt nhọt giống vậy máu thịt tồn tại.

	Những thứ máu này thịt đoàn nhìn như gồ ghề, thỉnh thoảng còn nhỏ xuống một ít huyết dịch, nhìn như chán ghét vô cùng.

	"Loài người, nói ra ngươi yêu cầu vật phẩm!"

	Một hồi vô cùng to lớn ý niệm trực tiếp hồi phục, truyền vào Bắc Phong trong ý nghĩ.

	Để cho Bắc Phong đều là bất thình lình bị sợ hết hồn, hồi lâu phục hồi tinh thần lại sau đó, mới tỉnh táo lại.

	"Ta cần không trung gặp nguyên!"

	Bắc Phong trầm giọng vừa nói, bỏ mặc đạo thanh âm này là cái gì, lúc này Bắc Phong chỉ muốn nhanh lên một chút rời đi nơi đây.

	"Có thể!"

	Vô cùng to lớn ý niệm ở Bắc Phong trong đầu vang lên, rồi sau đó giữa không trung vậy vô số sống nhờ ở kinh mạch mạch máu Internet trên trong đó một viên quả cầu thịt thoát khỏi kinh mạch, chậm rãi hạ xuống.

	"Ba!"

	Quả cầu thịt ở Bắc Phong dưới mắt nứt ra, trong đó là một khối kết tinh, kết tinh trong bao gồm là một phần mờ mịt không chừng chất khí.

	"Không trung gặp nguyên, giá bán ba trăm triệu điểm cống hiến."

	Hoằng lớn thanh âm ở Bắc Phong trong đầu vang lên, rồi sau đó càng ngày càng yếu ớt, cuối cùng biến mất không gặp.

	Bắc Phong đưa tay cầm bọc không trung gặp nguyên tinh thể, rồi sau đó xoay người rời đi.

