Chương 4: Như ngươi mong muốn! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Thực lực bắt đầu khôi phục sau đó, Bắc Phong cũng không muốn không mè nheo nữa đi xuống.

	"Phương thế giới này chính là mộ đạo, giai đoạn trước tu hành cùng võ giả tầm thường cũng không có khác biệt, có thể đến đại năng giả cảnh giới sau đó, lại muốn có tăng lên, thì nhất định phải gia nhập mộ đạo, hưởng thụ hương khói cung phụng, phải Thiên đạo thừa nhận, hạ xuống đại đạo hình chiếu."

	Thiên đạo là một cái củ cà rốt một cái hố, nhưng đại đạo nhưng có thể phân hóa muôn vàn.

	Không cần lo lắng đại đạo chưa đủ.

	"Như vậy thì mau sớm nắm trong tay phương này vương triều, lập được hương khói, cung phụng cùng ta."

	Bắc Phong cười khẽ, thân thể biến mất không gặp.

	Một lần nữa lúc xuất hiện, đã đến Phượng Nghi lâu phía trước.

	Vẫn là vậy một bộ dáng, thậm chí trên mình còn ăn mặc tả tơi Ma Y, chỉ có cả người khí thế nhưng là long trời lỡ đất, trong mắt càng giống như là hàm chứa một phương vũ trụ, sâu không thấy đáy!

	Bắc Phong nhấc chân, hướng trong Phượng Nghi lầu đi tới.

	Đáp lời đứng ở cửa hai vị hảo thủ không có nửa điểm để ý tới.

	Chính là một phương vương triều mà thôi, không cần dùng để cho thực lực bắt đầu khôi phục Bắc Phong kiêng kỵ.

	Vương triều quá nhiều, ở Trấn Ma tinh thượng, vương triều nhiều như vì sao dày đặc.

	"Còn dám tới đây? Mau cút!"

	Đang đang nói chuyện trời đất hai người gặp Bắc Phong đi tới, rối rít bịt mũi, giống như là ngửi được cái gì mùi khó ngửi vậy.

	Một người khác chính là hung tợn đưa ngón tay ra, chỉ Bắc Phong mắng.

	Nơi này chính là Phượng Nghi lâu, tầm thường đạt quan quý nhân đi vào chơi một đêm cũng phải phá sản, chỉ có thần quan, mới có sức chống đỡ tiêu hao.

