Chương 96: Thả câu tinh thần! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Giữ lại ngươi, ta như thế nào đối mặt chết đi tộc nhân?"

	Bắc Phong thần sắc cực kỳ lạnh lùng, Thiên đạo lực trùng tiêu, tan biến đúng cái ngôi sao tràng vực!

	Đại đạo chẳng qua là núp ở trong thiên địa, cũng không phải là núp ở tinh thần trong!

	Chỉ phải có đánh vỡ cả thế giới quy tắc lực lượng, cũng đủ để từ căn nguyên thượng tướng hắn xóa đi!

	Nếu không muốn là thật chỉ có thể đánh nát tinh thần, như vậy còn lại cao nhất tinh thần hợp nhất cảnh thần linh há chẳng phải là bất tử bất diệt?

	Một viên cao nhất tinh thần, trừ Bất Hủ cảnh ra tay, không người có thể đem phá hủy!

	Là lấy muốn xóa đi thần linh dung hợp ở trong thiên địa đại đạo, cũng không phải là muốn đánh toái tinh thần mới được!

	Trong chỗ u minh, Thiên đạo lực to lớn vô cùng, đánh vỡ thiên địa giam cầm!

	Một mảnh đặc thù khu vực xuất hiện, bên trong rất nhiều đại đạo bơi, đây là căn nguyên!

	Thiên đạo cuồng bạo như rồng ngay tức thì xông vào trong đó, tan biến từng cái đại đạo!

	"Tước đoạt!"

	Bắc Phong giờ phút này đưa tay hư không một trảo, từ Thường Điễn thân thể bên trong gắng gượng lấy ra tới mấy chục cái đại đạo!

	"Không! Ngươi không thể như vậy! Ta Dực tộc sẽ không bỏ qua ngươi!"

	Thường Điễn kêu thảm thiết, đại đạo căn nguyên bị phai mờ, tự thân đại đạo lại bị Bắc Phong gắng gượng tự thân thân thể bên trong trừu ly, loại đau khổ này vô cùng mãnh liệt!

	Để cho một tôn thần minh đều là không chịu nổi!

	Bắc Phong không có chút nào không đành lòng, hai người bây giờ này tiêu người trưởng, dưới mắt gắng gượng tước đoạt Thường Điễn đại đạo, cũng không phải việc khó!

	"Hôm nay ta chiến lực có thể so với thần ma cảnh, hai cái Thiên đạo thêm thân, cứ việc trong đó một cái còn chưa luyện hóa, ngoài ra một cái cũng chỉ là tạm thời tồn tại, nhưng cái này vậy là đủ rồi!"

	Xem vậy không xem bị tước đoạt đại đạo sau đó, trực tiếp tan vỡ, lại cũng không có sống lại Thường Điễn, Bắc Phong trong mắt lóe dã tâm!

	Nếu là trước Bắc Phong làm xong hết thảy các thứ này, khẳng định đã trở về.

	Nhưng bây giờ bất đồng, đúng viên Dực Hoàng tinh ở cùng mình trong đối kháng thất bại, như vậy toàn bộ Dực Hoàng tinh đối với mình mà nói, không uy hiếp nữa!

	"Một viên siêu cấp tinh thần, không biết sẽ có nhiều ít thả câu kinh nghiệm!"

	Bắc Phong nghĩ tới đây, trên mặt lộ ra cười ngây ngô.

	"Bất quá ở chỗ này trước, còn có việc phải làm, người ta tộc nhân người như rồng, há lại là Dực tộc có thể giam cầm!"

	"Thiên đạo vô thường, người người như rồng, phong ấn mở!"

	Dực Hoàng tinh Thiên đạo bị trấn áp tại trong cơ thể, còn chưa kịp luyện hóa, mà người chi Thiên đạo chính là là Bắc Phong sử dụng!

	Giờ phút này Bắc Phong du ngoạn Cửu Thiên, như tiên người xuống trần!

	Thanh âm ở Thiên đạo lực gia trì dưới, truyền khắp cả thế giới!

	Ở cuộc chiến đấu này trong, còn chưa rơi xuống Dực tộc cùng tộc người rối rít ngẩng đầu, nhìn về phía trời cao!

	Chỉ thấy hết mang biến mất không gặp, trời đất bị mây đen bao phủ!

	1 bản to lớn đến bao phủ đúng cái ngôi sao mặt mũi hiện lên, chỉ như vậy xem xuống phía dưới đất đai!

	Lôi xà lượn, hư không tan biến!

	Nhân đạo khí bắt đầu hồi phục, cường thịnh!

	Mở kỷ nguyên mới!

	Thiên đạo, đạo trời!

	Điều khiển Thiên đạo, nói sao làm vậy!

	Bắc Phong một lời dưới, từng vị tộc người thân thể chỗ sâu phong ấn nhất thời tan biến!

	Vô số tộc người mừng đến chảy nước mắt, tu vi rối rít chợt tăng!

	"Dực tộc làm giết!"

	Lại một lời rơi xuống, bầu trời đột nhiên một lần, vô số Lôi Đình ầm ầm hạ xuống, tan biến đất đai!

	Bất kể là phổ thông Dực tộc, vẫn là thánh nhân cảnh Dực tộc, ở nơi này chút Lôi Đình dưới, cũng chỉ có chết!

	Sống chết trước mặt, Dực tộc ngang hàng, chẳng qua là có thực lực Dực tộc bị chết trễ một chút.

	"Cái này chính là Thiên đạo lực, khủng bố như vậy!"

	Bắc Phong có chút chìm đắm, một lời nhưng quyết dù sao cũng sinh linh sống chết!

	Loại cường đại này lực lượng, để cho Bắc Phong đều là kinh hãi!

	Thiên đạo bắt đầu cùng Bắc Phong dung hợp, không hề bài xích Bắc Phong.

	Bắc Phong coi như là cứu toàn bộ Dực Hoàng tinh tộc người, sửa lại bọn họ vận mệnh.

	Có thể nói là con thiên mệnh, mọi người nhìn nơi thuộc về!

	Lớn như vậy chiến công, để cho Thiên đạo đối với Bắc Phong đồng ý, không hề bài xích Bắc Phong!

	Mà bị trấn áp ở trong người khác một cái Thiên đạo, thì bởi vì là toàn bộ Dực Hoàng tinh lên Dực tộc bị xóa diệt, bị thương nặng!

	"Nên rời đi."

	Bắc Phong tự nói, ở bên ngoài tinh không nhìn xuống phía dưới tinh thần.

	Đầu tiên là đem cả nhân tộc trực tiếp đưa vào tự thân trong tiểu thế giới tu dưỡng, rồi sau đó Bắc Phong thực lực bùng nổ!

	" Lên !"

	Vô số cổ khổng lồ lực lượng từ Bắc Phong trong cơ thể bắn tán loạn ra!

	Từng cổ một lực lượng hóa làm khóa liên, đem đúng ngôi sao buộc lại!

	Đáng sợ lực lượng rung chuyển tinh thần, để cho ngôi sao vận chuyển dừng lại!

	Tinh thần trên, biển khơi run lên, rồi sau đó đột nhiên tung lên cao đến vạn trượng sóng gió kinh hoàng, cuốn tinh thần bề ngoài, phá hủy hết thảy!

	" Lên !"

	Bắc Phong rống to, từng cái gân xanh như mãng, dữ tợn kinh người!

	Trong cơ thể lực lượng đang lấy tốc độ cực nhanh chạy mất!

	Lấy tự thân lực, thả câu một ngôi sao!

	"Ầm!"

	Ở Bắc Phong không để ý giá cao dưới sự thúc giục, đáng sợ lực lượng rung chuyển tinh thần, để cho tinh thần thoát khỏi nguyên bản chỗ ở vị trí, hướng Bắc Phong tới!

	"Chẳng qua là một cái ký sinh thể, chỉ cần Thiên đạo không mất, đại đạo không tích trữ, cho dù là cháy hết thảy, cũng là đáng giá!"

	Bắc Phong bùng nổ, tám bước đuổi con ve dưới, thời không biến ảo không chừng!

	Đáng sợ lực lượng thành bội bùng nổ!

	Vô số cổ lực lượng như dây câu, kéo tới đúng ngôi sao di chuyển!

	"Hệ thống, bắt đầu trở về!"

	Bắc Phong mắt lạnh đứng xem hết thảy các thứ này, một thân lực lượng toàn bộ quán chú tiến vào chân linh!

	Thân xác khô khốc, đêm nha chân linh từ đỉnh đầu phá ra, phảng phất thiêu đốt ngọn lửa màu đen!

	Khổng lồ đêm nha chân linh trên thân thể, vô số lực lượng xiềng xích cùng phía dưới tinh thần một thể!

	Oanh!

	Hư không bị hệ thống đánh vỡ, lộ ra một cái huyền diệu khó giải thích lối đi!

	Bắc Phong khổng lồ đêm nha chân linh càng phát ra đến gần lối đi, chân linh càng ngày càng nhỏ!

	Đồng thời kéo ở sau lưng tinh thần thể tích cũng là thu nhỏ lại!

	Cho đến tiến vào bên trong lối đi, biến mất không gặp!

	Ngân hà trong, đột nhiên mất đi một viên siêu cấp tinh thần, nhất thời đưa tới một loạt biến cố!

	Ở siêu cấp tinh thần rời đi vị trí, hư không nổ tung, hiện ra một viên hạt mè lớn nhỏ điểm đen.

	Điểm đen mặc dù nhỏ, nhưng bùng nổ ánh sáng, nhưng là phóng xạ trăm triệu hàng tỷ bên trong!

	Khuấy động ngân hà!

	Bốn phía thời không bị vặn vẹo, hư không tan biến!

	Không gian phơi bày ra khung, từng cái vặn vẹo mở rộng hướng phương xa!

	Vô tận chiếm đoạt lực từ trong đó truyền tới, hút dắt vùng lân cận hết thảy!

	Làm đạt đến cực hạn sau đó, ầm ầm nổ!

	Sóng trùng kích chấn động vô số ngôi sao!

	Hắc Trạch tinh, Âm Dương gia chỗ ở khu vực vô cùng to lớn!

	Nơi này cùng địa phương còn lại hoàn toàn là hai cái địa phương!

	Vô tận linh khí đậm đà vô cùng, chính là một nơi nơi tạo hóa!

	Khu vực này chính là một nơi tiết điểm, mà như vậy tiết điểm ở toàn bộ Hắc Trạch tinh lên không được hơn ngàn.

	Chỉ là Âm Dương gia chỗ ở chỗ này tiết điểm, bên trong linh khí cùng áp lực kinh khủng, khiến cho ở nơi này một mảnh trong khu vực ra đời đứa bé thực lực liền có thể so với phong đế cảnh, thậm chí còn có số rất ít vừa sanh ra liền có thánh nhân lực lượng!

	Mà ở tiết một chút ra, tầm thường tộc người thực lực vừa sanh ra thực lực phổ biến ở tiên thiên cảnh.

	Như vậy chênh lệch lớn, không cách nào tưởng tượng!

	Chẳng qua là Tần triều có đại địch, tùy thời có thể xuất hiện!

	Không thể không đánh trúng tài nguyên, trước hết để cho một nhóm người cường đại lên!

	Muốn người người như rồng, như vậy liền phải trả giá thật lớn!

	Mà đây giá phải trả chính là lưỡng cực hóa, chênh lệch đạt tới không cách nào tưởng tượng.

	Cũng may có tần trong đội cường giả không lúc nào đều ở đây bắt tinh thần dung nhập vào Hắc Trạch tinh, lúc này mới để cho không thuộc về tiết điểm ở giữa phổ thông bên trong khu vực tộc người thực lực không phải quá yếu.

	Âm Dương gia bên trong, Bắc Phong chân linh nháy mắt hạ xuống!

	Đáng sợ chập chờn tràn ngập, chấn nhiếp bát phương!

	Không giữ lại chút nào thần ma cảnh lực lượng chập chờn để cho vô số Âm Dương gia đệ tử ngẩng đầu nhìn lên trời cao!Chương 96: Thả câu tinh thần! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Giữ lại ngươi, ta như thế nào đối mặt chết đi tộc nhân?"

	Bắc Phong thần sắc cực kỳ lạnh lùng, Thiên đạo lực trùng tiêu, tan biến đúng cái ngôi sao tràng vực!

	Đại đạo chẳng qua là núp ở trong thiên địa, cũng không phải là núp ở tinh thần trong!

	Chỉ phải có đánh vỡ cả thế giới quy tắc lực lượng, cũng đủ để từ căn nguyên thượng tướng hắn xóa đi!

	Nếu không muốn là thật chỉ có thể đánh nát tinh thần, như vậy còn lại cao nhất tinh thần hợp nhất cảnh thần linh há chẳng phải là bất tử bất diệt?

	Một viên cao nhất tinh thần, trừ Bất Hủ cảnh ra tay, không người có thể đem phá hủy!

	Là lấy muốn xóa đi thần linh dung hợp ở trong thiên địa đại đạo, cũng không phải là muốn đánh toái tinh thần mới được!

	Trong chỗ u minh, Thiên đạo lực to lớn vô cùng, đánh vỡ thiên địa giam cầm!

	Một mảnh đặc thù khu vực xuất hiện, bên trong rất nhiều đại đạo bơi, đây là căn nguyên!

	Thiên đạo cuồng bạo như rồng ngay tức thì xông vào trong đó, tan biến từng cái đại đạo!

	"Tước đoạt!"

	Bắc Phong giờ phút này đưa tay hư không một trảo, từ Thường Điễn thân thể bên trong gắng gượng lấy ra tới mấy chục cái đại đạo!

	"Không! Ngươi không thể như vậy! Ta Dực tộc sẽ không bỏ qua ngươi!"

	Thường Điễn kêu thảm thiết, đại đạo căn nguyên bị phai mờ, tự thân đại đạo lại bị Bắc Phong gắng gượng tự thân thân thể bên trong trừu ly, loại đau khổ này vô cùng mãnh liệt!

	Để cho một tôn thần minh đều là không chịu nổi!

	Bắc Phong không có chút nào không đành lòng, hai người bây giờ này tiêu người trưởng, dưới mắt gắng gượng tước đoạt Thường Điễn đại đạo, cũng không phải việc khó!

	"Hôm nay ta chiến lực có thể so với thần ma cảnh, hai cái Thiên đạo thêm thân, cứ việc trong đó một cái còn chưa luyện hóa, ngoài ra một cái cũng chỉ là tạm thời tồn tại, nhưng cái này vậy là đủ rồi!"

	Xem vậy không xem bị tước đoạt đại đạo sau đó, trực tiếp tan vỡ, lại cũng không có sống lại Thường Điễn, Bắc Phong trong mắt lóe dã tâm!

	Nếu là trước Bắc Phong làm xong hết thảy các thứ này, khẳng định đã trở về.

	Nhưng bây giờ bất đồng, đúng viên Dực Hoàng tinh ở cùng mình trong đối kháng thất bại, như vậy toàn bộ Dực Hoàng tinh đối với mình mà nói, không uy hiếp nữa!

	"Một viên siêu cấp tinh thần, không biết sẽ có nhiều ít thả câu kinh nghiệm!"

	Bắc Phong nghĩ tới đây, trên mặt lộ ra cười ngây ngô.

	"Bất quá ở chỗ này trước, còn có việc phải làm, người ta tộc nhân người như rồng, há lại là Dực tộc có thể giam cầm!"

	"Thiên đạo vô thường, người người như rồng, phong ấn mở!"

	Dực Hoàng tinh Thiên đạo bị trấn áp tại trong cơ thể, còn chưa kịp luyện hóa, mà người chi Thiên đạo chính là là Bắc Phong sử dụng!

	Giờ phút này Bắc Phong du ngoạn Cửu Thiên, như tiên người xuống trần!

	Thanh âm ở Thiên đạo lực gia trì dưới, truyền khắp cả thế giới!

	Ở cuộc chiến đấu này trong, còn chưa rơi xuống Dực tộc cùng tộc người rối rít ngẩng đầu, nhìn về phía trời cao!

	Chỉ thấy hết mang biến mất không gặp, trời đất bị mây đen bao phủ!

	1 bản to lớn đến bao phủ đúng cái ngôi sao mặt mũi hiện lên, chỉ như vậy xem xuống phía dưới đất đai!

	Lôi xà lượn, hư không tan biến!

	Nhân đạo khí bắt đầu hồi phục, cường thịnh!

	Mở kỷ nguyên mới!

	Thiên đạo, đạo trời!

	Điều khiển Thiên đạo, nói sao làm vậy!

	Bắc Phong một lời dưới, từng vị tộc người thân thể chỗ sâu phong ấn nhất thời tan biến!

	Vô số tộc người mừng đến chảy nước mắt, tu vi rối rít chợt tăng!

	"Dực tộc làm giết!"

	Lại một lời rơi xuống, bầu trời đột nhiên một lần, vô số Lôi Đình ầm ầm hạ xuống, tan biến đất đai!

	Bất kể là phổ thông Dực tộc, vẫn là thánh nhân cảnh Dực tộc, ở nơi này chút Lôi Đình dưới, cũng chỉ có chết!

	Sống chết trước mặt, Dực tộc ngang hàng, chẳng qua là có thực lực Dực tộc bị chết trễ một chút.

	"Cái này chính là Thiên đạo lực, khủng bố như vậy!"

	Bắc Phong có chút chìm đắm, một lời nhưng quyết dù sao cũng sinh linh sống chết!

	Loại cường đại này lực lượng, để cho Bắc Phong đều là kinh hãi!

	Thiên đạo bắt đầu cùng Bắc Phong dung hợp, không hề bài xích Bắc Phong.

	Bắc Phong coi như là cứu toàn bộ Dực Hoàng tinh tộc người, sửa lại bọn họ vận mệnh.

	Có thể nói là con thiên mệnh, mọi người nhìn nơi thuộc về!

	Lớn như vậy chiến công, để cho Thiên đạo đối với Bắc Phong đồng ý, không hề bài xích Bắc Phong!

	Mà bị trấn áp ở trong người khác một cái Thiên đạo, thì bởi vì là toàn bộ Dực Hoàng tinh lên Dực tộc bị xóa diệt, bị thương nặng!

	"Nên rời đi."

	Bắc Phong tự nói, ở bên ngoài tinh không nhìn xuống phía dưới tinh thần.

	Đầu tiên là đem cả nhân tộc trực tiếp đưa vào tự thân trong tiểu thế giới tu dưỡng, rồi sau đó Bắc Phong thực lực bùng nổ!

	" Lên !"

	Vô số cổ khổng lồ lực lượng từ Bắc Phong trong cơ thể bắn tán loạn ra!

	Từng cổ một lực lượng hóa làm khóa liên, đem đúng ngôi sao buộc lại!

	Đáng sợ lực lượng rung chuyển tinh thần, để cho ngôi sao vận chuyển dừng lại!

	Tinh thần trên, biển khơi run lên, rồi sau đó đột nhiên tung lên cao đến vạn trượng sóng gió kinh hoàng, cuốn tinh thần bề ngoài, phá hủy hết thảy!

	" Lên !"

	Bắc Phong rống to, từng cái gân xanh như mãng, dữ tợn kinh người!

	Trong cơ thể lực lượng đang lấy tốc độ cực nhanh chạy mất!

	Lấy tự thân lực, thả câu một ngôi sao!

	"Ầm!"

	Ở Bắc Phong không để ý giá cao dưới sự thúc giục, đáng sợ lực lượng rung chuyển tinh thần, để cho tinh thần thoát khỏi nguyên bản chỗ ở vị trí, hướng Bắc Phong tới!

	"Chẳng qua là một cái ký sinh thể, chỉ cần Thiên đạo không mất, đại đạo không tích trữ, cho dù là cháy hết thảy, cũng là đáng giá!"

	Bắc Phong bùng nổ, tám bước đuổi con ve dưới, thời không biến ảo không chừng!

	Đáng sợ lực lượng thành bội bùng nổ!

	Vô số cổ lực lượng như dây câu, kéo tới đúng ngôi sao di chuyển!

	"Hệ thống, bắt đầu trở về!"

	Bắc Phong mắt lạnh đứng xem hết thảy các thứ này, một thân lực lượng toàn bộ quán chú tiến vào chân linh!

	Thân xác khô khốc, đêm nha chân linh từ đỉnh đầu phá ra, phảng phất thiêu đốt ngọn lửa màu đen!

	Khổng lồ đêm nha chân linh trên thân thể, vô số lực lượng xiềng xích cùng phía dưới tinh thần một thể!

	Oanh!

	Hư không bị hệ thống đánh vỡ, lộ ra một cái huyền diệu khó giải thích lối đi!

	Bắc Phong khổng lồ đêm nha chân linh càng phát ra đến gần lối đi, chân linh càng ngày càng nhỏ!

	Đồng thời kéo ở sau lưng tinh thần thể tích cũng là thu nhỏ lại!

	Cho đến tiến vào bên trong lối đi, biến mất không gặp!

	Ngân hà trong, đột nhiên mất đi một viên siêu cấp tinh thần, nhất thời đưa tới một loạt biến cố!

	Ở siêu cấp tinh thần rời đi vị trí, hư không nổ tung, hiện ra một viên hạt mè lớn nhỏ điểm đen.

	Điểm đen mặc dù nhỏ, nhưng bùng nổ ánh sáng, nhưng là phóng xạ trăm triệu hàng tỷ bên trong!

	Khuấy động ngân hà!

	Bốn phía thời không bị vặn vẹo, hư không tan biến!

	Không gian phơi bày ra khung, từng cái vặn vẹo mở rộng hướng phương xa!

	Vô tận chiếm đoạt lực từ trong đó truyền tới, hút dắt vùng lân cận hết thảy!

	Làm đạt đến cực hạn sau đó, ầm ầm nổ!

	Sóng trùng kích chấn động vô số ngôi sao!

	Hắc Trạch tinh, Âm Dương gia chỗ ở khu vực vô cùng to lớn!

	Nơi này cùng địa phương còn lại hoàn toàn là hai cái địa phương!

	Vô tận linh khí đậm đà vô cùng, chính là một nơi nơi tạo hóa!

	Khu vực này chính là một nơi tiết điểm, mà như vậy tiết điểm ở toàn bộ Hắc Trạch tinh lên không được hơn ngàn.

	Chỉ là Âm Dương gia chỗ ở chỗ này tiết điểm, bên trong linh khí cùng áp lực kinh khủng, khiến cho ở nơi này một mảnh trong khu vực ra đời đứa bé thực lực liền có thể so với phong đế cảnh, thậm chí còn có số rất ít vừa sanh ra liền có thánh nhân lực lượng!

	Mà ở tiết một chút ra, tầm thường tộc người thực lực vừa sanh ra thực lực phổ biến ở tiên thiên cảnh.

	Như vậy chênh lệch lớn, không cách nào tưởng tượng!

	Chẳng qua là Tần triều có đại địch, tùy thời có thể xuất hiện!

	Không thể không đánh trúng tài nguyên, trước hết để cho một nhóm người cường đại lên!

	Muốn người người như rồng, như vậy liền phải trả giá thật lớn!

	Mà đây giá phải trả chính là lưỡng cực hóa, chênh lệch đạt tới không cách nào tưởng tượng.

	Cũng may có tần trong đội cường giả không lúc nào đều ở đây bắt tinh thần dung nhập vào Hắc Trạch tinh, lúc này mới để cho không thuộc về tiết điểm ở giữa phổ thông bên trong khu vực tộc người thực lực không phải quá yếu.

	Âm Dương gia bên trong, Bắc Phong chân linh nháy mắt hạ xuống!

	Đáng sợ chập chờn tràn ngập, chấn nhiếp bát phương!

	Không giữ lại chút nào thần ma cảnh lực lượng chập chờn để cho vô số Âm Dương gia đệ tử ngẩng đầu nhìn lên trời cao!
