Chương 1034: Cầu khẩn khó khăn, đắc đạo khó khăn! 
 Converter Dzung Kiều cầu khen thưởng 

	Lần này nhiệm vụ mặc dù khó khăn, giống nhau thù lao cũng hết sức phong phú.

	Để cho một vị nửa hoàng đột phá đến Nhân hoàng cảnh cần tài nguyên không thể bảo là không nặng!

	Chỉ là Cửu U hơi đất, thiên chi vết, cùng với khí vận cái này 3 loại phong hoàng cảnh trong không thể thiếu được tài nguyên cũng đủ để sánh bằng ba bụi cây tổ thuốc!

	Linh Linh tổng tổng tài nguyên tính được không sai biệt lắm giống như là năm bụi cây tổ thuốc giá trị.

	Dĩ nhiên nhiệm vụ này cũng không phải vậy võ giả có thể tiếp lấy.

	Dẫu sao sáu trăm đầu phong hoàng cảnh yêu thú không có tốt như vậy bắt, một số người hoàng cảnh ở trong nửa năm cũng không nhất định có thể hoàn thành nhiệm vụ.

	Trong ngày thường Vạn Cổ thiên tông cũng không có hào phóng như vậy, chẳng qua là bàn về giá trị, sáu trăm đầu phong hoàng cảnh yêu thú nhiều lắm là giá trị một bụi tổ thuốc!

	Nói cách khác trước kia hoàn thành nhiệm vụ giống nhau nhiều nhất hai bụi cây tổ thuốc, một bụi tổ thuốc là yêu thú bản thân giá trị, một buội khác chính là tính là nhiệm vụ thù lao.

	Mà nhiệm vụ lần này thù lao nhưng là phong dầy vô cùng, nhưng ở người ngoài trong mắt nhìn đã đủ phong phú, có thể ở Bắc Phong trong mắt xem ra nhưng cũng chính là như vậy.

	Hơn nữa, tài nguyên mình không hề thiếu thiếu, trong tiểu thế giới tổ thuốc thì có chừng mười bụi cây, chớ đừng nhắc tới cây cửu khúc hoàng tuyền loại này đủ để cho người đánh vỡ đầu lâu tranh đoạt trân bảo.

	Bắc Phong cần chính là công pháp!

	Muốn đột phá đến phong hoàng cảnh đối với Bắc Phong mà nói lại đơn giản bất quá, tùy tiện cho Bắc Phong một bản công pháp, lúc này lấy Bắc Phong nội tình đều đủ để tiếp liền đột phá, căn bản không tồn tại cổ chai!

	Nhưng như vậy đột phá không phải Bắc Phong mong muốn, mặc dù có thể nhanh chóng có cường đại thực lực, có thể từ lâu dài tới xem, nhưng là tự tổn căn cơ!

	Bắc Phong hôm nay chẳng qua là nửa hoàng cảnh, cũng không có ngoại lực dưới tình huống, sống một trăm ngàn năm đơn giản, mấy trăm năm thời gian đối với Bắc Phong mà nói cũng không quá trong nháy mắt.

	Bắc Phong có đầy đủ kiên nhẫn, chưa đến nỗi vì ngắn ngủi đột phá mà buông tha mình thật vất vả mới đúc lên căn cơ!

	Bắc Phong bây giờ cần chính là số lượng cao công pháp, võ cung cấp mình tham khảo, rồi sau đó lấy tinh hoa, sáng tạo ra thuộc về mình công pháp!

	Bắc Phong lúc này nghe được Đại thiên quân nói, có chút mất hết hứng thú.

	"Đại thiên quân, ta muốn đọc bên trong tông môn cất giữ tất cả phong hoàng cảnh bộ phận công pháp, không biết có không có cách nào?"

	Bắc Phong trầm ngâm hồi lâu, rồi sau đó nói thẳng hỏi thăm.

	"Ừ ? Chẳng lẽ ngươi còn không có phong hoàng cảnh công pháp?"

	Bắc Phong nói để cho Đại thiên quân có chút kinh ngạc, tựa hồ là không nghĩ tới Bắc Phong lại còn không có phong hoàng cảnh công pháp tu hành.

	"Kỳ quái, nội tình như thế mạnh mẽ, có thể nói ta nơi gặp người thứ nhất, như thế cường đại nội tình cũng không phải là dị bẩm thiên phú có thể làm được, công pháp cũng không thể thiếu."

	Đại thiên quân âm thầm nghĩ trước, nhưng cũng không có làm nhiều hỏi dò, hỏi dò một vị võ giả công pháp tu hành là đại kỵ, trừ phi chí thân ra, vậy sẽ không để cho người biết mình tu hành là vì sao công pháp.

	"Rất khó, mặc dù tông môn đã quyết định cử tông dời đến chỗ này tinh thần, tông môn tàng kinh các tự nhiên cũng dời tới, nhưng là nội môn phong hoàng cảnh bộ phận công pháp đâu chỉ hơn mười ngàn, cần tài nguyên khổng lồ đến không tưởng tượng nổi, hơn nữa cần rất lớn quyền hạn."

	Đại thiên quân trong lòng suy nghĩ, nhưng ngoài miệng nhưng hay là trực tiếp nói cho Bắc Phong.

	Bắc Phong cười khổ, quả nhiên phiền toái, ban đầu vậy một khối ý trời mảnh vỡ để cho mình lấy được xem xem động hư cảnh dưới tất cả công pháp võ đúng là may mắn, nếu là ban đầu tự lựa chọn liền một trăm triệu điểm cống hiến, sợ rằng cầm những thứ này điểm cống hiến, cũng không khả năng xem xem tất cả động hư cảnh dưới công pháp võ.

	"Liền không có biện pháp khác sao?"

	Bắc Phong có chút không cam lòng hỏi thăm, sẽ để cho mình như vậy lấy phổ thông công pháp đột phá đến phong hoàng cảnh, mình đánh rớt xuống căn cơ coi như là phá hủy, hơn nữa còn không cách nào đền bù!

	"Có, thành là tông chủ đệ tử thân truyền, hay hoặc giả là thành là bên trong tông môn lão tổ đệ tử, tông môn tàng kinh các đem là ngươi hạn chế cấm vận, chỉ cần không vượt qua bản thân 2 cái lớn cảnh giới, còn lại công pháp võ đều đưa dù ngươi xem xem!"

	Đại thiên quân nói nghiêm túc trước, không có nửa phần ý nhạo báng.

	Lấy Bắc Phong thâm hậu nội tình, cùng với tuổi tác, muốn thành là tông môn lão tổ đệ tử hy vọng không lớn, nhưng nếu là thành là tông chủ đệ tử thân truyền nhưng là có rất lớn tỷ lệ.

	"Đa tạ Đại thiên quân cho biết."

	Bắc Phong lắc đầu một cái,

	Không có bực này ý tưởng, thứ yếu cũng là bởi vì là Tông Trường Dạ đã dài đến ngàn năm không có thu học trò.

	Ngoài ra chính là Tông Trường Dạ tổng cộng có ba vị đệ tử, trừ đại đệ tử du thủ tốt rỗi rãnh, đối với hết thảy đều là tùy theo hoàn cảnh thái độ ra, còn lại hai người đệ tử thủ đoạn, tâm tính, thiên tư đều là lên lên chọn!

	Đại đệ tử không biết sâu cạn, nhưng bên trong tông môn nhưng không ai chú ý hắn tu vi, bởi vì là quá làm biếng, tu vi ở tất cả mọi người nhìn lại cũng sẽ không so hai người khác cao.

	Ngoài ra hai người đệ tử tu vi đã đạt tới chuẩn đế tột cùng, khoảng cách phong đế cảnh một bước xa!

	Hơn nữa cổ tay cương quyết, tâm tính đều là lên lên chọn, đã bị liệt là hạ đảm nhiệm chưởng môn người được đề cử tới hai.

	Ở nơi này loại giây phút, Bắc Phong cũng không nhận là mình có thể làm cho Tông Trường Dạ thu là thân truyền.

	Tông môn hạ đảm nhiệm chưởng môn cũng không phải là tông môn đệ tử thân truyền mới có tư cách, người có khả năng thượng vị, tổng cộng có hơn mười vị hậu tuyển!

	Tông Trường Dạ bao che là nổi danh, ở nơi này giây phút chỉ sợ là mới tinh trợ giúp mình hai người đệ tử, làm sao sẽ phân tâm lại thu một vị đệ tử.

	Bắc Phong lui ra ngoài, trong chốc lát ngẩng đầu nhìn trời, cầu khẩn khó khăn, đắc đạo khó khăn, khó khăn vu thượng thanh thiên!

