Chương 354: Siêu cấp trúng mùa lớn! 
 Converter Dzung Kiều cầu khen thưởng 

	Không chỉ là bí cảnh Cổ Linh trong, liền liền Thương Lam giới cũng hoàn toàn tối đứng lên!

	Loại này đen không phải cái gọi là nguyệt thực, là lấy sẽ không còn lưu lại dư quang.

	Mà là hoàn toàn bóng tối! Coi như là dùng thần thức cũng đừng muốn nhìn rõ, chỉ có thứ chín cảnh trên đại năng mới có thể không bị ảnh hưởng.

	Thiên Ma Tử trên mặt vui sướng còn đọng trên mặt, nhưng là cả người nhưng đã không có sống, một kiếm dưới, Thiên Ma Tử nguyên cái đầu lô cũng bể tan tành, biến mất không gặp!

	"Tốt đối thủ, sau khi rời khỏi đây cũng là thời điểm đột phá đệ tứ cảnh, đến lúc đó về lại Thiên Nguyên tinh."

	Vô Sinh Nhất tự lẩm bẩm, sau đó đi theo cảm giác, đi tới Thiên Ma Tử ngã xuống đất địa phương liền chuẩn bị mang Thiên Ma Tử thi thể rời đi.

	"Ừ ? Làm sao có thể không ở nơi này!"

	Vô Sinh Nhất đột nhiên sắc mặt biến đổi, nhưng bây giờ cái gì cũng xem không thấy, Vô Sinh Nhất rút kiếm ra khỏi vỏ, từng đạo trăng lưỡi liềm giống vậy kiếm khí hướng bốn phương tám hướng càn quét!

	Nhưng là bốn phía yên tĩnh nhưng không có bất cứ động tĩnh gì, liền liền nguyên bản tiếng hô không ngừng trong rừng rậm, ở bóng tối hạ xuống sau đó cũng không có bất kỳ yêu thú gì tiếng kêu.

	"Đợi lâu như vậy, cũng nên là thu hoạch lúc."

	Bắc Phong mang trên mặt nụ cười, đã chú ý tới cái này hai người rất lâu rồi!

	Cái này hai người rất mạnh, tối thiểu Bắc Phong tính toán một chút bọn họ lực tàn phá, phát sinh bất kỳ một người cũng có thể dễ dàng trong nháy mắt giết mình!

	Là lấy Bắc Phong vẫn không có động thanh sắc, làm thấy được Thiên Ma Tử không ngừng từ trong không gian giới chỉ lấy ra một kiện kiện pháp khí lúc này Bắc Phong nhìn chằm chằm Thiên Ma Tử.

	Mà làm thấy được Thiên Ma Tử bị một người khác đánh chết, lại vừa vặn sắc trời hoàn toàn ảm đạm xuống, nếu không phải cần câu thần dị, phỏng đoán mình cũng xem không thấy thứ gì.

	Loại này cơ hội tốt trời ban Bắc Phong như thế nào sẽ bỏ qua cho? Lập tức không chút do dự liền bắt đầu hành động!

	Thời gian bất quá ngắn ngủi 1 phút, sắc trời lần nữa sáng lên, Vô Sinh Nhất nhìn bốn phía một mảnh hổn độn, nơi nào còn có Thiên Ma Tử bóng dáng.

	"Nhểu giọt!"

	Một giọt máu tươi hướng Vô Sinh Nhất đỉnh đầu rơi xuống, bị Vô Sinh Nhất bên ngoài thân thể một tầng lồng năng lượng ngăn trở.

	Vô Sinh Nhất sắc mặt biến đổi, cấp bận bịu ngẩng đầu nhìn về phía bầu trời!

	Một nơi chu vi 2m hắc động đang chậm rãi thu nhỏ lại, mà Thiên Ma Tử bóng người đang chậm rãi chìm vào cuối cùng một đoạn!

	"À!"

	Vô Sinh Nhất khí nổ, mỗi có nghĩ đến lại có người dám ở mình mí mắt phía dưới tiệt hồ!

	"Phốc!"

	Vô Sinh Nhất phun ra một ngụm máu tươi, cả người giống như rơi vào điên dại vậy, bắt đầu ở bí cảnh Cổ Linh trắng trợn giết hại, đem tất cả khó chịu ưu tư đều phát tiết ở nơi này chút tiến vào bí cảnh Cổ Linh tu sĩ trên mình!

	Mà Bắc Phong thả câu đi lên Thiên Ma Tử sau đó, nhất thời chính là vẻ kiêu ngạo đờ đẫn.

	"Đinh, thả câu đến ba sao vật phẩm, cảnh giới thứ tám tột cùng thi thể, (lăn lộn thân máu thịt là tà đạo tu sĩ vật đại bổ! ) thả câu kinh nghiệm gia tăng ba triệu!"

