Chương 9: Tiểu Quang Minh phương pháp hô hấp! 
 Converter Dzung Kiều cầu phiếu 

	Bắc Phong nhìn trong phòng cảnh sắc, trong lòng vẫn rất có cảm giác thành tựu.

	"Không sai, vạn sự có chỉ còn thiếu gió đông."

	Bắc Phong nhẹ khẽ gật đầu.

	Sau đó lấy ra mình tạp bài cơ hội điện thoại di động gọi một cú điện thoại.

	"Tút tút!"

	Không có gì tiếng chuông, Bắc Phong đối với Vương Kiến phải chăng có thể tới cũng không xác định, dẫu sao người khác thân cầm đầu phú, trong ngày thường khẳng định bề bộn nhiều việc.

	"GĐ Vương, phần này văn kiện cần ngài ký chữ."

	Trung tâm thành phố Thanh Thành, một cái nhà cao ốc nóc, một trước lồi sau vểnh ăn mặc nghề dùng cô gái muốn lôi eo đi vào phòng làm việc, nhẹ giọng nói đến.

	" Ừ, lấy tới đi."

	Vương Kiến đứng ở cửa sổ sát đất bên cạnh, mắt nhìn xuống cả tòa Thanh Thành, nhàn nhạt mở miệng nói đến.

	Vương Kiến nhìn một chút văn kiện nội dung, cầm lên bút thép rồng bay phượng múa ký xuống mình tên chữ.

	" Này, vị kia?"

	Đang chuẩn bị đậy lại mình con dấu, một hồi chuông điện thoại truyền tới, Vương Kiến cầm ra điện thoại, nhìn phía trên không có một người chú thích số điện thoại, chần chờ một chút vẫn là nhận.

	Bởi vì là số điện thoại di động này là tư nhân dùng, người biết đều là vài bằng hữu.

	"GĐ Vương ngài khỏe, ta là lần trước bán lươn tơ huyết vàng cho ngài người nọ."

	Bắc Phong nhẹ giọng nói đến.

	"À, nguyên lai là ngươi à, làm sao? Lại tìm đến lươn tơ huyết vàng?"

	Vương Kiến nghĩ tới, dẫu sao lúc ấy thằng nhóc này cho mình cảm giác không tệ.

	"Không có, lần này là muốn mời ngài ăn cơm trưa bữa cơm."

	Bắc Phong chủ yếu là để cho Vương Kiến cho mình làm tuyên truyền, cho nên lần này cũng không biết thu tiền.

	"Hề hề, không cần, cái này hai ngày có một buổi họp, có thể không rút ra được thời gian."

	Vương Kiến uyển chuyển nói.

	"Cho ta lần cơ hội, món ăn nguyên liệu sẽ không so lươn tơ huyết vàng kém."

	Bắc Phong dầu gì cũng ở trong xã hội lăn lộn lâu như vậy, làm sao có thể nghe không hiểu Vương Kiến liền thì không muốn tới.

	"Được, trưa mai ta tới."

	Trong điện thoại rơi vào trầm mặc, hồi lâu Vương Kiến mới mở miệng nói đến.

	"Vậy được, đến lúc đó ta tới cửa thôn đón ngài, vậy ngài làm việc trước, ta liền không quấy rầy."

	Bắc Phong không nói thêm gì nữa, cúp điện thoại.

	"À, người tuổi trẻ bây giờ à, làm sao lợi dụng cũng nặng như vậy à."

	Sau khi cúp điện thoại, Vương Kiến lộp bộp tự nói một câu.

	Vốn đang thật coi trọng thằng nhóc này, không nghĩ tới cũng là nịnh nọt hạng người sao? Cũng được, nghe hắn như vậy dáng vẻ tự tin, liền lại xem đi.

	"Thành!"

	Bắc Phong sau khi cúp điện thoại, cũng không biết Vương Kiến nghĩ như thế nào, chỉ cần hắn tới, mình làm thức ăn tuyệt đối có thể để cho hắn hài lòng!

	Bắc Phong xách cần câu trúc tía, hào hứng chạy đến bên cạnh giếng, trực tiếp cái gì mồi câu cũng không có ở trên, liền trực tiếp đem lưỡi câu ném ra trong giếng.

	Dị thế giới một tòa thật to trong dãy núi, đứng vững một mảng lớn dãy nhà, mây mù vờn quanh, thoáng như thiên cảnh.

	Một ngọn núi lớn nóc bằng phẳng, giống như là bị người một kiếm tước mất vậy, phía trên bóng người dư sức.

	Vô số người mặc cổ trang các thiếu niên thiếu nữ đứng ở trên bình đài, thiếu nam thiếu nữ phía trước, mấy vị người trung niên lăng không đứng, tản ra khổng lồ uy áp.

	"Bây giờ ta tuyên bố này giới vào núi khảo hạch thứ nhất người là Tần Phàm!"

