Chương 128: Kinh sợ! 
 Converter Dzung Kiều cầu khen thưởng 

	Bị ôm Người Nghiền Nát cánh tay vẫn còn ở Người Đồ Sát Ma trong ngực, còn không có thu hồi lại.

	"Cảnh cáo! Cảnh cáo! Hệ thống bị lỗi, không cách nào phân biệt, mời chuyển nhập nhân công làm việc!"

	Người Nghiền Nát ngưng hoạt động, lấy Người Nghiền Nát hệ thống thao tác hoàn toàn không biết dưới tình huống này nên xử lý như thế nào.

	"Người Nghiền Nát! Tránh thoát trói buộc!" Người Nghiền Nát chủ nhân tiếp quản quyền hạn, vội vàng phát ra ra lệnh!

	"Cảnh cáo! Cảnh cáo! Nên chỉ thị không thể thi hành, nguyên nhân không biết!"

	Đã lên tới hai mươi mấy thước trên không Người Nghiền Nát mắt điện tử lóe lên hồng mang, cơ giới hóa thanh âm xuyên thấu qua loa phóng thanh truyền khắp trong sân đấu.

	Bắc Phong là gặp hai người máy đều là vũ khí lạnh thiếp thân tác chiến, không có bất kỳ năng lượng nào vũ khí các loại thủ đoạn, mới chọn cái này hai người máy.

	Mặc dù nhìn như lợi hại, nhưng Bắc Phong có lòng tin đem đồng phục, coi như không thể đồng phục, cái này hai người máy đối với Trái Đất nguy hại cũng không biết lớn đi nơi nào.

	"Ai? Trời ạ, các người ai biết làm sao sửa đổi X1 hình hào người máy, để cho nó có có thể bay lên không năng lực? Cần muốn bao nhiêu tiền?"

	Người xem trên đài, một người con ngươi cũng sắp trừng ra ngoài, một mặt không thể tin hỏi những người bên cạnh.

	"Chớ trêu, ai đặc biệt sẽ ngu như vậy? X1 hình hào cổ lỗ sĩ cải tạo chi phí tỉ trọng mới mua một máy X7 đẳng cấp người máy còn đắt hơn!"

	Một người cười lạnh nói, có số tiền này còn không bằng đi mua một máy loại mới người máy tới tính toán.

	"Không phải à, ngươi xem vậy hai người máy không phải bay lên không?"

	Câu hỏi người nọ chỉ đang nhanh chóng bay lên không hai người máy nói.

	Người nọ ngẩn ngơ, dùng mắt ưng nhìn về phía trong sân, "Trời ạ! Thật là có loại này ngu đần à! Đợi một chút, làm sao có chút không đúng!"

	Người nọ điều chỉnh một chút mắt ưng bội số, rốt cuộc phát hiện đầu mối, "Sợi tơ này là từ đâu ra? Sân đấu phía trên nhưng mà cường đại năng lượng vòng bảo vệ, liền liền một cái dực mang con muỗi cũng không bay vào được!"

	Sân đấu người xem trên đài, càng ngày càng nhiều người phát hiện không đúng, một miếng trận kinh hô thanh truyền tới.

	Sân đấu người phụ trách cũng phát hiện không đúng, còi báo động ngay tức thì đại tác, ở trong sân đấu vang lên!

	Một máy chiếc X8 hình hào người máy, còn có cường đại cơ giáp ngay tức thì đột phá bức tường âm thanh, đạt tới ba lần tốc độ âm thanh, ngay tức thì liền xuất hiện ở đã có nửa đoạn thân thể tiến vào màu đen quang động trong Người Đồ Sát Ma bên cạnh!

	"Đây là cái gì? Không gian hố đen sao?"

	Một đám người thần sắc ngưng trọng, nhìn cái này một miếng chiều rộng 2m cỡ đó, ngăm đen không thấy đáy quang động, không dám tùy tiện hành động.

	Mà lúc này một hồi âm bạo thanh mới truyền vào mọi người lỗ tai, trong không khí bị đụng ra từng cái chân không lối đi, đây chính là cao cấp cơ giáp cùng cao cấp người máy cụ bị uy thế!

	Nói không khoa trương chút nào, một máy X8 hình hào người máy đủ để trên Trái Đất hoành hành! Trừ vũ khí nguyên tử ra, căn bản không có khác vũ khí có thể kích phá X8 người máy vỏ ngoài!

	"Kiểm tra hoàn thành! Thông thường hố đen, ổn định tính bình thường, không gặp nguy hiểm!"

	Chẳng qua là một giây không tới thời gian, một máy chiếc X8 hình hào người máy liền phát ra ngoài kiểm tra kết quả.

	Mà lúc này Người Đồ Sát Ma còn có vượt qua 1 phần 3 thân thể ở quang ngoài động bên, xác nhận cái này không gian hố đen sau khi an toàn một máy cơ giáp sư lái gió giật kế hoạch xây dựng cơ giáp đưa ra linh hoạt cánh tay, lóe từng tia màu đen đậm điện hồ bắt lại Người Đồ Sát Ma chân trần hung hăng hướng ra phía ngoài kéo một cái!

	" Ầm!"

	Người Đồ Sát Ma còn không có tiến vào quang động 1 phần 3 ngay tức thì nổ, một đoàn vượt qua 20m to lớn ngọn lửa ở giữa không trung dâng lên!

