Chương 749: nhiện bảo tử kim
converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Bắc Phong nhìn một mảnh hỗn độn mặt đất, rồi sau đó đi theo những dấu vết này rời đi.

	Phá Thiên Sát đi ở phía trước, một đám người bất kể là tộc người vẫn là Hoang tộc đều là dè đặt, không dám cử động nữa can qua.

	"Còn bao lâu."

	Đế Nữ Huân thần sắc có chút mệt mỏi, lúc trước gặp phải một đầu to lớn độc oa, sau đại chiến mặc dù bị mình đánh giết, nhưng là tự thân tiêu hao cũng rất lớn.

	"Nhanh, lại trải qua qua một mảnh tím kim chu khu vực đã đến."

	Phá Thiên Sát đáp trả, thanh âm trong trẻo lạnh lùng.

	"Ngươi tốt nhất không có lừa gạt ta, nếu không. . ."

	Đế Nữ Huân con ngươi ở giữa khép mở, lộ ra thần mang, giống như một tôn Nữ đế.

	Phá Thiên Sát lơ đễnh, tổ thuốc tự nhiên là thật tồn tại, chỉ bất quá bây giờ còn dư lại nhiều ít cũng không biết.

	"Đến!"

	Phá Thiên Sát đột nhiên dừng bước, vẻ kiêu ngạo kiêng kỵ nhìn về phía đỉnh đầu.

	Thân thể đều là không nhịn được rùng mình một cái, rất khó tưởng tượng dạng gì trải qua có thể làm cho Phá Thiên Sát như vậy đã không úy kỵ người sống chết sợ đến như vậy.

	Đế Nữ Huân nhìn Phá Thiên Sát nhất cử nhất động, chân mày lá liễu khinh thiêu, nhìn về bầu trời.

	Bầu trời một mảnh mảnh con nhện to lớn lưới liên miên bất tuyệt, trực tiếp đem vực sâu bầu trời lối ra phong tỏa nghiêm nghiêm thật thật.

	Nhìn như một mảnh tường hòa, không có nguy cơ.

	Nhưng mơ hồ có thể thấy được bầu trời từng đạo bóng đen thoáng qua, ở trên mạng nhện xê dịch.

	Ở cả người khí huyết bị giam cầm dưới tình huống, ước chừng bằng vào thực lực còn không làm được phi hành.

	Nhiều lắm là chính là nhảy đủ cao, nhưng lại không thể thời gian dài dừng lại ở không trung.

	Lên không trung vô số mạng nhện chính là xê dịch ở giữa trở ngại lớn nhất.

	Trong chốc lát không người nào nguyện ý làm ra mặt chim, rối rít trầm mặc.

	"Có một cái tin tốt, cùng tin tức xấu, các người muốn nghe cái nào?"

	Phá Thiên Sát nhẹ giọng mở miệng.

	Mọi người có chút nghi ngờ, đưa ánh mắt đầu ở Phá Thiên Sát trên mình, muốn xem Phá Thiên Sát rốt cuộc muốn nói gì.

	"Tin tức tốt chính là tổ thuốc quả thật tồn tại, từ nơi này đi lên, ra vực sâu đã đến, tin tức xấu là trong thung lũng còn có một người loại võ giả, dựa theo hắn luyện hóa tốc độ, có thể tổ thuốc đã bị sử dụng 1 phần 3, nếu như không để ý căn cơ luyện hóa, có thể bây giờ chỉ còn lại một nửa tổ thuốc."

	Phá Thiên Sát cả người càng ngày càng lạnh yên tĩnh, giống như người bình thường cảm tình đang chậm rãi biến mất.

	Nhìn mọi người không có mở miệng hỏi thăm ý, Phá Thiên Sát cũng không thèm để ý, tự nói.

	"Đáng chết! Vì sao không còn sớm nói cho ta!"

	Đế Nữ Huân thần sắc có chút khó khăn xem, vẫy tay một kích hướng Phá Thiên Sát đi.

	"Phốc thông!"

	Phá Thiên Sát không có chút nào lực phản kháng, thân thể nặng nề đụng vào vách đá trong, miệng to ho ra máu, thân thể nứt nẻ.

	"Không tiếc bất cứ giá nào, lấy nhanh nhất tốc độ lao ra vực sâu!"

	Đế Nữ Huân không để ý đến Phá Thiên Sát, hướng bốn phía Hoang tộc phân phó.

	"Ừ!"

	Đông đảo Hoang tộc rối rít kêu.

	"Lại có người nhanh chân giành trước!"

	"Mau, lao ra vực sâu, rốt cuộc là ai lại có tốt như vậy cơ duyên!"

